symbolName,symbolRoot,bloombergRoot,yellowKey,bloomberg
ad.1c,ad,AD,Curncy,AD1 Curncy
bo.1c,bo,BO,Comdty,BO1 Comdty
bp.1c,bp,BP,Curncy,BP1 Curncy
c.1c,c,C ,Comdty,C 1 Comdty
cc.1c,cc,CC,Comdty,CC1 Comdty
cd.1c,cd,CD,Curncy,CD1 Curncy
cl.1c,cl,CL,Comdty,CL1 Comdty
ct.1c,ct,CT,Comdty,CT1 Comdty
da.1c,da,DA,Comdty,DA1 Comdty
di.1c,di,DI,Comdty,DI1 Comdty
ds.1c,ds,DS,Comdty,DS1 Comdty
ec.1c,ec,EC,Curncy,EC1 Curncy
ed.1c,ed,ED,Comdty,ED1 Comdty
es.1c,es,ES,Index,ES1 Index
fc.1c,fc,FC,Comdty,FC1 Comdty
fv.1c,fv,FV,Comdty,FV1 Comdty
gc.1c,gc,GC,Comdty,GC1 Comdty
hg.1c,hg,HG,Comdty,HG1 Comdty
ho.1c,ho,HO,Comdty,HO1 Comdty
jy.1c,jy,JY,Curncy,JY1 Curncy
kc.1c,kc,KC,Comdty,KC1 Comdty
lc.1c,lc,LC,Comdty,LC1 Comdty
lh.1c,lh,LH,Comdty,LH1 Comdty
ng.1c,ng,NG,Comdty,NG1 Comdty
nv.1c,nv,NV,Curncy,NV1 Curncy
o.1c,o,O ,Comdty,O 1 Comdty
oj.1c,oj,JO,Comdty,JO1 Comdty
pe.1c,pe,PE,Curncy,PE1 Curncy
pl.1c,pl,PL,Comdty,PL1 Comdty
qs.1c,qs,QS,Comdty,QS1 Comdty
s.1c,s,S ,Comdty,S 1 Comdty
sb.1c,sb,SB,Comdty,SB1 Comdty
sf.1c,sf,SF,Curncy,SF1 Curncy
si.1c,si,SI,Comdty,SI1 Comdty
sm.1c,sm,SM,Comdty,SM1 Comdty
tu.1c,tu,TU,Comdty,TU1 Comdty
ty.1c,ty,TY,Comdty,TY1 Comdty
us.1c,us,US,Comdty,US1 Comdty
ux.1c,ux,UX,Index,UX1 Index
w.1c,w,W ,Comdty,W 1 Comdty
