symbolRoot,bloomberg,yellowKey
FV,FV,Comdty
TY,TY,Comdty
TU,TU,Comdty
US,US,Comdty
ED,ED,Comdty
CL,CL,Comdty
QS,QS,Comdty
HO,HO,Comdty
NG,NG,Comdty
ES,ES,Index
AD,AD,Curncy
BP,BP,Curncy
CD,CD,Curncy
EC,EC,Curncy
JY,JY,Curncy
SF,SF,Curncy
NV,NV,Curncy
PE,PE,Curncy
KC,KC,Comdty
CT,CT,Comdty
CC,CC,Comdty
SB,SB,Comdty
OJ,OJ,Comdty
C,C ,Comdty
W,W ,Comdty
S,S ,Comdty
SM,SM,Comdty
BO,BO,Comdty
O,O ,Comdty
DA,DA,Comdty
LC,LC,Comdty
LH,LH,Comdty
FC,FC,Comdty
UX,UX,Index
PL,PL,Comdty
SI,SI,Comdty
GC,GC,Comdty
HG,HG,Comdty
