time,market,exchange,side,size,amount,price,mid,edge,position,inventoryPnl,totalPnl,system,marketExchange,pvName,strategy,version,interval,msivName,MaxPosEdge
2011-04-07 08:39:29.999,gt05.1c,Clearwater,BUY,3,3,99.671875,99.6796875,234.375,3,0,234.375,Quoter4,gt05.1c_Clearwater,gt05.1c_Clearwater,quote,1,quoter,gt05.1c_Clearwater_Quoter4_quoter_1,117.1875
2011-04-07 08:39:30.015,gt05.1c,Clearwater,BUY,3,3,99.671875,99.6796875,234.375,6,0,234.375,Quoter4,gt05.1c_Clearwater,gt05.1c_Clearwater,quote,1,quoter,gt05.1c_Clearwater_Quoter4_quoter_1,117.1875
2011-04-07 08:39:33.593,gt05.1c,eSpeed,SELL,1,-1,99.671875,99.66796875,39.0625,5,-703.125,-664.0625,Quoter4,gt05.1c_eSpeed,gt05.1c_eSpeed,quote,1,quoter,gt05.1c_eSpeed_Quoter4_quoter_1,39.0625
2011-04-07 08:39:44.624,gt05.1c,eSpeed,SELL,5,-5,99.671875,99.66796875,195.3125,0,0,195.3125,Quoter4,gt05.1c_eSpeed,gt05.1c_eSpeed,quote,1,quoter,gt05.1c_eSpeed_Quoter4_quoter_1,195.3125
2011-04-07 08:42:20.621,gt05.1c,Clearwater,BUY,3,3,99.6484375,99.65234375,117.1875,3,0,117.1875,Quoter4,gt05.1c_Clearwater,gt05.1c_Clearwater,quote,1,quoter,gt05.1c_Clearwater_Quoter4_quoter_1,117.1875
2011-04-07 08:42:20.636,gt05.1c,Clearwater,BUY,1,1,99.6484375,99.65234375,39.0625,4,0,39.0625,Quoter4,gt05.1c_Clearwater,gt05.1c_Clearwater,quote,1,quoter,gt05.1c_Clearwater_Quoter4_quoter_1,39.0625
2011-04-07 08:42:31.886,gt05.1c,eSpeed,SELL,1,-1,99.6484375,99.64453125,39.0625,3,-312.5,-273.4375,Quoter4,gt05.1c_eSpeed,gt05.1c_eSpeed,quote,1,quoter,gt05.1c_eSpeed_Quoter4_quoter_1,39.0625
2011-04-07 08:42:31.902,gt05.1c,eSpeed,SELL,2,-2,99.6484375,99.64453125,78.125,1,0,78.125,Quoter4,gt05.1c_eSpeed,gt05.1c_eSpeed,quote,1,quoter,gt05.1c_eSpeed_Quoter4_quoter_1,78.125
2011-04-07 08:42:31.917,gt05.1c,eSpeed,SELL,1,-1,99.6484375,99.64453125,39.0625,0,0,39.0625,Quoter4,gt05.1c_eSpeed,gt05.1c_eSpeed,quote,1,quoter,gt05.1c_eSpeed_Quoter4_quoter_1,39.0625
2011-04-07 08:42:31.917,gt05.1c,eSpeed,SELL,1,-1,99.6484375,99.64453125,39.0625,-1,0,39.0625,Quoter4,gt05.1c_eSpeed,gt05.1c_eSpeed,quote,1,quoter,gt05.1c_eSpeed_Quoter4_quoter_1,39.0625
2011-04-07 08:42:31.949,gt05.1c,eSpeed,SELL,1,-1,99.6484375,99.64453125,39.0625,-2,0,39.0625,Quoter4,gt05.1c_eSpeed,gt05.1c_eSpeed,quote,1,quoter,gt05.1c_eSpeed_Quoter4_quoter_1,39.0625
2011-04-07 08:42:37.527,gt05.1c,eSpeed,BUY,1,1,99.6484375,99.65234375,39.0625,-1,-156.25,-117.1875,Quoter4,gt05.1c_eSpeed,gt05.1c_eSpeed,quote,1,quoter,gt05.1c_eSpeed_Quoter4_quoter_1,39.0625
2011-04-07 08:42:37.542,gt05.1c,eSpeed,BUY,1,1,99.6484375,99.65234375,39.0625,0,0,39.0625,Quoter4,gt05.1c_eSpeed,gt05.1c_eSpeed,quote,1,quoter,gt05.1c_eSpeed_Quoter4_quoter_1,39.0625
2011-04-07 08:42:37.558,gt05.1c,eSpeed,BUY,1,1,99.6484375,99.6484375,0,1,0,0,Quoter4,gt05.1c_eSpeed,gt05.1c_eSpeed,quote,1,quoter,gt05.1c_eSpeed_Quoter4_quoter_1,39.0625
2011-04-07 08:42:37.917,gt05.1c,eSpeed,SELL,1,-1,99.6484375,99.64453125,39.0625,0,-39.0625,0,Quoter4,gt05.1c_eSpeed,gt05.1c_eSpeed,quote,1,quoter,gt05.1c_eSpeed_Quoter4_quoter_1,39.0625
2011-04-07 08:42:37.933,gt05.1c,eSpeed,SELL,1,-1,99.6484375,99.64453125,39.0625,-1,0,39.0625,Quoter4,gt05.1c_eSpeed,gt05.1c_eSpeed,quote,1,quoter,gt05.1c_eSpeed_Quoter4_quoter_1,39.0625
