time,market,exchange,side,size,amount,price,mid,edge,position,inventoryPnl,totalPnl
2011/04/07 08:39:33.593,gt05.1c,eSpeed,SELL,1,-1,99.671875,99.66796875,39.0625,-1,0.0,39.0625
2011/04/07 08:39:44.624,gt05.1c,eSpeed,SELL,5,-5,99.671875,99.66796875,195.3125,-6,-0.0,195.3125
2011/04/07 08:42:31.886,gt05.1c,eSpeed,SELL,1,-1,99.6484375,99.64453125,39.0625,-7,1406.25,1445.3125
2011/04/07 08:42:31.902,gt05.1c,eSpeed,SELL,2,-2,99.6484375,99.64453125,78.125,-9,-0.0,78.125
2011/04/07 08:42:31.917,gt05.1c,eSpeed,SELL,1,-1,99.6484375,99.64453125,39.0625,-10,-0.0,39.0625
2011/04/07 08:42:31.917,gt05.1c,eSpeed,SELL,1,-1,99.6484375,99.64453125,39.0625,-11,-0.0,39.0625
2011/04/07 08:42:31.949,gt05.1c,eSpeed,SELL,1,-1,99.6484375,99.64453125,39.0625,-12,-0.0,39.0625
2011/04/07 08:42:37.527,gt05.1c,eSpeed,BUY,1,1,99.6484375,99.65234375,39.0625,-11,-937.5,-898.4375
2011/04/07 08:42:37.542,gt05.1c,eSpeed,BUY,1,1,99.6484375,99.65234375,39.0625,-10,-0.0,39.0625
2011/04/07 08:42:37.558,gt05.1c,eSpeed,BUY,1,1,99.6484375,99.6484375,0.0,-9,390.625,390.625
2011/04/07 08:42:37.917,gt05.1c,eSpeed,SELL,1,-1,99.6484375,99.64453125,39.0625,-10,351.5625,390.625
2011/04/07 08:42:37.933,gt05.1c,eSpeed,SELL,1,-1,99.6484375,99.64453125,39.0625,-11,-0.0,39.0625
2011/04/07 08:42:45.495,gt05.1c,eSpeed,BUY,1,1,99.6484375,99.64453125,-39.0625,-10,-0.0,-39.0625
2011/04/07 08:42:45.527,gt05.1c,eSpeed,BUY,1,1,99.6484375,99.64453125,-39.0625,-9,-0.0,-39.0625
2011/04/07 08:43:32.041,gt05.1c,eSpeed,SELL,1,-1,99.640625,99.64453125,-39.0625,-10,-0.0,-39.0625
2011/04/07 08:53:04.671,gt05.1c,eSpeed,BUY,1,1,99.6796875,99.67578125,-39.0625,-9,-3125.0,-3164.0625
2011/04/07 08:54:28.466,gt05.1c,eSpeed,SELL,1,-1,99.6953125,99.69140625,39.0625,-10,-1406.25,-1367.1875
2011/04/07 08:54:28.482,gt05.1c,eSpeed,SELL,1,-1,99.6953125,99.69140625,39.0625,-11,-0.0,39.0625
2011/04/07 08:54:31.841,gt05.1c,eSpeed,SELL,1,-1,99.6953125,99.69921875,-39.0625,-12,-859.375,-898.4375
2011/04/07 08:54:31.857,gt05.1c,eSpeed,SELL,1,-1,99.6953125,99.69140625,39.0625,-13,937.5,976.5625
2011/04/07 08:56:02.777,gt05.1c,eSpeed,SELL,3,-3,99.7109375,99.71484375,-117.1875,-16,-3046.875,-3164.0625
2011/04/07 08:56:02.777,gt05.1c,eSpeed,SELL,3,-3,99.7109375,99.71484375,-117.1875,-19,-0.0,-117.1875
2011/04/07 08:56:05.105,gt05.1c,eSpeed,BUY,1,1,99.71875,99.71484375,-39.0625,-18,-0.0,-39.0625
2011/04/07 08:56:05.121,gt05.1c,eSpeed,BUY,2,2,99.71875,99.72265625,78.125,-16,-1406.25,-1328.125
