time,market,exchange,side,size,amount,price,mid,edge,position,inventoryPnl,totalPnl
2011/04/07 08:56:08.964,gt10.1c,Clearwater,SELL,2,-2,100.546875,100.5390625,156.25,-2,0.0,156.25
2011/04/07 09:34:46.639,gt10.1c,Clearwater,BUY,2,2,100.703125,100.7109375,156.25,0,-3437.5,-3281.25
2011/04/07 10:07:24.445,gt10.1c,Clearwater,SELL,1,-1,100.625,100.6171875,78.125,-1,-0.0,78.125
2011/04/07 10:07:24.445,gt10.1c,Clearwater,SELL,1,-1,100.625,100.6171875,78.125,-2,-0.0,78.125
2011/04/07 10:32:28.510,gt10.1c,Clearwater,BUY,1,1,100.484375,100.4921875,78.125,-1,2500.0,2578.125
2011/04/07 10:42:26.373,gt10.1c,Clearwater,BUY,2,2,100.703125,100.7109375,156.25,1,-2187.5,-2031.25
2011/04/07 11:06:26.830,gt10.1c,Clearwater,SELL,2,-2,100.625,100.6171875,156.25,-1,-937.5,-781.25
2011/04/07 11:34:23.969,gt10.1c,Clearwater,BUY,1,1,100.8125,100.8125,0.0,0,-1953.125,-1953.125
2011/04/07 12:02:04.547,gt10.1c,Clearwater,BUY,1,1,100.65625,100.6640625,78.125,1,-0.0,78.125
2011/04/07 13:27:37.962,gt10.1c,Clearwater,BUY,2,2,100.578125,100.5859375,156.25,3,-781.25,-625.0
2011/04/07 13:27:57.696,gt10.1c,Clearwater,BUY,1,1,100.578125,100.5859375,78.125,4,0.0,78.125
2011/04/07 13:27:57.696,gt10.1c,Clearwater,BUY,1,1,100.578125,100.5859375,78.125,5,0.0,78.125
2011/04/07 13:51:23.169,gt10.1c,Clearwater,BUY,2,2,100.625,100.6328125,156.25,7,2343.75,2500.0
2011/04/07 13:51:23.185,gt10.1c,Clearwater,BUY,1,1,100.625,100.6328125,78.125,8,0.0,78.125
