time,market,exchange,side,size,amount,price,mid,edge,position,inventoryPnl,totalPnl
2011/04/06 12:34:34.621,gt10.1c,Clearwater,SELL,2,-2,100.90625,100.8984375,156.25,-2,0.0,156.25
2011/04/06 12:34:34.715,gt10.1c,Clearwater,SELL,1,-1,100.90625,100.90625,-0.0,-3,-156.25,-156.25
2011/04/06 12:43:18.845,gt10.1c,Clearwater,SELL,2,-2,100.890625,100.8828125,156.25,-5,703.125,859.375
2011/04/06 13:24:46.516,gt10.1c,Clearwater,SELL,1,-1,100.8125,100.8046875,78.125,-6,3906.25,3984.375
2011/04/06 13:24:46.516,gt10.1c,Clearwater,SELL,1,-1,100.8125,100.8046875,78.125,-7,-0.0,78.125
2011/04/06 13:24:46.532,gt10.1c,Clearwater,SELL,2,-2,100.8125,100.8046875,156.25,-9,-0.0,156.25
2011/04/06 13:25:54.249,gt10.1c,Clearwater,SELL,2,-2,100.796875,100.7890625,156.25,-11,1406.25,1562.5
2011/04/06 14:15:15.552,gt10.1c,Clearwater,SELL,2,-2,100.703125,100.6953125,156.25,-13,10312.5,10468.75
2011/04/06 14:15:15.568,gt10.1c,Clearwater,SELL,2,-2,100.703125,100.6953125,156.25,-15,-0.0,156.25
2011/04/06 14:15:20.239,gt10.1c,Clearwater,SELL,2,-2,100.703125,100.7109375,-156.25,-17,-2343.75,-2500.0
2011/04/06 14:15:22.442,gt10.1c,Clearwater,SELL,1,-1,100.703125,100.6953125,78.125,-18,2656.25,2734.375
2011/04/06 14:21:59.482,gt10.1c,Clearwater,BUY,1,1,100.71875,100.7265625,78.125,-17,-5625.0,-5546.875
2011/04/06 14:44:36.690,gt10.1c,Clearwater,SELL,2,-2,100.65625,100.6484375,156.25,-19,13281.25,13437.5
2011/04/06 14:45:19.142,gt10.1c,Clearwater,SELL,1,-1,100.65625,100.6484375,78.125,-20,-0.0,78.125
2011/04/06 14:56:22.051,gt10.1c,Clearwater,BUY,1,1,100.671875,100.6796875,78.125,-19,-6250.0,-6171.875
2011/04/06 15:11:58.471,gt10.1c,Clearwater,SELL,2,-2,100.65625,100.6484375,156.25,-21,5937.5,6093.75
2011/04/06 15:12:04.002,gt10.1c,Clearwater,SELL,1,-1,100.65625,100.65625,-0.0,-22,-1640.625,-1640.625
2011/04/06 15:17:34.636,gt10.1c,Clearwater,SELL,2,-2,100.65625,100.6484375,156.25,-24,1718.75,1875.0
