time,market,exchange,side,size,amount,price,mid,edge,position,inventoryPnl,totalPnl
2011/04/06 08:07:06.176,gt10.1c,eSpeed,BUY,2,2,101.171875,101.1640625,-156.25,2,0.0,-156.25
2011/04/06 08:07:06.192,gt10.1c,eSpeed,BUY,2,2,101.171875,101.1640625,-156.25,4,0.0,-156.25
2011/04/06 08:08:15.144,gt10.1c,eSpeed,SELL,1,-1,101.15625,101.1484375,78.125,3,-625.0,-546.875
2011/04/06 08:08:17.331,gt10.1c,eSpeed,SELL,1,-1,101.15625,101.1640625,-78.125,2,468.75,390.625
2011/04/06 09:19:43.592,gt10.1c,eSpeed,SELL,3,-3,100.984375,100.9921875,-234.375,-1,-3437.5,-3671.875
2011/04/06 09:21:24.637,gt10.1c,eSpeed,SELL,1,-1,100.96875,100.9609375,78.125,-2,312.5,390.625
2011/04/06 09:21:24.653,gt10.1c,eSpeed,SELL,1,-1,100.96875,100.9609375,78.125,-3,-0.0,78.125
2011/04/06 11:03:12.403,gt10.1c,eSpeed,BUY,2,2,100.8125,100.8203125,156.25,-1,4218.75,4375.0
2011/04/06 12:35:53.588,gt10.1c,eSpeed,BUY,3,3,100.921875,100.9140625,-234.375,2,-937.5,-1171.875
2011/04/06 12:35:53.604,gt10.1c,eSpeed,BUY,3,3,100.921875,100.9140625,-234.375,5,0.0,-234.375
2011/04/06 12:36:18.760,gt10.1c,eSpeed,SELL,2,-2,100.9375,100.9296875,156.25,3,781.25,937.5
2011/04/06 12:36:18.760,gt10.1c,eSpeed,SELL,1,-1,100.9375,100.9296875,78.125,2,0.0,78.125
2011/04/06 12:36:18.775,gt10.1c,eSpeed,SELL,1,-1,100.9375,100.9296875,78.125,1,0.0,78.125
2011/04/06 12:36:23.056,gt10.1c,eSpeed,BUY,1,1,100.9375,100.9296875,-78.125,2,0.0,-78.125
2011/04/06 12:36:23.072,gt10.1c,eSpeed,BUY,1,1,100.9375,100.9296875,-78.125,3,0.0,-78.125
2011/04/06 12:38:39.319,gt10.1c,eSpeed,SELL,1,-1,100.9375,100.9296875,78.125,2,0.0,78.125
2011/04/06 12:43:40.892,gt10.1c,eSpeed,BUY,2,2,100.90625,100.8984375,-156.25,4,-625.0,-781.25
2011/04/06 13:25:02.454,gt10.1c,eSpeed,BUY,1,1,100.796875,100.8046875,78.125,5,-3750.0,-3671.875
2011/04/06 13:25:02.454,gt10.1c,eSpeed,BUY,1,1,100.796875,100.8046875,78.125,6,0.0,78.125
2011/04/06 13:25:02.454,gt10.1c,eSpeed,BUY,2,2,100.796875,100.8046875,156.25,8,0.0,156.25
2011/04/06 13:27:14.310,gt10.1c,eSpeed,BUY,2,2,100.78125,100.7734375,-156.25,10,-2500.0,-2656.25
2011/04/06 14:15:15.833,gt10.1c,eSpeed,BUY,4,4,100.703125,100.7109375,312.5,14,-6250.0,-5937.5
2011/04/06 14:15:25.021,gt10.1c,eSpeed,BUY,2,2,100.703125,100.7109375,156.25,16,0.0,156.25
2011/04/06 14:15:25.021,gt10.1c,eSpeed,BUY,1,1,100.703125,100.7109375,78.125,17,0.0,78.125
2011/04/06 14:15:25.067,gt10.1c,eSpeed,BUY,1,1,100.703125,100.7109375,78.125,18,0.0,78.125
2011/04/06 14:15:25.474,gt10.1c,eSpeed,SELL,1,-1,100.703125,100.6953125,78.125,17,-2812.5,-2734.375
2011/04/06 14:22:38.450,gt10.1c,eSpeed,SELL,1,-1,100.71875,100.7109375,78.125,16,2656.25,2734.375
2011/04/06 14:48:45.888,gt10.1c,eSpeed,BUY,3,3,100.640625,100.6484375,234.375,19,-10000.0,-9765.625
2011/04/06 14:48:45.904,gt10.1c,eSpeed,BUY,1,1,100.640625,100.640625,0.0,20,-1484.375,-1484.375
2011/04/06 14:48:47.951,gt10.1c,eSpeed,SELL,1,-1,100.640625,100.6328125,78.125,19,-1562.5,-1484.375
2011/04/06 14:56:24.192,gt10.1c,eSpeed,SELL,1,-1,100.671875,100.6796875,-78.125,18,8906.25,8828.125
2011/04/06 14:56:24.208,gt10.1c,eSpeed,SELL,1,-1,100.671875,100.6796875,-78.125,17,0.0,-78.125
2011/04/06 14:57:07.738,gt10.1c,eSpeed,BUY,1,1,100.6875,100.6953125,78.125,18,2656.25,2734.375
2011/04/06 15:12:29.236,gt10.1c,eSpeed,BUY,3,3,100.65625,100.6484375,-234.375,21,-8437.5,-8671.875
2011/04/06 15:12:29.236,gt10.1c,eSpeed,BUY,3,3,100.65625,100.6484375,-234.375,24,0.0,-234.375
2011/04/06 15:13:13.173,gt10.1c,eSpeed,SELL,3,-3,100.65625,100.6484375,234.375,21,0.0,234.375
2011/04/06 15:18:37.370,gt10.1c,eSpeed,BUY,2,2,100.671875,100.6796875,156.25,23,6562.5,6718.75
