"time","gt02.1c_usd_quoter_fit_sigma","gt02.1c_usd_quoter_fit_lambda","gt02.1c_usd_quoter_fit_kArrival","gt02.1c_usd_quoter_fit_sdNorm"
"2010-10-04",0.000455877,868.1417006,13.21895112,276
"2010-10-05",0.000547253,549.5609824,41.29678217,266
"2010-10-06",0.000630054,274.3091052,98.37660991,285
"2010-10-07",0.000563253,529.9989498,44.13515295,270
"2010-10-08",0.000728355,265.9342628,101.1303294,290
"2010-10-12",0.000535445,635.827732,30.76986051,274
"2010-10-13",0.000546796,507.7669946,47.43045105,262
"2010-10-14",0.000648963,379.5905807,71.81278827,286
"2010-10-15",0.000757258,365.7533966,75.38710123,282
"2010-10-18",0.000535464,443.1196391,58.44837828,277
"2010-10-19",0.000573961,454.6723482,56.46265804,267
"2010-10-20",0.000529664,695.9129556,24.93783515,266
"2010-10-21",0.000599855,463.806332,54.93048239,269
"2010-10-22",0.000390553,793.6042904,17.23716895,279
"2010-10-25",0.000487734,639.2565668,30.24929132,276
"2010-10-26",0.000676724,272.864072,98.94452703,272
"2010-10-27",0.00066793,296.7404386,92.24341451,274
"2010-10-28",0.000600167,456.1054279,56.30491257,264
"2010-10-29",0.000728414,348.3591744,79.32075074,284
"2010-11-01",0.000573794,449.0594974,57.48583828,285
"2010-11-02",0.00046851,657.935742,28.28633698,282
"2010-11-03",0.000803856,408.8575533,66.30666749,283
"2010-11-04",0.000702459,387.5058957,70.30656257,285
"2010-11-05",0.000855441,279.4545696,97.76811025,290
"2010-11-08",0.000620284,414.7288119,64.27790259,273
"2010-11-09",0.000812595,264.3035783,101.9260349,288
"2010-11-10",0.000922505,207.5705284,119.9716531,289
"2010-11-12",0.000932941,241.1148052,109.3560907,274
"2010-11-15",0.001021623,236.7640759,111.0891385,282
"2010-11-16",0.000990828,254.5278572,105.5834624,290
