"time","bid","ask"
"17:30:37",1.3804,1.3804
"17:30:42",1.3805,1.3805
"17:30:47",1.3805,1.3805
"17:30:52",1.3804,1.3804
"17:30:57",1.3804,1.3804
"17:31:02",1.3804,1.3804
"17:31:07",1.3802,1.3802
"17:31:12",1.3803,1.3803
"17:31:17",1.3802,1.3802
"17:31:22",1.3801,1.3801
"17:31:27",1.3801,1.3801
"17:31:32",1.3801,1.3801
"17:31:37",1.3802,1.3802
"17:31:42",1.3801,1.3801
"17:31:47",1.3801,1.3801
"17:31:52",1.3801,1.3801
"17:31:57",1.38,1.38
"17:32:02",1.3801,1.3801
"17:32:07",1.3801,1.3801
"17:32:12",1.3801,1.3801
"17:32:17",1.3801,1.3801
"17:32:22",1.3801,1.3801
"17:32:27",1.3801,1.3801
"17:32:32",1.3804,1.3804
"17:32:37",1.3804,1.3804
"17:32:42",1.3805,1.3805
"17:32:47",1.3804,1.3804
"17:32:52",1.3804,1.3804
"17:32:57",1.3804,1.3804
"17:33:02",1.3804,1.3804
"17:33:07",1.3804,1.3804
"17:33:12",1.3804,1.3804
"17:33:17",1.3804,1.3804
"17:33:22",1.3804,1.3804
"17:33:27",1.3804,1.3804
"17:33:32",1.3804,1.3804
"17:33:37",1.3804,1.3804
"17:33:42",1.3804,1.3804
"17:33:47",1.3804,1.3804
"17:33:52",1.3804,1.3804
"17:33:57",1.3803,1.3803
"17:34:02",1.3804,1.3804
"17:34:07",1.3803,1.3803
"17:34:12",1.3803,1.3803
"17:34:17",1.3803,1.3803
"17:34:22",1.3804,1.3804
"17:34:27",1.3803,1.3803
"17:34:32",1.3803,1.3803
"17:34:37",1.3803,1.3803
"17:34:42",1.3803,1.3803
"17:34:47",1.3804,1.3804
"17:34:52",1.3804,1.3804
"17:34:57",1.3804,1.3804
"17:35:02",1.3804,1.3804
"17:35:07",1.3804,1.3804
