date,pnl,position
2002-01-03,0,-1
2002-01-04,0.03125,-1
2002-01-07,-0.765625,-1
2002-01-08,0.03125,-1
2002-01-09,-0.03125,-1
2002-01-10,-0.71875,-1
2002-01-11,-0.609375,-1
2002-01-14,-0.078125,-1
2002-01-15,-0.296875,-1
2002-01-16,0.0625,-1
2002-01-17,0.65625,-1
2002-01-18,-0.34375,-1
2002-01-22,0.0625,-1
2002-01-23,0.65625,-1
2002-01-24,0.21875,-1
2002-01-25,0.25,-1
2002-01-28,-0.03125,-1
2002-01-29,-0.78125,-1
2002-01-30,-0.03125,-1
2002-01-31,0.421875,-1
2002-02-01,-0.375,-1
2002-02-04,-0.640625,-1
2002-02-05,-0.0625,-1
2002-02-06,0.203125,-1
2002-02-07,0.1875,-1
2002-02-08,-0.390625,-1
2002-02-11,0.15625,-1
2002-02-12,0.515625,-1
2002-02-13,0.1875,-1
2002-02-14,-0.28125,-1
2002-02-15,-0.671875,-1
2002-02-19,0.09375,-1
2002-02-20,-0.046875,-1
2002-02-21,-0.0625,-1
2002-02-22,-0.328125,-1
2002-02-25,0.171875,-1
2002-02-26,0.484375,-1
2002-02-27,-0.78125,-1
2002-02-28,0.28125,-1
2002-03-01,0.75,-1
2002-03-04,0.1875,-1
2002-03-05,0.03125,-1
2002-03-06,0.1875,-1
2002-03-07,1.234375,-1
2002-03-08,0.703125,-1
2002-03-11,0,-1
2002-03-12,-0.125,-1
2002-03-13,-0.40625,-1
2002-03-14,1.0625,-1
2002-03-15,-0.359375,-1
2002-03-18,-0.34375,-1
2002-03-19,0.171875,-1
2002-03-20,0.53125,-1
2002-03-21,-0.203125,-1
2002-03-22,0.046875,-1
2002-03-25,0.09375,-1
2002-03-26,-0.484375,-1
2002-03-27,-0.078125,1
2002-03-28,-0.46875,1
2002-04-01,0.015625,1
2002-04-02,0.609375,1
2002-04-03,0.5625,1
2002-04-04,0.015625,1
2002-04-05,0.578125,1
2002-04-08,-0.234375,1
2002-04-09,0.234375,1
2002-04-10,-0.125,1
2002-04-11,0.15625,1
2002-04-12,0.40625,1
2002-04-15,0.203125,-1
2002-04-16,0.28125,-1
2002-04-17,0.28125,-1
2002-04-18,-0.09375,-1
2002-04-19,-0.125,-1
2002-04-22,-0.203125,-1
2002-04-23,-0.015625,-1
2002-04-24,-0.53125,-1
2002-04-25,-0.140625,-1
2002-04-26,-0.28125,-1
2002-04-29,0.25,-1
2002-04-30,-0.109375,-1
2002-05-01,-0.25,-1
2002-05-02,0.40625,-1
2002-05-03,-0.4375,-1
2002-05-06,0.125,-1
2002-05-07,-0.109375,-1
2002-05-08,0.984375,-1
2002-05-09,-0.296875,-1
2002-05-10,-0.53125,-1
2002-05-13,0.625,-1
2002-05-14,0.640625,-1
2002-05-15,-0.265625,-1
2002-05-16,-0.53125,-1
2002-05-17,0.421875,-1
2002-05-20,-0.46875,-1
2002-05-21,-0.359375,-1
2002-05-22,-0.375,-1
2002-05-23,0.265625,-1
2002-05-24,-0.203125,-1
2002-05-28,-0.03125,-1
2002-05-29,-0.40625,-1
2002-05-30,-0.359375,-1
2002-05-31,0.109375,-1
2002-06-03,-0.0625,-1
2002-06-04,-0.171875,-1
2002-06-05,0.15625,-1
2002-06-06,-0.25,-1
2002-06-07,0.265625,-1
2002-06-10,-0.15625,-1
2002-06-11,-0.359375,-1
2002-06-12,-0.265625,-1
2002-06-13,-0.3125,-1
2002-06-14,-0.8125,-1
2002-06-17,0.40625,-1
2002-06-18,-0.078125,-1
2002-06-19,-0.875,-1
2002-06-20,0.765625,-1
2002-06-21,-0.578125,-1
2002-06-24,0.5,-1
2002-06-25,-0.046875,-1
2002-06-26,-0.890625,-1
2002-06-27,0.71875,-1
2002-06-28,0.09375,-1
2002-07-01,-0.0625,-1
2002-07-02,-0.625,-1
2002-07-03,0.078125,-1
2002-07-05,0.8125,-1
2002-07-08,-0.375,-1
2002-07-09,-0.53125,-1
2002-07-10,-0.71875,-1
2002-07-11,-0.1875,-1
2002-07-12,-0.1875,-1
2002-07-15,0.09375,-1
2002-07-16,0.578125,-1
2002-07-17,-0.421875,-1
2002-07-18,-0.390625,-1
2002-07-19,-0.296875,-1
2002-07-22,-0.703125,-1
2002-07-23,-0.3125,-1
2002-07-24,-0.1875,-1
2002-07-25,-0.171875,-1
2002-07-26,-0.203125,-1
2002-07-29,1.109375,-1
2002-07-30,0.203125,-1
2002-07-31,-0.875,-1
2002-08-01,-0.4375,-1
2002-08-02,-1.09375,-1
2002-08-05,-0.25,-1
2002-08-06,1.015625,-1
2002-08-07,-0.703125,-1
2002-08-08,0.625,-1
2002-08-09,-1.015625,-1
2002-08-12,-0.21875,-1
2002-08-13,-0.640625,-1
2002-08-14,0.046875,-1
2002-08-15,0.71875,-1
2002-08-16,1.046875,-1
2002-08-19,-0.171875,-1
2002-08-20,-1.046875,-1
2002-08-21,0.125,-1
2002-08-22,0.640625,-1
2002-08-23,-0.515625,-1
2002-08-26,-0.25,-1
2002-08-27,0.53125,-1
2002-08-28,-0.375,-1
2002-08-29,-0.4375,-1
2002-08-30,-0.140625,-1
2002-09-03,-1.265625,-1
2002-09-04,-0.234375,-1
2002-09-05,-0.34375,-1
2002-09-06,0.859375,-1
2002-09-09,0.0625,-1
2002-09-10,-0.34375,-1
2002-09-11,0.5,-1
2002-09-12,-0.65625,-1
2002-09-13,-0.453125,-1
2002-09-16,-0.234375,-1
2002-09-17,-0.125,-1
2002-09-18,-0.0625,-1
2002-09-19,-0.5,-1
2002-09-20,-0.109375,-1
