date,pnl,position
2008-01-04,35.8000000000000,0
2008-01-07,0,1
2008-01-08,-24.5,1
2008-01-09,14.6000000000001,1
2008-01-10,9.39999999999986,1
2008-01-11,-13.1999999999998,1
2008-01-14,12.5,1
2008-01-15,-32.3000000000002,1
2008-01-16,-11.8999999999999,1
2008-01-17,-36.4000000000001,1
2008-01-18,-14.3999999999999,1
2008-01-22,-16,1
2008-01-23,32.1999999999998,1
2008-01-24,10.7000000000000,1
2008-01-25,-18.0999999999999,1
2008-01-28,20.5,1
2008-01-29,7.5,1
2008-01-30,-11.5,1
2008-01-31,29,1
2008-02-01,17.5,0
2008-02-04,0,0
2008-02-05,0,0
2008-02-06,0,0
2008-02-07,0,0
2008-02-08,0,0
2008-02-11,0,0
2008-02-12,0,0
2008-02-13,0,0
2008-02-14,0,0
2008-02-15,0,0
2008-02-19,0,0
2008-02-20,0,0
2008-02-21,0,0
2008-02-22,0,0
2008-02-25,0,0
2008-02-26,0,0
2008-02-27,0,0
2008-02-28,0,0
2008-02-29,0,0
2008-03-03,0,0
2008-03-04,0,0
2008-03-05,0,0
2008-03-06,0,0
2008-03-07,0,1
2008-03-10,-17.2000000000000,1
2008-03-11,48.3,1
2008-03-12,-14.5,1
2008-03-13,3.79999999999995,1
2008-03-14,-22.3000000000000,1
2008-03-17,-13.5,1
2008-03-18,54.5,0
2008-03-19,0,0
2008-03-20,0,0
2008-03-24,0,0
2008-03-25,0,0
2008-03-26,0,0
2008-03-27,0,0
2008-03-28,0,0
2008-03-31,0,0
2008-04-01,0,0
2008-04-02,0,0
2008-04-03,0,0
2008-04-04,0,0
2008-04-07,0,0
2008-04-08,0,0
2008-04-09,0,0
2008-04-10,0,0
2008-04-11,0,0
2008-04-14,0,0
2008-04-15,0,0
2008-04-16,0,0
2008-04-17,0,0
2008-04-18,0,0
2008-04-21,0,0
2008-04-22,0,0
2008-04-23,0,0
2008-04-24,0,0
2008-04-25,0,0
2008-04-28,0,0
2008-04-29,0,0
2008-04-30,0,0
2008-05-01,0,0
2008-05-02,0,0
2008-05-05,0,0
2008-05-06,0,0
2008-05-07,0,0
2008-05-08,0,0
2008-05-09,0,0
2008-05-12,0,0
2008-05-13,0,0
2008-05-14,0,0
2008-05-15,0,0
2008-05-16,0,0
2008-05-19,0,0
2008-05-20,0,0
2008-05-21,0,0
2008-05-22,0,0
2008-05-23,0,0
2008-05-27,0,0
2008-05-28,0,0
2008-05-29,0,0
2008-05-30,0,0
