"","HAM1","HAM2","HAM3","HAM4","HAM5","HAM6","EDHEC.LS.EQ","SP500.TR","US.10Y.TR","US.3m.TR"
"Jan 1996",0.01,NA,0.0359,0.0208,NA,NA,NA,0.034,0.0038,0.00456
"Feb 1996",0.0215,NA,0.0295,0.0231,NA,NA,NA,0.0093,-0.03532,0.00398
"Mar 1996",0.0226,NA,0.0253,-0.0053,NA,NA,NA,0.0096,-0.01057,0.00371
"Apr 1996",8e-04,NA,0.0478,0.02,NA,NA,NA,0.0147,-0.01739,0.00428
"May 1996",0.0158,NA,0.0337,0.0122,NA,NA,NA,0.0258,-0.00543,0.00443
"Jun 1996",-0.0086,NA,-0.0293,-0.0089,NA,NA,NA,0.0038,0.01507,0.00412
"Jul 1996",-0.022,NA,-0.0413,-0.0501,NA,NA,NA,-0.0442,-0.001,0.00454
"Aug 1996",0.0321,-0.0085,0.0387,0.0343,NA,NA,NA,0.0211,-0.00448,0.00451
"Sep 1996",0.0117,0.107,0.0663,0.0828,NA,NA,NA,0.0563,0.02229,0.0047
"Oct 1996",0.0338,0.0351,0.0381,-0.0143,NA,NA,NA,0.0276,0.02869,0.00428
"Nov 1996",0.0149,0.0778,0.0682,0.0413,NA,NA,NA,0.0756,0.02797,0.00427
"Dec 1996",0.019,0.0248,0.0151,0.0376,NA,NA,NA,-0.0198,-0.02094,0.00442
"Jan 1997",0.018,0.0725,0.0808,0.0432,NA,NA,0.0281,0.0625,-0.00055,0.00457
"Feb 1997",0.001,-0.0048,-0.0395,0.0309,NA,NA,-6e-04,0.0078,-0.00167,0.0039
"Mar 1997",0.004,-0.0354,-0.0381,0.0032,NA,NA,-0.0084,-0.0411,-0.01958,0.00422
"Apr 1997",0.016,-0.0105,0.02,0.0355,NA,NA,0.0084,0.0597,0.01954,0.00477
"May 1997",0.038,0.0485,0.0751,0.0713,NA,NA,0.0394,0.0609,0.01033,0.00513
"Jun 1997",0.029,0.0496,0.0142,0.0335,NA,NA,0.0223,0.0448,0.01665,0.00365
"Jul 1997",0.022,0.1199,0.1173,0.0787,NA,NA,0.0454,0.0796,0.04161,0.0045
"Aug 1997",0.014,-0.0112,-0.0069,0.0141,NA,NA,0.0107,-0.056,-0.02148,0.00428
"Sep 1997",0.016,0.0542,0.0557,0.0137,NA,NA,0.0429,0.0548,0.02153,0.00458
"Oct 1997",-0.02,-0.0273,-0.044,0.0046,NA,NA,0.001,-0.0334,0.0262,0.00427
"Nov 1997",0.017,-0.0136,0.0122,-5e-04,NA,NA,-0.0026,0.0463,0.00241,0.0039
"Dec 1997",0.011,0.0178,-0.0025,0.003,NA,NA,0.0104,0.0172,0.01311,0.00429
"Jan 1998",-0.003,-0.0209,0.0453,-0.0032,NA,NA,0.0013,0.0111,0.02067,0.00468
"Feb 1998",0.036,0.096,0.0499,0.0352,NA,NA,0.0342,0.0721,-0.00846,0.00355
"Mar 1998",0.042,0.0653,0.0229,0.0381,NA,NA,0.0336,0.0512,0.00159,0.00473
"Apr 1998",0.001,7e-04,0.0264,0.0229,NA,NA,0.012,0.0101,0.00333,0.00449
"May 1998",-0.02,-0.0038,-0.0229,-0.01,NA,NA,-0.0087,-0.0172,0.01102,0.00416
"Jun 1998",0.003,0.0314,0.0374,-0.0231,NA,NA,0.0167,0.0406,0.01324,0.00419
"Jul 1998",-0.028,-0.0241,-0.0065,-0.0645,NA,NA,-6e-04,-0.0106,0.00051,0.00443
"Aug 1998",-0.0895,-0.0049,-0.0635,-0.18,NA,NA,-0.0552,-0.1446,0.03923,0.00456
"Sep 1998",0.0163,-9e-04,0.0585,0.0459,NA,NA,0.0206,0.0641,0.05055,0.00511
"Oct 1998",0.0551,0.0293,-0.0031,-0.0471,NA,NA,0.0169,0.0813,-0.00991,0.00393
"Nov 1998",0.0194,0.0705,0.0592,0.0841,NA,NA,0.0291,0.0606,-0.00937,0.00333
"Dec 1998",0.019,0.0919,0.0486,-0.0122,NA,NA,0.0408,0.0576,0.01028,0.00395
"Jan 1999",0,0.087,0.0232,0.0352,NA,NA,0.0258,0.0418,0.00417,0.00355
"Feb 1999",0.0152,-0.0289,-0.0487,-0.0609,NA,NA,-0.0169,-0.0311,-0.04474,0.00287
"Mar 1999",0.0368,0.0991,0.012,-0.0711,NA,NA,0.0229,0.04,0.00884,0.00411
"Apr 1999",0.0533,0.023,0.0461,0.0705,NA,NA,0.0312,0.0387,-0.00427,0.00385
"May 1999",0.0121,0.0089,0.0011,0.0674,NA,NA,0.0095,-0.0236,-0.01909,0.00389
"Jun 1999",0.0375,0.0656,0.0615,0.0029,NA,NA,0.0315,0.0555,-0.00933,0.00418
"Jul 1999",0.0025,0.0364,0.0081,0.0232,NA,NA,0.0177,-0.0312,-0.00227,0.00408
"Aug 1999",-0.0105,0.0212,0.0147,-0.0366,NA,NA,0.0022,-0.0049,-0.00516,0.00402
"Sep 1999",-0.0033,0.0234,-0.0022,-0.0234,NA,NA,0.0113,-0.0274,0.01128,0.0045
"Oct 1999",0.0082,0.0487,0.0816,0.0238,NA,NA,0.0212,0.0633,-0.00487,0.00394
"Nov 1999",0.0052,0.0624,0.1069,-0.0253,NA,NA,0.0481,0.0203,-0.00571,0.004
"Dec 1999",0.0141,0.152,0.0642,0.0058,NA,NA,0.0745,0.0589,-0.01347,0.00448
"Jan 2000",-0.018,0.0333,-0.0072,0.0511,NA,NA,0.0075,-0.0502,-0.01067,0.0043
"Feb 2000",0.0024,0.1521,0.1774,0.0399,NA,NA,0.0699,-0.0189,0.01669,0.00438
"Mar 2000",0.0485,-0.0294,0.0026,-0.0208,NA,NA,6e-04,0.0978,0.03431,0.00521
"Apr 2000",0.013,-0.0193,-0.0152,-0.0654,NA,NA,-0.0201,-0.0301,-0.0094,0.00466
"May 2000",0.0373,-0.0211,-0.0252,0.0108,NA,NA,-0.0097,-0.0205,0.00037,0.0061
"Jun 2000",0.0123,0.0183,0.0309,0.0697,NA,NA,0.0349,0.0247,0.02408,0.00431
"Jul 2000",0.0089,0.02,-0.0493,-0.0229,NA,NA,6e-04,-0.0156,0.00405,0.00454
"Aug 2000",0.0375,0.0338,0.0855,0.0472,0.166,NA,0.0345,0.0621,0.01644,0.00518
"Sep 2000",-6e-04,-0.0288,-0.0502,0.0541,-0.031,NA,-0.0016,-0.0528,-0.00015,0.00526
"Oct 2000",-0.004,-0.0269,0.014,-0.0815,-0.097,NA,-0.0084,-0.0042,0.00794,0.0052
"Nov 2000",0.017,-0.0177,-0.0336,-0.0684,-0.001,NA,-0.0153,-0.0788,0.0272,0.00548
"Dec 2000",-0.0012,0.0197,0.0183,0.046,0.084,NA,0.0248,0.0049,0.02979,0.00551
"Jan 2001",0.0011,-0.0269,0.0312,0.084,-0.088,NA,0.0165,0.0355,0.00102,0.00658
"Feb 2001",0.0098,-0.0096,-0.0389,-0.0568,8e-04,NA,-0.0264,-0.0912,0.01458,0.00381
"Mar 2001",-0.0101,-0.0023,-0.004,-0.007,0.0132,NA,-0.0199,-0.0634,0.00287,0.00459
"Apr 2001",0.0284,0.0033,0.0146,0.0311,0.0103,NA,0.0246,0.0777,-0.02603,0.00439
"May 2001",0.0493,0.0135,-1e-04,0.1583,0.0121,NA,0.0043,0.0067,-0.00073,0.00388
"Jun 2001",0.0092,-0.0247,-0.0157,-0.0854,-0.0289,NA,0.0019,-0.0243,0.00468,0.00292
"Jul 2001",0.0139,-0.0119,-5e-04,-0.0477,0.0045,NA,-0.0144,-0.0098,0.03152,0.00329
"Aug 2001",0.0116,0.0054,-0.0296,-0.0782,-0.0723,NA,-0.0096,-0.0626,0.01534,0.00325
