markit_name,otr_series,otr_version,start_date,end_date
CDXNAIG,9,1,2007-09-20,2008-03-24
CDXNAIG,10,1,2008-03-25,2008-10-01
CDXNAIG,11,1,2008-10-02,2009-03-19
CDXNAIG,12,1,2009-03-20,2009-09-19
CDXNAIG,13,1,2009-09-20,NA
CDXNAIGHVOL,9,1,2007-09-20,2008-03-24
CDXNAIGHVOL,10,1,2008-03-25,2008-10-01
CDXNAIGHVOL,11,1,2008-10-02,2009-03-19
CDXNAIGHVOL,12,1,2009-03-20,2009-09-19
CDXNAIGHVOL,13,1,2009-09-20,NA
iTraxx Eur,10,1,2008-03-20,2009-03-19
iTraxx Eur,11,1,2009-03-20,2009-09-19
iTraxx Eur,12,1,2009-09-20,NA
iTraxx Eur HiVol,10,1,2008-03-20,2009-03-19
iTraxx Eur HiVol,11,1,2009-03-20,2009-09-19
iTraxx Eur HiVol,12,1,2009-09-20,NA
iTraxx Eur Sub Finls,10,1,2008-03-20,2009-03-19
iTraxx Eur Sub Finls,11,1,2009-03-20,2009-09-19
iTraxx Eur Sub Finls,12,1,2009-09-20,NA
iTraxx Eur Xover,10,1,2008-03-20,2009-03-19
iTraxx Eur Xover,11,1,2009-03-20,2009-09-19
iTraxx Eur Xover,12,1,2009-09-20,NA
