abc_snrfor_usd_xr,ABC5X
abt_snrfor_usd_mr,ABT5M
adm_snrfor_usd_mr,ADM5M
aig-intleasefin_snrfor_usd_mr,AIGI5M
altel_snrfor_usd_mr,ALTE5M
attinc-ml_snrfor_usd_mr,ATTIM5M
attinc_snrfor_usd_mr,ATTI5M
bacorp_snrfor_usd_mr,BACO5M
aby_snrfor_usd_xr,ABY5X
aep_snrfor_usd_mr,AEP5M
aes_snrfor_usd_xr,AES5X
aet_snrfor_usd_mr,AET5M
aig_snrfor_usd_mr,AIG5M
aks-corp_snrfor_usd_xr,AKSC5X
amd_snrfor_usd_xr,AMD5X
apc_snrfor_usd_mr,APC5M
arm_snrfor_usd_xr,ARM5X
arw_snrfor_usd_mr,ARW5M
avbdgt_snrfor_usd_xr,AVBD5X
axl-inc_snrfor_usd_mr,AXLI5M
axp_snrfor_usd_mr,AXP5M
aye-energysupp_snrfor_usd_xr,AYEE5X
bax_snrfor_usd_mr,BAX5M
bls_snrfor_usd_mr,BLS5M
bmy_snrfor_usd_mr,BMY5M
bni_snrfor_usd_mr,BNI5M
aa_snrfor_usd_mr,AA5M
ace_snrfor_usd_mr,ACE5M
alcor_snrfor_usd_xr,ALCO5X
all_snrfor_usd_mr,ALL5M
amgn_snrfor_usd_mr,AMGN5M
amkr_snrfor_usd_xr,AMKR5X
amr_snrfor_usd_xr,AMR5X
amt_snrfor_usd_xr,AMT5X
ash_snrfor_usd_mr,ASH5M
avt_snrfor_usd_xr,AVT5X
aw-northamerica_snrfor_usd_xr,AWNO5X
azo_snrfor_usd_mr,AZO5M
ba-capcorp_snrfor_usd_mr,BACA5M
ba_snrfor_usd_mr,BA5M
cargil_snrfor_usd_mr,CARG5M
cat-finserv_snrfor_usd_mr,CATF5M
cat_snrfor_usd_mr,CAT5M
bnp_snrfor_usd_mr,BNP5M
bomb-capinc_snrfor_usd_mr,BOMB5M
bomb_snrfor_usd_xr,BOMB5X
bow_snrfor_usd_xr,BOW5X
bsc_snrfor_usd_mr,BSC5M
bsx_snrfor_usd_mr,BSX5M
bud_snrfor_usd_mr,BUD5M
bzh_snrfor_usd_xr,BZH5X
c_snrfor_usd_mr,C5M
cag_snrfor_usd_mr,CAG5M
cah_snrfor_usd_mr,CAH5M
cainc_snrfor_usd_xr,CAIN5X
cb_snrfor_usd_mr,CB5M
cbscor_snrfor_usd_mr,CBSC5M
cce_snrfor_usd_mr,CCE5M
cci_snrfor_usd_xr,CCI5X
ccl_snrfor_usd_mr,CCL5M
ccr-homeloans_snrfor_usd_mr,CCRH5M
ccr_snrfor_usd_mr,CCR5M
ccu_snrfor_usd_xr,CCU5X
cd-avisbdgt_snrfor_usd_xr,CDAV5X
ceg_snrfor_usd_mr,CEG5M
cem_snrfor_usd_xr,CEM5X
chk_snrfor_usd_xr,CHK5X
ci_snrfor_usd_mr,CI5M
cit_snrfor_usd_mr,CIT5M
cls_snrfor_usd_xr,CLS5X
clx_snrfor_usd_mr,CLX5M
cmcsa-cablellc_snrfor_usd_mr,CMCSC5M
cmcsa_snrfor_usd_mr,CMCS5M
cms_snrfor_usd_xr,CMS5X
cng-awe_snrfor_usd_mr,CNGA5M
cnh-cnh_snrfor_usd_xr,CNHC5X
cnp_snrfor_usd_mr,CNP5M
cooper_snrfor_usd_xr,COOP5X
cop_snrfor_usd_mr,COP5M
cox-comminc_snrfor_usd_mr,COXC5M
cpb_snrfor_usd_mr,CPB5M
csc_snrfor_usd_mr,CSC5M
csx_snrfor_usd_mr,CSX5M
ctl_snrfor_usd_mr,CTL5M
ctx_snrfor_usd_mr,CTX5M
cum_snrfor_usd_xr,CUM5X
cvccsc_snrfor_usd_xr,CVCC5X
cvscrm_snrfor_usd_mr,CVSC5M
cvx_snrfor_usd_mr,CVX5M
d_snrfor_usd_mr,D5M
db_snrfor_usd_mr,DB5M
dcel_snrfor_usd_xr,DCEL5X
dd_snrfor_usd_mr,DD5M
dds_snrfor_usd_xr,DDS5X
de_snrfor_usd_mr,DE5M
delbb-america_snrfor_usd_xr,DELB5X
dhi_snrfor_usd_xr,DHI5X
dis_snrfor_usd_mr,DIS5M
dish-esdbs_snrfor_usd_xr,DISH5X
dny_snrfor_usd_mr,DNY5M
dol_snrfor_usd_xr,DOL5X
dow_snrfor_usd_mr,DOW5M
dtc_snrfor_usd_xr,DTC5X
dte_snrfor_usd_mr,DTE5M
dukeco_snrfor_usd_mr,DUKE5M
dvn_snrfor_usd_mr,DVN5M
dyn-holdings_snrfor_usd_xr,DYNH5X
eds_snrfor_usd_mr,EDS5M
ek_snrfor_usd_xr,EK5X
embrq_snrfor_usd_mr,EMBR5M
emn_snrfor_usd_mr,EMN5M
eop-eopoplp_snrfor_usd_mr,EOPE5M
ep_snrfor_usd_xr,EP5X
eqchem_snrfor_usd_xr,EQCH5X
etr_snrfor_usd_mr,ETR5M
exc-exelongen_snrfor_usd_mr,EXCE5M
exc_snrfor_usd_mr,EXC5M
expd_snrfor_usd_mr,EXPD5M
f-hertz_snrfor_usd_xr,FHER5X
f-motcrllc_snrfor_usd_mr,FMOT5M
f_snrfor_usd_mr,F5M
fch-lp_snrfor_usd_xr,FCHL5X
fdc_snrfor_usd_mr,FDC5M
fe_snrfor_usd_mr,FE5M
ffhcn_snrfor_usd_xr,FFHC5X
fhlmc_snrfor_usd_mr,FHLM5M
flex_snrfor_usd_xr,FLEX5X
fnma_snrfor_usd_mr,FNMA5M
fpl-capinc_snrfor_usd_mr,FPLC5M
fsl_snrfor_usd_xr,FSL5X
fst_snrfor_usd_xr,FST5X
