header1,header2,header3
abt,abt5M,ABT5M
adm,adm5M,ADM5M
aig-intleasefin,aigi5M,AIGI5M
altel,alte5M,ALTE5M
attinc-ml,attim5M,ATTIM5M
attinc,atti5M,ATTI5M
bacorp,baco5M,BACO5M
aby,aby5X,ABY5X
aep,aep5M,AEP5M
aes,aes5X,AES5X
aet,aet5M,AET5M
aig,aig5M,AIG5M
aks-corp,aksc5X,AKSC5X
amd,amd5X,AMD5X
apc,apc5M,APC5M
arm,arm5X,ARM5X
arw,arw5M,ARW5M
avbdgt,avbd5X,AVBD5X
axl-inc,axli5M,AXLI5M
axp,axp5M,AXP5M
aye-energysupp,ayee5X,AYEE5X
bax,bax5M,BAX5M
bls,bls5M,BLS5M
bmy,bmy5M,BMY5M
bni,bni5M,BNI5M
aa,aa5M,AA5M
ace,ace5M,ACE5M
alcor,alco5X,ALCO5X
all,all5M,ALL5M
amgn,amgn5M,AMGN5M
amkr,amkr5X,AMKR5X
amr,amr5X,AMR5X
amt,amt5X,AMT5X
ash,ash5M,ASH5M
avt,avt5X,AVT5X
aw-northamerica,awno5X,AWNO5X
azo,azo5M,AZO5M
ba-capcorp,baca5M,BACA5M
ba,ba5M,BA5M
cargil,carg5M,CARG5M
cat-finserv,catf5M,CATF5M
cat,cat5M,CAT5M
bnp,bnp5M,BNP5M
bomb-capinc,bomb5M,BOMB5M
bomb,bomb5X,BOMB5X
bow,bow5X,BOW5X
bsc,bsc5M,BSC5M
bsx,bsx5M,BSX5M
bud,bud5M,BUD5M
bzh,bzh5X,BZH5X
c,c5M,C5M
cag,cag5M,CAG5M
cah,cah5M,CAH5M
cainc,cain5X,CAIN5X
cb,cb5M,CB5M
cbscor,cbsc5M,CBSC5M
cce,cce5M,CCE5M
cci,cci5X,CCI5X
ccl,ccl5M,CCL5M
ccr-homeloans,ccrh5M,CCRH5M
ccr,ccr5M,CCR5M
ccu,ccu5X,CCU5X
cd-avisbdgt,cdav5X,CDAV5X
ceg,ceg5M,CEG5M
cem,cem5X,CEM5X
chk,chk5X,CHK5X
ci,ci5M,CI5M
cit,cit5M,CIT5M
cls,cls5X,CLS5X
clx,clx5M,CLX5M
cmcsa-cablellc,cmcsc5M,CMCSC5M
cmcsa,cmcs5M,CMCS5M
cms,cms5X,CMS5X
cng-awe,cnga5M,CNGA5M
cnh-cnh,cnhc5X,CNHC5X
cnp,cnp5M,CNP5M
cooper,coop5X,COOP5X
cop,cop5M,COP5M
cox-comminc,coxc5M,COXC5M
cpb,cpb5M,CPB5M
csc,csc5M,CSC5M
csx,csx5M,CSX5M
ctl,ctl5M,CTL5M
ctx,ctx5M,CTX5M
cum,cum5X,CUM5X
cvccsc,cvcc5X,CVCC5X
cvscrm,cvsc5M,CVSC5M
cvx,cvx5M,CVX5M
d,d5M,D5M
db,db5M,DB5M
dcel,dcel5X,DCEL5X
dd,dd5M,DD5M
dds,dds5X,DDS5X
de,de5M,DE5M
delbb-america,delb5X,DELB5X
dhi,dhi5X,DHI5X
dis,dis5M,DIS5M
dish-esdbs,dish5X,DISH5X
dny,dny5M,DNY5M
dol,dol5X,DOL5X
dow,dow5M,DOW5M
dtc,dtc5X,DTC5X
dte,dte5M,DTE5M
dukeco,duke5M,DUKE5M
dvn,dvn5M,DVN5M
dyn-holdings,dynh5X,DYNH5X
eds,eds5M,EDS5M
ek,ek5X,EK5X
embrq,embr5M,EMBR5M
emn,emn5M,EMN5M
eop-eopoplp,eope5M,EOPE5M
ep,ep5X,EP5X
eqchem,eqch5X,EQCH5X
etr,etr5M,ETR5M
exc-exelongen,exce5M,EXCE5M
exc,exc5M,EXC5M
expd,expd5M,EXPD5M
f-hertz,fher5X,FHER5X
f-motcrllc,fmot5M,FMOT5M
f,f5M,F5M
fch-lp,fchl5X,FCHL5X
fdc,fdc5M,FDC5M
fe,fe5M,FE5M
ffhcn,ffhc5X,FFHC5X
fhlmc,fhlm5M,FHLM5M
flex,flex5X,FLEX5X
fnma,fnma5M,FNMA5M
fpl-capinc,fplc5M,FPLC5M
fsl,fsl5X,FSL5X
fst,fst5X,FST5X
ge-capcorp,geca5M,GECA5M
ge-gnwth,gegn5M,GEGN5M
gis,gis5M,GIS5M
glw,glw5X,GLW5X
gm-rescllc,gmre5M,GMRE5M
gm,gm5M,GM5M
gmacll,gmac5M,GMAC5M
gps,gps5X,GPS5X
gr,gr5M,GR5M
gs,gs5M,GS5M
gt,gt5X,GT5X
hal,hal5M,HAL5M
has,has5X,HAS5X
hca,hca5X,HCA5X
hcr,hcr5X,HCR5X
hd,hd5M,HD5M
hess,hess5M,HESS5M
het-hoc,heth5X,HETH5X
het,het5X,HET5X
