,beta,hedge,triDaily
2008-12-03,1.314953104,-0.702007514,NA
2008-12-04,1.316294715,-0.669529512,-1.797469608
2008-12-05,1.308625108,-0.659153168,-0.852386196
2008-12-08,1.323522244,-0.672757046,-0.057559955
2008-12-09,1.308814748,-0.68317778,1.458452392
2008-12-10,1.321411036,-0.72052903,1.984077719
2008-12-11,1.279723883,-0.711660095,1.321984222
2008-12-12,1.210015191,-0.658409337,-1.218998833
2008-12-15,1.233488402,-0.676718869,0.531172982
2008-12-16,1.198475362,-0.647447683,-1.290028379
2008-12-17,1.193362139,-0.646781966,0.253087837
2008-12-18,1.2783014,-0.664942858,-1.754703851
2008-12-19,1.193596144,-0.619365639,-0.057569409
2008-12-22,1.09312684,-0.560375039,-0.432627528
2008-12-23,1.077305098,-0.559283392,0.604252535
2008-12-24,1.07203495,-0.551233295,-0.450081696
2008-12-26,1.032383562,-0.534906398,0.324383352
2008-12-29,1.048334307,-0.556675046,1.123615
2008-12-30,0.937164909,-0.497918234,-0.026856795
2008-12-31,0.939757019,-0.497475541,-0.132575757
2009-01-02,1.061810617,-0.572824897,1.026542528
2009-01-05,0.876719203,-0.48467417,1.242906839
2009-01-06,0.920541601,-0.511039945,0.259401015
2009-01-07,0.97485143,-0.534249118,-0.769195653
2009-01-08,1.036963476,-0.573255989,0.441169928
2009-01-09,1.040453755,-0.568051079,-0.571263409
2009-01-12,1.159749308,-0.623156845,-0.704454191
2009-01-13,1.208021528,-0.664127551,1.070213705
2009-01-14,1.266660685,-0.684600299,-0.47037361
2009-01-15,1.553926863,-0.850056911,0.549381791
2009-01-16,1.546944363,-0.846400078,-0.191400861
2009-01-20,1.318582921,-0.721071906,1.32023015
2009-01-21,1.346095324,-0.753044642,0.450565566
2009-01-22,1.348253674,-0.745083269,-0.311189566
2009-01-23,1.36982871,-0.775648407,1.061287723
2009-01-26,1.385989575,-0.793863292,0.427694208
2009-01-27,1.364670059,-0.775083515,-0.594970299
2009-01-28,1.297239708,-0.732118805,-0.906915754
2009-01-29,1.309362678,-0.73683591,0.339032707
2009-01-30,1.315774178,-0.745335319,0.606828966
2009-02-02,1.29276145,-0.722775444,-0.56390577
2009-02-03,1.277019154,-0.716283612,-0.038639715
2009-02-04,1.277662702,-0.726916941,0.733431481
2009-02-05,1.263240077,-0.72550042,0.258369993
2009-02-06,1.202763612,-0.684081398,-0.848502013
2009-02-09,1.183622299,-0.674705478,0.096969451
2009-02-10,1.139780838,-0.649226626,0.381819257
2009-02-11,1.120337025,-0.627174315,-0.858362747
2009-02-12,1.081400223,-0.605977079,0.042133541
