tenor,effDateNumUnits,effDateUnit,effDateAdjRule,matDateNumUnits,matDateUnit,matDateAdjRule,freq,acc,use
on,0,d,1,1,d,2,7,2,1
1w,2,d,1,1,w,2,7,2,1
2w,2,d,1,2,w,2,7,2,1
1m,2,d,1,1,m,4,7,2,1
2m,2,d,1,2,m,4,7,2,1
3m,2,d,1,3,m,4,7,2,1
4m,2,d,1,4,m,4,7,2,1
5m,2,d,1,5,m,4,7,2,1
6m,2,d,1,6,m,4,7,2,1
7m,2,d,1,7,m,4,7,2,1
8m,2,d,1,8,m,4,7,2,1
9m,2,d,1,9,m,4,7,2,1
10m,2,d,1,10,m,4,7,2,1
11m,2,d,1,11,m,4,7,2,1
12m,2,d,1,12,m,4,7,2,1
18m,2,d,1,18,m,1,2,4,1
2y,2,d,1,2,y,1,2,4,1
3y,2,d,1,3,y,1,2,4,1
4y,2,d,1,4,y,1,2,4,1
5y,2,d,1,5,y,1,2,4,1
6y,2,d,1,6,y,1,2,4,1
7y,2,d,1,7,y,1,2,4,1
8y,2,d,1,8,y,1,2,4,1
9y,2,d,1,9,y,1,2,4,1
10y,2,d,1,10,y,1,2,4,1
12y,2,d,1,12,y,1,2,4,1
15y,2,d,1,15,y,1,2,4,1
20y,2,d,1,20,y,1,2,4,1
25y,2,d,1,25,y,1,2,4,1
30y,2,d,1,30,y,1,2,4,1
40y,2,d,1,40,y,1,2,4,1
