,x..i..
2008-03-05 15:00:00,97.2475
2008-03-06 15:00:00,97.275
2008-03-07 15:00:00,97.39
2008-03-10 15:00:00,97.405
2008-03-11 15:00:00,97.23
2008-03-12 15:00:00,97.3
2008-03-13 15:00:00,97.395
2008-03-14 15:00:00,97.585
2008-03-17 15:00:00,97.735
2008-03-18 15:00:00,97.51
2008-03-19 15:00:00,97.52
2008-03-20 15:00:00,97.42
2008-03-24 15:00:00,97.315
2008-03-25 15:00:00,97.35
2008-03-26 15:00:00,97.365
2008-03-27 15:00:00,97.38
2008-03-28 15:00:00,97.39
2008-03-31 15:00:00,97.4
2008-04-01 15:00:00,97.295
2008-04-02 15:00:00,97.195
2008-04-03 15:00:00,97.195
2008-04-04 15:00:00,97.3
2008-04-07 15:00:00,97.26
2008-04-08 15:00:00,97.2
2008-04-09 15:00:00,97.215
2008-04-10 15:00:00,97.17
2008-04-11 15:00:00,97.21
2008-04-14 15:00:00,97.165
2008-04-15 15:00:00,97.11
2008-04-16 15:00:00,96.96
2008-04-17 15:00:00,96.79
2008-04-18 15:00:00,96.76
2008-04-21 15:00:00,96.795
2008-04-22 15:00:00,96.795
2008-04-23 15:00:00,96.805
2008-04-24 15:00:00,96.815
2008-04-25 15:00:00,96.805
2008-04-28 15:00:00,96.865
2008-04-29 15:00:00,96.915
2008-04-30 15:00:00,96.995
2008-05-01 15:00:00,97
2008-05-02 15:00:00,97.035
2008-05-05 15:00:00,97.02
2008-05-06 15:00:00,97.035
2008-05-07 15:00:00,97.035
2008-05-08 15:00:00,97.08
2008-05-09 15:00:00,97.05
2008-05-12 15:00:00,97.015
2008-05-13 15:00:00,96.925
2008-05-14 15:00:00,96.89
2008-05-15 15:00:00,96.975
2008-05-16 15:00:00,97.005
2008-05-19 15:00:00,97.055
2008-05-20 15:00:00,97.08
2008-05-21 15:00:00,97.065
2008-05-22 15:00:00,97.0175
2008-05-23 15:00:00,97.0475
2008-05-27 15:00:00,97.0025
2008-05-28 15:00:00,96.96
2008-05-29 15:00:00,96.955
2008-05-30 15:00:00,96.9675
2008-06-02 15:00:00,96.9875
2008-06-03 15:00:00,96.9925
2008-06-04 15:00:00,96.9725
2008-06-05 15:00:00,96.9425
2008-06-06 15:00:00,96.9375
2008-06-09 15:00:00,96.885
2008-06-10 15:00:00,96.805
2008-06-11 15:00:00,96.88
2008-06-12 15:00:00,96.735
2008-06-13 15:00:00,96.685
2008-06-16 15:00:00,96.655
2008-06-17 15:00:00,96.79
2008-06-18 15:00:00,96.86
2008-06-19 15:00:00,96.83
2008-06-20 15:00:00,96.885
2008-06-23 15:00:00,96.845
2008-06-24 15:00:00,96.895
2008-06-25 15:00:00,96.945
2008-06-26 15:00:00,97.015
2008-06-27 15:00:00,97.085
2008-06-30 15:00:00,97.07
2008-07-01 15:00:00,97.055
