,x..i..
2008-06-03 15:00:00,96.91
2008-06-04 15:00:00,96.89
2008-06-05 15:00:00,96.86
2008-06-06 15:00:00,96.855
2008-06-09 15:00:00,96.8025
2008-06-10 15:00:00,96.7225
2008-06-11 15:00:00,96.7975
2008-06-12 15:00:00,96.6525
2008-06-13 15:00:00,96.6025
2008-06-16 15:00:00,96.5725
2008-06-17 15:00:00,96.7075
2008-06-18 15:00:00,96.7775
2008-06-19 15:00:00,96.7475
2008-06-20 15:00:00,96.8025
2008-06-23 15:00:00,96.7625
2008-06-24 15:00:00,96.8125
2008-06-25 15:00:00,96.8625
2008-06-26 15:00:00,96.9325
2008-06-27 15:00:00,97.0025
2008-06-30 15:00:00,96.9875
2008-07-01 15:00:00,96.9725
2008-07-02 15:00:00,96.9875
2008-07-03 15:00:00,96.9975
2008-07-07 15:00:00,97.0075
2008-07-08 15:00:00,97.0225
2008-07-09 15:00:00,97.0275
2008-07-10 15:00:00,97.0075
2008-07-11 15:00:00,96.9875
2008-07-14 15:00:00,97.0225
2008-07-15 15:00:00,97.0675
2008-07-16 15:00:00,97.0625
2008-07-17 15:00:00,97.0325
2008-07-18 15:00:00,96.9925
2008-07-21 15:00:00,96.9925
2008-07-22 15:00:00,96.9625
2008-07-23 15:00:00,96.9475
2008-07-24 15:00:00,97.0275
2008-07-25 15:00:00,97.0025
2008-07-28 15:00:00,97.0325
2008-07-29 15:00:00,97.0225
2008-07-30 15:00:00,97.1075
2008-07-31 15:00:00,97.1075
2008-08-01 15:00:00,97.0775
2008-08-04 15:00:00,97.0675
2008-08-05 15:00:00,97.0825
2008-08-06 15:00:00,97.0825
2008-08-07 15:00:00,97.0975
2008-08-08 15:00:00,97.0925
2008-08-11 15:00:00,97.0925
2008-08-12 15:00:00,97.0875
2008-08-13 15:00:00,97.0775
2008-08-14 15:00:00,97.0725
2008-08-15 15:00:00,97.0625
2008-08-18 15:00:00,97.0525
2008-08-19 15:00:00,97.065
2008-08-20 15:00:00,97.09
2008-08-21 15:00:00,97.09
2008-08-22 15:00:00,97.0875
2008-08-25 15:00:00,97.0925
2008-08-26 15:00:00,97.0925
2008-08-27 15:00:00,97.095
2008-08-28 15:00:00,97.095
2008-08-29 15:00:00,97.095
2008-09-02 15:00:00,97.1025
2008-09-03 15:00:00,97.1025
2008-09-04 15:00:00,97.1
2008-09-05 15:00:00,97.1
2008-09-08 15:00:00,97.12
2008-09-09 15:00:00,97.145
