,x..i..
2008-06-03 15:00:00,97.1375
2008-06-04 15:00:00,97.1175
2008-06-05 15:00:00,97.0875
2008-06-06 15:00:00,97.0825
2008-06-09 15:00:00,97.03
2008-06-10 15:00:00,96.95
2008-06-11 15:00:00,97.025
2008-06-12 15:00:00,96.88
2008-06-13 15:00:00,96.83
2008-06-16 15:00:00,96.8
2008-06-17 15:00:00,96.935
2008-06-18 15:00:00,97.005
2008-06-19 15:00:00,96.975
2008-06-20 15:00:00,97.03
2008-06-23 15:00:00,96.99
2008-06-24 15:00:00,97.04
2008-06-25 15:00:00,97.09
2008-06-26 15:00:00,97.16
2008-06-27 15:00:00,97.23
2008-06-30 15:00:00,97.215
2008-07-01 15:00:00,97.2
2008-07-02 15:00:00,97.215
2008-07-03 15:00:00,97.225
2008-07-07 15:00:00,97.235
2008-07-08 15:00:00,97.25
2008-07-09 15:00:00,97.255
2008-07-10 15:00:00,97.235
2008-07-11 15:00:00,97.215
2008-07-14 15:00:00,97.25
2008-07-15 15:00:00,97.295
2008-07-16 15:00:00,97.29
2008-07-17 15:00:00,97.26
2008-07-18 15:00:00,97.22
2008-07-21 15:00:00,97.22
2008-07-22 15:00:00,97.19
2008-07-23 15:00:00,97.175
2008-07-24 15:00:00,97.255
2008-07-25 15:00:00,97.23
2008-07-28 15:00:00,97.26
2008-07-29 15:00:00,97.25
2008-07-30 15:00:00,97.335
2008-07-31 15:00:00,97.335
2008-08-01 15:00:00,97.305
2008-08-04 15:00:00,97.295
2008-08-05 15:00:00,97.31
2008-08-06 15:00:00,97.31
2008-08-07 15:00:00,97.325
2008-08-08 15:00:00,97.32
2008-08-11 15:00:00,97.32
2008-08-12 15:00:00,97.315
2008-08-13 15:00:00,97.305
2008-08-14 15:00:00,97.3
2008-08-15 15:00:00,97.29
2008-08-18 15:00:00,97.28
2008-08-19 15:00:00,97.2925
2008-08-20 15:00:00,97.3175
2008-08-21 15:00:00,97.3175
2008-08-22 15:00:00,97.315
2008-08-25 15:00:00,97.32
2008-08-26 15:00:00,97.32
2008-08-27 15:00:00,97.3225
2008-08-28 15:00:00,97.3225
2008-08-29 15:00:00,97.3225
2008-09-02 15:00:00,97.33
2008-09-03 15:00:00,97.33
2008-09-04 15:00:00,97.3275
2008-09-05 15:00:00,97.3275
2008-09-08 15:00:00,97.3475
2008-09-09 15:00:00,97.3725
2008-09-10 15:00:00,97.3525
2008-09-11 15:00:00,97.3375
2008-09-12 15:00:00,97.2925
2008-09-15 15:00:00,97.5875
2008-09-16 15:00:00,97.3125
2008-09-17 15:00:00,97.0825
2008-09-18 15:00:00,96.8275
2008-09-19 15:00:00,97.0025
2008-09-22 15:00:00,97.0275
2008-09-23 15:00:00,96.8375
2008-09-24 15:00:00,96.5275
2008-09-25 15:00:00,96.7525
2008-09-26 15:00:00,96.9275
2008-09-29 15:00:00,96.9975
2008-09-30 15:00:00,96.7725
2008-10-01 15:00:00,96.9075
2008-10-02 15:00:00,96.8925
2008-10-03 15:00:00,97.1275
2008-10-06 15:00:00,97.4625
2008-10-07 15:00:00,97.4875
2008-10-08 15:00:00,97.3625
2008-10-09 15:00:00,97.2825
2008-10-10 15:00:00,97.3725
2008-10-13 15:00:00,97.4675
2008-10-14 15:00:00,97.6125
2008-10-15 15:00:00,97.4975
2008-10-16 15:00:00,97.4925
2008-10-17 15:00:00,97.6875
2008-10-20 15:00:00,97.7075
2008-10-21 15:00:00,97.8875
2008-10-22 15:00:00,97.7925
2008-10-23 15:00:00,97.6675
2008-10-24 15:00:00,97.6325
2008-10-27 15:00:00,97.6925
2008-10-28 15:00:00,97.8125
2008-10-29 15:00:00,97.8925
2008-10-30 15:00:00,97.9175
2008-10-31 15:00:00,97.9825
2008-11-03 15:00:00,98.0575
2008-11-04 15:00:00,98.1725
2008-11-05 15:00:00,98.1925
2008-11-06 15:00:00,98.2075
2008-11-07 15:00:00,98.1925
2008-11-10 15:00:00,98.3125
2008-11-11 15:00:00,98.3725
2008-11-12 15:00:00,98.2725
2008-11-13 15:00:00,98.0325
2008-11-14 15:00:00,97.9325
2008-11-17 15:00:00,98.0475
2008-11-18 15:00:00,98.175
2008-11-19 15:00:00,98.215
2008-11-20 15:00:00,98.295
2008-11-21 15:00:00,98.225
2008-11-24 15:00:00,98.16
2008-11-25 15:00:00,98.1975
2008-11-26 15:00:00,98.1725
2008-11-28 15:00:00,98.1025
2008-12-01 15:00:00,98.08
2008-12-02 15:00:00,98.1425
2008-12-03 15:00:00,98.1725
2008-12-04 15:00:00,98.1275
2008-12-05 15:00:00,98.085
2008-12-08 15:00:00,98.11
