,x..i..
2007-05-29 15:00:00,96.1775
2007-05-30 15:00:00,96.1775
2007-05-31 15:00:00,NA
2007-06-01 15:00:00,96.175
2007-06-04 15:00:00,96.175
2007-06-05 15:00:00,96.17
2007-06-06 15:00:00,96.18
2007-06-07 15:00:00,96.165
2007-06-08 15:00:00,96.17
2007-06-11 15:00:00,96.165
2007-06-12 15:00:00,96.155
2007-06-13 15:00:00,96.15
2007-06-14 15:00:00,96.15
2007-06-15 15:00:00,96.155
2007-09-06 15:00:00,95.925
2007-09-07 15:00:00,95.96
2007-09-10 15:00:00,95.915
2007-09-11 15:00:00,95.77
2007-09-12 15:00:00,95.73
2007-09-13 15:00:00,95.755
2007-12-06 15:00:00,95.76
2007-12-07 15:00:00,95.715
2007-12-10 15:00:00,95.7325
2007-12-11 15:00:00,95.6225
2007-12-12 15:00:00,95.7275
2007-12-13 15:00:00,95.6725
2008-03-06 15:00:00,97.1925
2008-03-07 15:00:00,97.3075
2008-03-10 15:00:00,97.3225
2008-03-11 15:00:00,97.1475
2008-03-12 15:00:00,97.2175
2008-03-13 15:00:00,97.3125
2008-03-14 15:00:00,97.5025
2008-06-05 15:00:00,96.86
2008-06-06 15:00:00,96.855
2008-06-09 15:00:00,96.8025
2008-06-10 15:00:00,NA
2008-06-11 15:00:00,96.7975
2008-06-12 15:00:00,96.6525
2008-09-04 15:00:00,97.1
2008-09-05 15:00:00,97.1
2008-09-08 15:00:00,97.12
2008-09-10 15:00:00,97.125
2008-09-11 15:00:00,97.11
2008-09-12 15:00:00,97.065
2008-09-15 15:00:00,97.36
