,x..i..
2008-10-01 14:30:00,99.58685633
2008-10-02 14:30:00,94.97794468
2008-10-03 14:30:00,94.88697932
2008-10-06 14:30:00,88.75187105
2008-10-07 14:30:00,91.02600508
2008-10-08 14:30:00,89.90409896
2008-10-09 14:30:00,87.51878503
2008-10-10 14:30:00,78.53342877
2008-10-13 14:30:00,82.06086334
2008-10-14 14:30:00,79.47340417
2008-10-15 14:30:00,75.33953386
2008-10-16 14:30:00,70.59922779
2008-10-17 14:30:00,72.62068027
2008-10-20 14:30:00,74.89605442
2008-10-21 14:30:00,72.67102041
2008-10-22 14:30:00,67.20408163
2008-10-23 14:30:00,68.3014966
2008-10-24 14:30:00,64.58639456
2008-10-27 14:30:00,63.65006803
2008-10-28 14:30:00,63.15673469
2008-10-29 14:30:00,67.95918367
2008-10-30 14:30:00,66.40870748
2008-10-31 14:30:00,68.27129252
2008-11-03 14:30:00,64.3447619
2008-11-04 14:30:00,71.00979592
2008-11-05 14:30:00,65.74421769
2008-11-06 14:30:00,61.18340136
2008-11-07 14:30:00,61.4552381
2008-11-10 14:30:00,62.83455782
2008-11-11 14:30:00,59.73360544
2008-11-12 14:30:00,56.54204082
2008-11-13 14:30:00,58.63619048
2008-11-14 14:30:00,57.42802721
2008-11-17 14:30:00,55.32380952
2008-11-18 14:30:00,54.76
2008-11-19 14:30:00,54.1
2008-11-20 14:30:00,49.42
2008-11-21 14:30:00,49.93
2008-11-24 14:30:00,54.5
2008-11-25 14:30:00,50.77
2008-11-26 14:30:00,54.44
2008-11-28 14:30:00,54.43
2008-12-01 14:30:00,49.28
2008-12-02 14:30:00,46.96
2008-12-03 14:30:00,46.79
2008-12-04 14:30:00,43.67
2008-12-05 14:30:00,40.81
2008-12-08 14:30:00,43.71
2008-12-09 14:30:00,42.07
2008-12-10 14:30:00,43.52
2008-12-11 14:30:00,47.98
2008-12-12 14:30:00,46.28
2008-12-15 14:30:00,44.51
2008-12-16 14:30:00,44.49
