,cl200811,cl200812,cl200901,cl200902,cl200903
2008-10-01 14:30:00,98.53,97.92,98,98.17,98.41
2008-10-02 14:30:00,93.97,93.29,93.24,93.41,93.65
2008-10-03 14:30:00,93.88,93.01,92.81,92.88,93.05
2008-10-06 14:30:00,87.81,86.71,86.52,86.64,86.86
2008-10-07 14:30:00,90.06,88.71,88.4,88.45,88.56
2008-10-08 14:30:00,88.95,88.43,88.48,88.59,88.73
2008-10-09 14:30:00,86.59,86.62,86.91,87.19,87.48
2008-10-10 14:30:00,77.7,77.99,78.34,78.79,79.27
2008-10-13 14:30:00,81.19,81.68,82.04,82.42,82.8
2008-10-14 14:30:00,78.63,78.95,79.33,79.78,80.21
2008-10-15 14:30:00,74.54,74.88,75.24,75.71,76.19
2008-10-16 14:30:00,69.85,70.26,70.69,71.14,71.62
2008-10-17 14:30:00,71.85,72.13,72.49,72.92,73.38
2008-10-20 14:30:00,74.25,74.39,74.69,75.08,75.51
2008-10-21 14:30:00,70.89,72.18,72.64,73.13,73.61
2008-10-22 14:30:00,NA,66.75,67.16,67.64,68.11
2008-10-23 14:30:00,NA,67.84,68.24,68.71,69.17
2008-10-24 14:30:00,NA,64.15,64.58,65.06,65.54
2008-10-27 14:30:00,NA,63.22,63.71,64.23,64.75
2008-10-28 14:30:00,NA,62.73,63.21,63.72,64.23
2008-10-29 14:30:00,NA,67.5,67.99,68.54,69.07
2008-10-30 14:30:00,NA,65.96,66.54,67.27,67.97
2008-10-31 14:30:00,NA,67.81,68.48,69.22,69.92
2008-11-03 14:30:00,NA,63.91,64.59,65.3,66.02
2008-11-04 14:30:00,NA,70.53,71.19,71.96,72.79
2008-11-05 14:30:00,NA,65.3,66.01,66.84,67.77
2008-11-06 14:30:00,NA,60.77,61.47,62.36,63.33
2008-11-07 14:30:00,NA,61.04,61.87,62.81,63.76
2008-11-10 14:30:00,NA,62.41,63.27,64.19,65.09
2008-11-11 14:30:00,NA,59.33,60.22,61.12,62.05
2008-11-12 14:30:00,NA,56.16,57.03,57.95,58.84
2008-11-13 14:30:00,NA,58.24,59.06,60,60.95
2008-11-14 14:30:00,NA,57.04,57.6,58.4,59.3
2008-11-17 14:30:00,NA,54.95,55.49,56.28,57.15
2008-11-18 14:30:00,NA,54.39,54.76,55.58,56.45
2008-11-19 14:30:00,NA,53.62,54.1,54.95,55.88
2008-11-20 14:30:00,NA,49.62,49.42,50.41,51.44
2008-11-21 14:30:00,NA,NA,49.93,50.96,52.05
2008-11-24 14:30:00,NA,NA,54.5,55.62,56.68
2008-11-25 14:30:00,NA,NA,50.77,52.01,53.21
2008-11-26 14:30:00,NA,NA,54.44,55.7,56.92
2008-11-28 14:30:00,NA,NA,54.43,55.82,57.09
2008-12-01 14:30:00,NA,NA,49.28,50.68,52
2008-12-02 14:30:00,NA,NA,46.96,48.43,49.84
2008-12-03 14:30:00,NA,NA,46.79,48.32,49.87
2008-12-04 14:30:00,NA,NA,43.67,45.21,46.86
2008-12-05 14:30:00,NA,NA,40.81,42.93,44.76
2008-12-08 14:30:00,NA,NA,43.71,46.36,48.62
2008-12-09 14:30:00,NA,NA,42.07,44.66,46.86
2008-12-10 14:30:00,NA,NA,43.52,46.02,48.04
2008-12-11 14:30:00,NA,NA,47.98,50.84,52.97
2008-12-12 14:30:00,NA,NA,46.28,49.12,51.54
2008-12-15 14:30:00,NA,NA,44.51,47.47,50
2008-12-16 14:30:00,NA,NA,44.49,47.75,50.05
