,x..i..
2008-04-07 15:00:00,97.59
2008-04-08 15:00:00,97.53
2008-04-09 15:00:00,97.545
2008-04-10 15:00:00,97.5
2008-04-11 15:00:00,97.54
2008-04-14 15:00:00,97.495
2008-04-15 15:00:00,97.44
2008-04-16 15:00:00,97.29
2008-04-17 15:00:00,97.12
2008-04-18 15:00:00,97.09
2008-04-21 15:00:00,97.125
2008-04-22 15:00:00,97.125
2008-04-23 15:00:00,97.135
2008-04-24 15:00:00,97.145
2008-04-25 15:00:00,97.135
2008-04-28 15:00:00,97.195
2008-04-29 15:00:00,97.245
2008-04-30 15:00:00,97.325
2008-05-01 15:00:00,97.33
