,ed200806,ed200809,ed200812,ed200903,ed200906,ed200909,ed200912,ed201003,ed201006,ed201009,ed201012,ed201103,ed201106,ed201109,ed201112,ed201203,ed201206,ed201209,ed201212,ed201303,ed201306,ed201309,ed201312,ed201403,ed201406,ed201409,ed201412,ed201503,ed201506,ed201509,ed201512,ed201603,ed201606,ed201609,ed201612,ed201703,ed201706,ed201709,ed201712,ed201803,ed201806
2008-04-07 15:00:00,97.59,97.68,97.575,97.505,97.31,97.085,96.83,96.65,96.45,96.27,96.115,96,95.89,95.79,95.68,95.605,95.525,95.445,95.35,95.295,95.235,95.17,95.09,95.04,94.985,94.935,94.875,94.845,94.8,94.75,94.7,94.68,94.645,94.61,94.57,94.56,94.54,94.52,94.485,94.48,NA
2008-04-08 15:00:00,97.53,97.67,97.575,97.535,97.375,97.175,96.93,96.73,96.51,96.32,96.15,96.015,95.88,95.765,95.65,95.57,95.48,95.395,95.295,95.23,95.165,95.1,95.015,94.965,94.91,94.86,94.8,94.77,94.725,94.675,94.625,94.605,94.57,94.535,94.495,94.485,94.465,94.445,94.41,94.405,NA
2008-04-09 15:00:00,97.545,97.74,97.675,97.66,97.53,97.35,97.105,96.905,96.675,96.465,96.275,96.13,95.985,95.86,95.735,95.65,95.555,95.465,95.36,95.295,95.23,95.16,95.075,95.025,94.97,94.92,94.86,94.83,94.785,94.735,94.685,94.665,94.63,94.595,94.555,94.545,94.525,94.505,94.47,94.465,NA
2008-04-10 15:00:00,97.5,97.67,97.58,97.565,97.43,97.25,97.015,96.825,96.605,96.4,96.215,96.07,95.93,95.805,95.68,95.595,95.505,95.415,95.31,95.245,95.18,95.11,95.025,94.975,94.92,94.87,94.81,94.78,94.735,94.685,94.635,94.615,94.58,94.545,94.505,94.495,94.475,94.455,94.42,94.415,NA
2008-04-11 15:00:00,97.54,97.75,97.67,97.665,97.525,97.33,97.085,96.9,96.69,96.49,96.3,96.155,96.015,95.89,95.765,95.68,95.59,95.5,95.395,95.33,95.265,95.195,95.11,95.06,95.005,94.95,94.885,94.85,94.8,94.75,94.7,94.675,94.635,94.595,94.55,94.535,94.51,94.485,94.445,94.435,NA
2008-04-14 15:00:00,97.495,97.665,97.6,97.615,97.485,97.3,97.05,96.86,96.645,96.44,96.245,96.105,95.965,95.84,95.715,95.63,95.54,95.45,95.345,95.28,95.215,95.145,95.06,95.01,94.955,94.9,94.835,94.8,94.75,94.7,94.65,94.625,94.585,94.545,94.5,94.485,94.46,94.435,94.395,94.385,NA
2008-04-15 15:00:00,97.44,97.575,97.48,97.47,97.32,97.13,96.89,96.72,96.515,96.32,96.13,95.99,95.85,95.725,95.6,95.515,95.425,95.335,95.23,95.165,95.1,95.03,94.945,94.895,94.84,94.785,94.72,94.685,94.635,94.585,94.535,94.51,94.47,94.43,94.385,94.37,94.345,94.32,94.28,94.27,97.44
2008-04-16 15:00:00,97.29,97.41,97.29,97.26,97.09,96.895,96.665,96.5,96.3,96.11,95.925,95.79,95.655,95.535,95.41,95.33,95.24,95.155,95.05,94.985,94.92,94.85,94.765,94.715,94.665,94.61,94.545,94.515,94.47,94.425,94.38,94.36,94.32,94.28,94.235,94.22,94.2,94.175,94.135,94.125,97.29
2008-04-17 15:00:00,97.12,97.225,97.135,97.135,96.98,96.795,96.56,96.405,96.225,96.055,95.895,95.775,95.65,95.54,95.42,95.345,95.26,95.18,95.08,95.02,94.96,94.895,94.81,94.765,94.715,94.665,94.6,94.575,94.53,94.49,94.445,94.425,94.385,94.35,94.305,94.295,94.275,94.255,94.215,94.21,97.12
2008-04-18 15:00:00,97.09,97.165,97.085,97.075,96.925,96.755,96.54,96.405,96.23,96.06,95.9,95.785,95.665,95.56,95.445,95.375,95.295,95.22,95.125,95.065,95.005,94.94,94.855,94.81,94.76,94.71,94.645,94.62,94.575,94.535,94.49,94.47,94.435,94.4,94.355,94.345,94.325,94.305,94.265,94.26,97.09
