,x..i..
2006-05-25 15:00:00,96.625
2006-05-26 15:00:00,96.635
2006-05-30 15:00:00,96.615
2006-05-31 15:00:00,96.555
2006-06-01 15:00:00,96.555
2006-06-02 15:00:00,96.67
2006-06-05 15:00:00,96.59
2006-06-06 15:00:00,96.565
2006-06-07 15:00:00,96.55
2006-06-08 15:00:00,96.555
2006-06-09 15:00:00,96.55
2006-06-12 15:00:00,96.545
2006-06-13 15:00:00,96.54
2006-06-14 15:00:00,96.45
2006-06-15 15:00:00,96.405
2006-06-16 15:00:00,96.395
2006-06-19 15:00:00,96.385
2006-06-20 15:00:00,96.38
2006-06-21 15:00:00,96.375
2006-06-22 15:00:00,96.34
2006-06-23 15:00:00,96.315
2006-06-26 15:00:00,96.305
2006-06-27 15:00:00,96.32
2006-06-28 15:00:00,96.31
2006-06-29 15:00:00,96.375
2006-06-30 15:00:00,96.4
2006-07-03 15:00:00,96.38
2006-07-05 15:00:00,96.32
2006-07-06 15:00:00,96.33
2006-07-07 15:00:00,96.365
2006-07-10 15:00:00,96.365
2006-07-11 15:00:00,96.375
2006-07-12 15:00:00,96.375
2006-07-13 15:00:00,96.415
2006-07-14 15:00:00,96.435
2006-07-17 15:00:00,96.43
2006-07-18 15:00:00,96.38
2006-07-19 15:00:00,96.415
2006-07-20 15:00:00,96.455
2006-07-21 15:00:00,96.455
2006-07-24 15:00:00,96.445
2006-07-25 15:00:00,96.43
2006-07-26 15:00:00,96.46
2006-07-27 15:00:00,96.465
2006-07-28 15:00:00,96.51
2006-07-31 15:00:00,96.5
2006-08-01 15:00:00,96.49
2006-08-02 15:00:00,96.48
2006-08-03 15:00:00,96.455
2006-08-04 15:00:00,96.53
2006-08-07 15:00:00,96.515
2006-08-08 15:00:00,96.55
2006-08-09 15:00:00,96.55
2006-08-10 15:00:00,96.545
2006-08-11 15:00:00,96.53
2006-08-14 15:00:00,96.505
2006-08-15 15:00:00,96.535
2006-08-16 15:00:00,96.5625
2006-08-17 15:00:00,96.5525
2006-08-18 15:00:00,96.5575
2006-08-21 15:00:00,96.56
2006-08-22 15:00:00,96.5575
2006-08-23 15:00:00,96.56
2006-08-24 15:00:00,96.56
2006-08-25 15:00:00,96.565
2006-08-28 15:00:00,96.56
2006-08-29 15:00:00,96.5625
2006-08-30 15:00:00,96.5725
2006-08-31 15:00:00,96.585
2006-09-01 15:00:00,96.585
2006-09-05 15:00:00,96.5825
2006-09-06 15:00:00,96.5825
2006-09-07 15:00:00,96.5825
2006-09-08 15:00:00,96.585
2006-09-11 15:00:00,96.5825
2006-09-12 15:00:00,96.5825
2006-09-13 15:00:00,96.5925
2006-09-14 15:00:00,96.5725
2006-09-15 15:00:00,96.5675
2006-09-18 15:00:00,96.5575
2006-09-19 15:00:00,96.5875
2006-09-20 15:00:00,96.5875
2006-09-21 15:00:00,96.6375
2006-09-22 15:00:00,96.6525
2006-09-25 15:00:00,96.6775
2006-09-26 15:00:00,96.6525
2006-09-27 15:00:00,96.6475
2006-09-28 15:00:00,96.6375
2006-09-29 15:00:00,96.6325
