Date,fncl_4.5_1n_spread_duration:jpmorgan,fncl_5.0_1n_spread_duration:jpmorgan,fncl_5.5_1n_spread_duration:jpmorgan,fncl_6.0_1n_spread_duration:jpmorgan,fncl_6.5_1n_spread_duration:jpmorgan,fncl_7.0_1n_spread_duration:jpmorgan,fncl_7.5_1n_spread_duration:jpmorgan,fncl_8.0_1n_spread_duration:jpmorgan,fncl_8.5_1n_spread_duration:jpmorgan
2004-01-02 15:00:00,6.06679,5.57103,4.91317,3.95281,3.19675,3.08542,2.76273,2.22239,2.34914
2004-01-05 15:00:00,6.07522,5.57343,4.90756,3.94164,3.18489,3.07538,2.75359,2.21321,2.34135
2004-01-06 15:00:00,6.03032,5.49438,4.7766,3.78347,3.03764,2.96986,2.67431,2.15011,2.29397
2004-01-07 15:00:00,6.01404,5.47375,4.74506,3.74795,3.00767,2.94887,2.65866,2.13865,2.28488
2004-01-08 15:00:00,6.04259,5.50116,4.76983,3.76509,3.01562,2.95157,2.65987,2.13902,2.28479
2004-01-09 15:00:00,5.90562,5.31328,4.52585,3.5518,2.86311,2.85933,2.59889,2.10124,2.25326
2004-01-12 15:00:00,5.87507,5.29038,4.51792,3.5582,2.88463,2.87358,2.61413,2.11059,2.25957
2004-01-13 15:00:00,5.87549,5.27427,4.48128,3.5133,2.84228,2.84209,2.58963,2.0911,2.24464
2004-01-14 15:00:00,5.84027,5.22978,4.42383,3.45837,2.79667,2.80879,2.56598,2.07361,2.23138
2004-01-15 15:00:00,5.77585,5.16306,4.36452,3.42188,2.77222,2.79027,2.55243,2.0627,2.22275
2004-01-16 15:00:00,5.80613,5.21219,4.43155,3.48547,2.82438,2.82462,2.57841,2.08398,2.23833
2004-01-20 15:00:00,5.83379,5.24916,4.47951,3.53032,2.86063,2.85131,2.59786,2.09949,2.2503
2004-01-21 15:00:00,5.8364,5.24702,4.46657,3.51181,2.84099,2.83557,2.5844,2.08801,2.24158
2004-01-22 15:00:00,5.77965,5.17142,4.3795,3.43548,2.77778,2.79185,2.55561,2.06616,2.22609
2004-01-23 15:00:00,5.86199,5.29006,4.54353,3.59989,2.91764,2.89175,2.62702,2.12025,2.26643
2004-01-26 15:00:00,5.96038,5.41382,4.70524,3.76404,3.05745,2.98827,2.69344,2.16831,2.29957
2004-01-27 15:00:00,5.91242,5.34418,4.61122,3.66603,2.97268,2.92802,2.65021,2.13355,2.27507
2004-01-28 15:00:00,5.97904,5.45192,4.7653,3.83826,3.12428,3.0307,2.72355,2.19043,2.31506
2004-01-29 15:00:00,5.94232,5.41322,4.73764,3.83199,3.13435,3.04019,2.73393,2.20266,2.3248
2004-01-30 15:00:00,5.92782,5.37799,4.66432,3.73329,3.03509,2.96109,2.67222,2.15208,2.28658
2004-02-02 15:00:00,5.92223,5.40106,4.66112,3.63996,2.94349,2.89764,2.62335,2.11734,2.26264
2004-02-03 15:00:00,5.87719,5.3325,4.55326,3.525,2.84739,2.83692,2.58149,2.08741,2.24288
2004-02-04 15:00:00,5.90466,5.37186,4.60441,3.5746,2.88947,2.8651,2.60195,2.10403,2.25438
2004-02-05 15:00:00,5.93603,5.42453,4.68641,3.66899,2.97384,2.92123,2.6439,2.1371,2.27795
2004-02-06 15:00:00,5.8803,5.33096,4.54256,3.51779,2.8425,2.82877,2.57382,2.08333,2.23657
2004-02-09 15:00:00,5.79542,5.23211,4.4514,3.48631,2.84675,2.83358,2.58056,2.08838,2.23759
2004-02-10 15:00:00,5.8313,5.28576,4.51374,3.54194,2.8899,2.85968,2.59364,2.09561,2.24167
2004-02-11 15:00:00,5.79943,5.21362,4.39665,3.41683,2.78344,2.78724,2.5431,2.05788,2.21235
2004-02-12 15:00:00,5.85738,5.28288,4.46842,3.46661,2.81714,2.80922,2.55542,2.06464,2.21662
2004-02-13 15:00:00,5.8468,5.25414,4.42308,3.41891,2.77786,2.78526,2.53806,2.05141,2.20781
2004-02-17 15:00:00,5.85645,5.27074,4.44805,3.44301,2.79637,2.798,2.54665,2.05862,2.21291
2004-02-18 15:00:00,5.8732,5.28946,4.46079,3.44655,2.79593,2.7944,2.54207,2.05367,2.20929
2004-02-19 15:00:00,5.86613,5.28063,4.44826,3.434,2.78582,2.78639,2.53702,2.04987,2.20669
2004-02-20 15:00:00,5.87956,5.31443,4.50227,3.48932,2.83096,2.81771,2.56,2.06796,2.21977
2004-02-23 15:00:00,5.87626,5.29543,4.46697,3.44997,2.79467,2.79311,2.54235,2.05597,2.20789
2004-02-24 15:00:00,5.85146,5.26528,4.43986,3.43209,2.77983,2.78473,2.53852,2.05505,2.20835
2004-02-25 15:00:00,5.84728,5.25537,4.42522,3.41753,2.76649,2.77578,2.53264,2.05079,2.20548
2004-02-26 15:00:00,5.86684,5.28878,4.47364,3.46669,2.80805,2.80551,2.55328,2.06624,2.21661
2004-02-27 15:00:00,5.83954,5.24582,4.41489,3.40924,2.75591,2.76662,2.52406,2.04238,2.19852
2004-03-01 15:00:00,5.86634,5.25784,4.40198,3.30471,2.65306,2.70058,2.48298,2.00464,2.17244
2004-03-02 15:00:00,5.88197,5.29917,4.46375,3.37095,2.70945,2.74003,2.51145,2.02573,2.18097
2004-03-03 15:00:00,5.89342,5.31819,4.49482,3.4044,2.73628,2.75764,2.52144,2.03313,2.19258
2004-03-04 15:00:00,5.9007,5.31467,4.47807,3.38317,2.71256,2.73787,2.5052,2.01888,2.18135
2004-03-05 15:00:00,5.77081,5.08354,4.17443,3.1038,2.4887,2.58315,2.40105,1.93785,2.12251
2004-03-08 15:00:00,5.74576,5.03141,4.10499,3.04041,2.44096,2.55069,2.37834,1.91982,2.10858
2004-03-09 15:00:00,5.69091,4.95339,4.01717,2.9706,2.39171,2.51784,2.3577,1.90594,2.09884
2004-03-10 15:00:00,5.59509,4.84898,3.95849,2.99532,2.45382,2.57658,2.41092,1.95284,2.13578
2004-03-11 15:00:00,5.59695,4.84379,3.95313,2.9933,2.45203,2.57648,2.41178,1.95422,2.1368
2004-03-12 15:00:00,5.65354,4.92294,4.04462,3.06777,2.50441,2.61219,2.43583,1.97263,2.15026
2004-03-15 15:00:00,5.66434,4.94699,4.08141,3.10189,2.52943,2.63,2.4485,1.98355,2.15833
2004-03-16 15:00:00,5.53809,4.76934,3.88406,2.9392,2.40581,2.54445,2.39149,1.94118,2.12798
2004-03-17 15:00:00,5.41853,4.66068,3.79533,2.89052,2.38058,2.52721,2.38094,1.936,2.12353
2004-03-18 15:00:00,5.52727,4.81851,3.97213,3.03606,2.49279,2.6024,2.43151,1.97337,2.15053
2004-03-19 15:00:00,5.59834,4.91124,4.07047,3.11376,2.54934,2.64084,2.45577,1.9903,2.16232
2004-03-22 15:00:00,5.51489,4.79643,3.9467,3.0136,2.47283,2.58789,2.42078,1.96505,2.14441
2004-03-23 15:00:00,5.49228,4.76809,3.91615,2.98948,2.45237,2.5746,2.41127,1.95774,2.13893
2004-03-24 15:00:00,5.48413,4.75825,3.90396,2.97661,2.44237,2.56885,2.40763,1.95506,2.13745
2004-03-25 15:00:00,5.52833,5.12555,3.99571,3.05679,2.50347,2.60936,2.43431,1.97439,2.15193
2004-03-26 15:00:00,5.65794,5.31679,4.22089,3.25432,2.65959,2.71446,2.50436,2.02713,2.19016
2004-03-29 15:00:00,5.68922,5.3738,4.2965,3.32448,2.71912,2.75546,2.53172,2.04683,2.2039
2004-03-30 15:00:00,5.71059,5.39747,4.31557,3.33602,2.72607,2.75961,2.53349,2.0472,2.20381
2004-03-31 15:00:00,5.6563,5.31694,4.21877,3.25371,2.65891,2.71508,2.50324,2.02574,2.18858
2004-04-01 15:00:00,5.75425,5.41766,4.268,3.23951,2.62866,2.69477,2.4883,2.01122,2.1793
2004-04-02 15:00:00,5.86973,5.63114,4.61228,3.58805,2.92841,2.91037,2.64695,2.13811,2.27416
2004-04-05 15:00:00,5.9713,5.76356,4.77124,3.73172,3.05256,3.00075,2.70963,2.18466,2.30601
2004-04-06 15:00:00,5.95715,5.7255,4.6932,3.63899,2.96561,2.93725,2.66253,2.14675,2.27787
2004-04-07 15:00:00,5.92463,5.68042,4.63082,3.5743,2.90972,2.89932,2.6358,2.12698,2.26237
2004-04-08 15:00:00,5.95056,5.71643,4.67972,3.61985,2.94971,2.92841,2.6559,2.14249,2.27462
