Date,fncl_4.5_1n_partial_duration_30y:internal,fncl_5.0_1n_partial_duration_30y:internal,fncl_5.5_1n_partial_duration_30y:internal,fncl_6.0_1n_partial_duration_30y:internal,fncl_6.5_1n_partial_duration_30y:internal,fncl_7.0_1n_partial_duration_30y:internal,fncl_7.5_1n_partial_duration_30y:internal,fncl_8.0_1n_partial_duration_30y:internal,fncl_8.5_1n_partial_duration_30y:internal
"2007-01-02 15:00:00",0.79532,0.61615,0.53051,0.3154,0.19262,0.1119,0.08363,0.04463,0.0308
"2007-01-03 15:00:00",0.78692,0.60443,0.51643,0.29993,0.18174,0.10607,0.08067,0.04296,0.03034
"2007-01-04 15:00:00",0.76502,0.58318,0.49445,0.28037,0.16868,0.09907,0.0777,0.04127,0.02882
"2007-01-05 15:00:00",0.7712,0.58605,0.49504,0.28063,0.16886,0.09934,0.07778,0.04066,0.02836
"2007-01-08 15:00:00",0.79008,0.6018,0.50877,0.29225,0.18049,0.10814,0.08318,0.0422,0.03013
"2007-01-09 15:00:00",0.79534,0.71117,0.50983,0.27421,0.17979,0.10753,0.08243,0.04164,0.0297
"2007-01-10 15:00:00",0.82507,0.74507,0.53942,0.298,0.19682,0.1177,0.08792,0.04519,0.03149
"2007-01-11 15:00:00",0.84962,0.77609,0.56646,0.32052,0.21281,0.12894,0.0944,0.04776,0.03326
"2007-01-12 15:00:00",0.87526,0.80468,0.58963,0.33659,0.22402,0.13614,0.09784,0.04925,0.03498
"2007-01-16 15:00:00",0.87432,0.80108,0.58412,0.32918,0.21833,0.13249,0.09609,0.04866,0.04259
"2007-01-17 15:00:00",0.89311,0.82709,0.60524,0.34534,0.22992,0.14014,0.10036,0.05015,0.04429
"2007-01-18 15:00:00",0.88169,0.81352,0.594,0.33611,0.22327,0.13774,0.09957,0.04957,0.04392
"2007-01-19 15:00:00",0.86752,0.8013,0.58471,0.33345,0.22299,0.13994,0.10074,0.05097,0.04543
"2007-01-22 15:00:00",0.85839,0.78988,0.57497,0.3267,0.21896,0.13712,0.09983,0.05038,0.04504
"2007-01-23 15:00:00",1.14649,1.12906,0.84258,0.51733,0.40086,0.331,0.2475,0.10362,0.12118
"2007-01-24 15:00:00",0.90135,0.84566,0.62449,0.36533,0.24866,0.15751,0.11095,0.05553,0.0496
"2007-01-25 15:00:00",0.93275,0.88632,0.6619,0.39741,0.27208,0.17349,0.1186,0.05998,0.05244
"2007-01-26 15:00:00",0.94818,0.90558,0.6785,0.40866,0.28043,0.17891,0.12196,0.06047,0.05423
"2007-01-29 15:00:00",0.96309,0.92464,0.69484,0.42072,0.28995,0.18462,0.12473,0.06195,0.05594
"2007-01-30 15:00:00",0.96427,0.92462,0.69444,0.42017,0.28926,0.18512,0.12573,0.06136,0.05646
"2007-01-31 15:00:00",0.95051,0.89623,0.66356,0.39413,0.2613,0.16888,0.11734,0.05883,0.05446
"2007-02-01 15:00:00",0.94591,0.89583,0.67132,0.4008,0.26615,0.17002,0.11875,0.05604,0.05206
"2007-02-02 15:00:00",0.94555,0.89093,0.66327,0.39017,0.25755,0.16502,0.11628,0.0546,0.05166
"2007-02-05 15:00:00",0.93801,0.87773,0.64873,0.3752,0.2467,0.15772,0.1143,0.05298,0.05022
"2007-02-06 15:00:00",0.91536,0.85062,0.62552,0.35812,0.23522,0.15199,0.11171,0.052,0.05046
"2007-02-07 15:00:00",0.92322,0.85779,0.63053,0.36478,0.24255,0.15819,0.11648,0.05472,0.05254
"2007-02-08 15:00:00",0.92024,0.85151,0.62417,0.35813,0.2364,0.15415,0.11488,0.05331,0.05214
"2007-02-09 15:00:00",0.95528,0.89809,0.66574,0.3928,0.26232,0.1717,0.12283,0.05791,0.05509
"2007-02-12 15:00:00",0.97327,0.92247,0.68804,0.41081,0.27608,0.18113,0.12666,0.05941,0.05702
"2007-02-13 15:00:00",0.97991,0.9318,0.69595,0.41738,0.28091,0.18518,0.12901,0.05986,0.05744
