Date,irs_usd_rate_10y_mid:internal,irs_usd_rate_2y_mid:internal,irs_usd_rate_30y_mid:internal,irs_usd_rate_5y_mid:internal
"2006-12-19 15:00:00",5.08773,5.0729,5.23701,4.99308
"2006-12-20 15:00:00",5.08625,5.0758,5.23673,4.99201
"2006-12-21 15:00:00",5.0363,5.02132,5.19324,4.93481
"2006-12-22 15:00:00",5.11343,5.07985,5.2647,5.01436
"2006-12-26 15:00:00",5.09157,5.07296,5.23622,4.99765
"2006-12-27 15:00:00",5.13325,5.12177,5.27848,5.04931
"2006-12-28 15:00:00",5.16669,5.15507,5.30957,5.08446
"2006-12-29 15:00:00",5.18474,5.16802,5.31547,5.1028
"2007-01-02 15:00:00",5.16471,5.14709,5.29383,5.08503
"2007-01-03 15:00:00",5.13072,5.10879,5.2591,5.04501
"2007-01-04 15:00:00",5.07985,5.05528,5.21694,4.99124
"2007-01-05 15:00:00",5.10473,5.09681,5.2316,5.02339
"2007-01-08 15:00:00",5.11672,5.12443,5.23707,5.0376
"2007-01-09 15:00:00",5.12272,5.13581,5.24351,5.04652
"2007-01-10 15:00:00",5.16375,5.16072,5.28962,5.07915
"2007-01-11 15:00:00",5.22052,5.2077,5.34426,5.13787
"2007-01-12 15:00:00",5.25946,5.23427,5.38527,5.17522
"2007-01-16 15:00:00",5.23974,5.22654,5.371,5.15623
"2007-01-17 15:00:00",5.2842,5.27059,5.4189,5.20506
"2007-01-18 15:00:00",5.24279,5.24318,5.37512,5.16135
"2007-01-19 15:00:00",5.26212,5.26704,5.38692,5.18345
"2007-01-22 15:00:00",5.23797,5.25441,5.36073,5.1652
"2007-01-23 15:00:00",5.28763,5.27963,5.41111,5.20381
"2007-01-24 15:00:00",5.29529,5.27953,5.42415,5.20998
"2007-01-25 15:00:00",5.36594,5.32623,5.49161,5.28047
"2007-01-26 15:00:00",5.38838,5.33762,5.51673,5.29832
"2007-01-29 15:00:00",5.41818,5.35655,5.54668,5.32403
"2007-01-30 15:00:00",5.40188,5.34289,5.53226,5.30368
"2007-01-31 15:00:00",5.34627,5.31093,5.47093,5.25958
"2007-02-01 15:00:00",5.34801,5.31945,5.46921,5.26516
"2007-02-02 15:00:00",5.32484,5.29639,5.45083,5.23413
"2007-02-05 15:00:00",5.29468,5.27186,5.42348,5.20271
"2007-02-06 15:00:00",5.25196,5.2452,5.38147,5.16671
"2007-02-07 15:00:00",5.23419,5.22444,5.36412,5.14321
"2007-02-08 15:00:00",5.2289,5.22374,5.35301,5.14183
"2007-02-09 15:00:00",5.30023,5.2738,5.42999,5.20728
"2007-02-12 15:00:00",5.32524,5.29205,5.45271,5.23015
"2007-02-13 15:00:00",5.32651,5.29799,5.45769,5.23588
"2007-02-14 15:00:00",5.22789,5.21801,5.36832,5.1331
"2007-02-15 15:00:00",5.20756,5.17873,5.34662,5.10635
"2007-02-16 15:00:00",5.20168,5.18449,5.33521,5.10525
"2007-02-20 15:00:00",5.18376,5.16623,5.32128,5.08691
"2007-02-21 15:00:00",5.20115,5.19038,5.33643,5.10542
"2007-02-22 15:00:00",5.24143,5.22429,5.37727,5.15009
"2007-02-23 15:00:00",5.19975,5.1853,5.33946,5.10128
"2007-02-26 15:00:00",5.15473,5.14082,5.28998,5.05528
"2007-02-27 15:00:00",5.0558,4.9809,5.20064,4.93929
"2007-02-28 15:00:00",5.09595,5.02875,5.23953,4.97756
"2007-03-01 15:00:00",5.10235,5.02462,5.25124,4.97381
"2007-03-02 15:00:00",5.0786,4.97828,5.23326,4.9443
"2007-03-05 15:00:00",5.07997,4.97557,5.23161,4.95048
"2007-03-06 15:00:00",5.07473,4.98732,5.22299,4.95222
"2007-03-07 15:00:00",5.03805,4.94832,5.19421,4.91075
"2007-03-08 15:00:00",5.04562,4.95959,5.20672,4.91797
"2007-03-09 15:00:00",5.13126,5.06684,5.28433,5.01486
"2007-03-12 15:00:00",5.09559,5.03254,5.25545,4.97547
"2007-03-13 15:00:00",5.04117,4.93439,5.21782,4.89304
"2007-03-14 15:00:00",5.0616,4.95176,5.24556,4.90729
"2007-03-15 15:00:00",5.06879,4.97705,5.24438,4.92939
"2007-03-16 15:00:00",5.08451,4.99504,5.25227,4.94395
"2007-03-19 15:00:00",5.1051,5.02156,5.2749,4.9672
"2007-03-20 15:00:00",5.07892,4.99963,5.2584,4.94125
"2007-03-21 15:00:00",5.03488,4.91163,5.22644,4.87333
"2007-03-22 15:00:00",5.10782,4.97263,5.31407,4.93971
"2007-03-23 15:00:00",5.14153,4.99988,5.34668,4.97503
"2007-03-26 15:00:00",5.11975,4.97451,5.33328,4.94631
"2007-03-27 15:00:00",5.13901,4.97357,5.35114,4.95651
"2007-03-28 15:00:00",5.15444,4.96218,5.38064,4.9543
"2007-03-29 15:00:00",5.1651,4.99087,5.38163,4.98416
"2007-03-30 15:00:00",5.17725,5.00046,5.39321,4.99158
"2007-04-02 15:00:00",5.17577,5.00012,5.3844,4.99259
"2007-04-03 15:00:00",5.19771,5.03482,5.39721,5.02266
"2007-04-04 15:00:00",5.18874,5.01795,5.39719,5.00891
"2007-04-05 15:00:00",5.21022,5.03121,5.42017,5.03034
"2007-04-06 15:00:00",5.28907,5.13816,5.48236,5.12849
"2007-04-09 15:00:00",5.28226,5.13942,5.47747,5.12394
"2007-04-10 15:00:00",5.26089,5.1134,5.46524,5.09784
"2007-04-11 15:00:00",5.275,5.12664,5.47494,5.11323
"2007-04-12 15:00:00",5.273,5.12908,5.46983,5.11685
"2007-04-13 15:00:00",5.29477,5.15847,5.48673,5.14494
"2007-04-16 15:00:00",5.26356,5.13672,5.44696,5.12208
"2007-04-17 15:00:00",5.2098,5.07364,5.39645,5.05466
"2007-04-18 15:00:00",5.17322,5.03311,5.3621,5.0145
"2007-04-19 15:00:00",5.19175,5.03347,5.38715,5.02486
"2007-04-20 15:00:00",5.19627,5.04467,5.39694,5.0256
"2007-04-23 15:00:00",5.17422,5.02207,5.38011,4.99942
"2007-04-24 15:00:00",5.1437,4.98899,5.35611,4.96593
"2007-04-25 15:00:00",5.17271,5.02053,5.38637,4.9995
"2007-04-26 15:00:00",5.22036,5.07436,5.43368,5.05107
"2007-04-27 15:00:00",5.23798,5.08286,5.45465,5.06722
"2007-04-30 15:00:00",5.16918,5.02046,5.38985,4.99249
"2007-05-01 15:00:00",5.18371,5.05553,5.3901,5.0179
"2007-05-02 15:00:00",5.18522,5.06369,5.3906,5.02423
"2007-05-03 15:00:00",5.20836,5.10598,5.40592,5.06248
"2007-05-04 15:00:00",5.1767,5.07993,5.37587,5.02598
"2007-05-07 15:00:00",5.17519,5.09116,5.3709,5.0292
"2007-05-08 15:00:00",5.17069,5.08484,5.37362,5.02033
"2007-05-09 15:00:00",5.21073,5.128,5.40769,5.06756
"2007-05-10 15:00:00",5.18686,5.09967,5.39539,5.03557
"2007-05-11 15:00:00",5.21071,5.11526,5.41353,5.063
"2007-05-14 15:00:00",5.23114,5.13715,5.42664,5.08619
"2007-05-15 15:00:00",5.25311,5.15373,5.45047,5.10944
"2007-05-16 15:00:00",5.24914,5.14637,5.44057,5.1059
"2007-05-17 15:00:00",5.30223,5.19171,5.48808,5.16039
"2007-05-18 15:00:00",5.36315,5.23323,5.54605,5.22093
"2007-05-21 15:00:00",5.33956,5.21645,5.52257,5.19841
"2007-05-22 15:00:00",5.38201,5.24494,5.562,5.24108
"2007-05-23 15:00:00",5.41645,5.25946,5.59755,5.26788
"2007-05-24 15:00:00",5.41097,5.26474,5.58904,5.27002
"2007-05-25 15:00:00",5.41521,5.26913,5.59105,5.28034
"2007-05-29 15:00:00",5.44021,5.2963,5.60288,5.31397
"2007-05-30 15:00:00",5.43871,5.30375,5.60199,5.32002
"2007-05-31 15:00:00",5.456,5.33832,5.60831,5.34728
"2007-06-01 15:00:00",5.52965,5.3998,5.67642,5.42104
"2007-06-04 15:00:00",5.50058,5.39139,5.63635,5.40175
"2007-06-05 15:00:00",5.54735,5.41695,5.68543,5.45116
"2007-06-06 15:00:00",5.54678,5.38534,5.71075,5.43126
"2007-06-07 15:00:00",5.69519,5.44854,5.85674,5.55376
"2007-06-08 15:00:00",5.7243,5.45218,5.8949,5.57495
"2007-06-11 15:00:00",5.74072,5.45105,5.90947,5.57619
"2007-06-12 15:00:00",5.8748,5.51272,6.05022,5.69015
"2007-06-13 15:00:00",5.80393,5.51673,5.94817,5.65072
"2007-06-14 15:00:00",5.81342,5.52662,5.96034,5.6648
"2007-06-15 15:00:00",5.76358,5.48705,5.92202,5.60807
"2007-06-18 15:00:00",5.72736,5.45972,5.89235,5.56543
"2007-06-19 15:00:00",5.66698,5.40689,5.83361,5.50082
"2007-06-20 15:00:00",5.72396,5.43865,5.88404,5.55907
"2007-06-21 15:00:00",5.78176,5.44641,5.95492,5.59512
"2007-06-22 15:00:00",5.7632,5.40794,5.93083,5.56449
"2007-06-25 15:00:00",5.70183,5.36157,5.87254,5.50687
"2007-06-26 15:00:00",5.72491,5.38008,5.89595,5.5333
"2007-06-27 15:00:00",5.68726,5.35739,5.85408,5.49635
"2007-06-28 15:00:00",5.7394,5.428,5.89493,5.5614
"2007-06-29 15:00:00",5.66917,5.36642,5.81771,5.495
"2007-07-02 15:00:00",5.62773,5.3394,5.78778,5.45002
"2007-07-03 15:00:00",5.67354,5.37254,5.82603,5.4945
"2007-07-05 15:00:00",5.77548,5.44918,5.92871,5.59957
"2007-07-06 15:00:00",5.8365,5.47298,5.98511,5.65166
"2007-07-09 15:00:00",5.79825,5.45813,5.95432,5.62102
"2007-07-10 15:00:00",5.7064,5.36756,5.86357,5.51804
"2007-07-11 15:00:00",5.7512,5.38407,5.91901,5.55268
"2007-07-12 15:00:00",5.76854,5.41694,5.92651,5.58538
"2007-07-13 15:00:00",5.75394,5.41614,5.90476,5.57032
"2007-07-16 15:00:00",5.69509,5.36335,5.84832,5.51293
"2007-07-17 15:00:00",5.74232,5.4046,5.89295,5.5583
"2007-07-18 15:00:00",5.68351,5.34428,5.83786,5.49333
"2007-07-19 15:00:00",5.69488,5.35184,5.84729,5.50562
"2007-07-20 15:00:00",5.64239,5.30161,5.80642,5.45069
"2007-07-23 15:00:00",5.65078,5.32211,5.8058,5.46304
"2007-07-24 15:00:00",5.64264,5.29905,5.80684,5.44475
"2007-07-25 15:00:00",5.61093,5.26419,5.77787,5.40803
"2007-07-26 15:00:00",5.5147,5.11548,5.71727,5.27112
"2007-07-27 15:00:00",5.54412,5.09711,5.74112,5.29556
"2007-07-30 15:00:00",5.55305,5.10844,5.74555,5.30338
"2007-07-31 15:00:00",5.50789,5.09768,5.70139,5.2661
"2007-08-01 15:00:00",5.5007,5.08449,5.68484,5.26222
"2007-08-02 15:00:00",5.47963,5.09828,5.6616,5.25425
"2007-08-03 15:00:00",5.43734,5.01088,5.63048,5.18034
"2007-08-06 15:00:00",5.46242,5.03838,5.65358,5.2085
