Date,AA.1C:internal,BB.1C:internal,aa_price_value_basis_point:test,bb_price_value_basis_point:test
2000-01-01,100,NA,4,2.2
2000-01-02,108.3476279,100,4.1,3
2000-01-03,103.1904132,103.0357499,NA,5
2000-01-04,101.8685222,96.12299381,4.1,2
2000-01-05,NA,104.2497094,4.3,NA
2000-01-06,108.6585731,104.8222475,5,3
2000-01-07,116.4665563,NA,6,4
2000-01-08,114.8528727,102.3817439,7,6
2000-01-09,124.0306825,108.711244,3,NA
2000-01-10,130.8017824,116.11669,2,2
2000-01-11,NA,114.8054346,1,1
2000-01-12,NA,122.3892839,NA,4
