,zScore,residual,sd,r2Adj,r2,pValues,beta,slope,hedgeY,hedgeX,dailyTri
2003-04-21,0.112556578,0.002422856,0.021525669,0.251488996,0.326340096,0.021525669,1.377778859,1.31E-05,1,-0.00590801,NA
2003-04-22,-2.082477297,-0.080600633,0.038704207,-0.10339276,0.006946516,0.038704207,-0.248784084,-2.13E-06,1,0.000958153,-0.429761278
2003-04-23,0.051478877,0.00199274,0.038709859,-0.10371502,0.006656482,0.038709859,-0.238396747,-2.02E-06,1,0.000910505,0.005504556
2003-04-24,-0.196911698,-0.006484652,0.032931777,-0.018007157,0.083793559,0.032931777,-0.781934342,-6.69E-06,1,0.0030113,-0.009171551
2003-04-25,-0.298369809,-0.009868379,0.033074321,-0.026839086,0.075844822,0.033074321,-0.707759306,-6.14E-06,1,0.002763916,-0.040212565
2003-04-28,0.317221571,0.010558864,0.033285455,-0.039990792,0.064008287,0.033285455,-0.597304597,-5.09E-06,1,0.0022917,0.039297067
2003-04-29,0.073071363,0.002412692,0.033018301,-0.023363606,0.078972755,0.033018301,-0.73694816,-6.26E-06,1,0.002818234,0.003567581
2003-04-30,-1.123201786,-0.03995248,0.035570171,-0.037806888,0.065973801,0.035570171,-0.729682386,-5.97E-06,1,0.002685816,-0.14401566
2003-05-01,-0.033370257,-0.000898541,0.026926398,0.187582716,0.268824444,0.026926398,-1.32840556,-1.09E-05,1,0.004892905,-0.005033737
2003-05-02,0.746057982,0.020047825,0.026871672,0.190881722,0.27179355,0.026871672,-1.343077501,-1.08E-05,1,0.004873652,0.054434021
2003-05-05,-0.18817069,-0.005064365,0.026913676,0.188350186,0.269515167,0.026913676,-1.331818793,-1.08E-05,1,0.00485121,-0.007441348
2003-05-06,-0.026255837,-0.000343079,0.013066764,-0.109954311,0.00104112,0.013066764,0.040717176,3.27E-07,1,-0.00014707,0.038669832
2003-05-07,0.01670382,0.000218259,0.013066441,-0.10989953,0.001090423,0.013066441,0.042645385,3.44E-07,1,-0.000154825,-0.001315577
2003-05-08,0.031838395,0.000416022,0.013066691,-0.109941886,0.001052302,0.013066691,0.041154504,3.35E-07,1,-0.00015093,-0.000671425
2003-05-09,-0.044346998,-0.000579471,0.013066738,-0.109949892,0.001045097,0.013066738,0.040872719,3.28E-07,1,-0.000147787,-0.008021975
2003-05-12,-0.046584529,-0.000608646,0.013065402,-0.109722951,0.001249344,0.013065402,0.048860604,3.88E-07,1,-0.000174482,-0.003853768
2003-05-13,0.011161111,0.000145824,0.013065383,-0.10971975,0.001252225,0.013065383,0.048973281,3.90E-07,1,-0.000175406,-0.001836065
2003-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.001642816
2003-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.003133764
