,zScore,residual,sd,r2Adj,r2,alpha.pVal,beta.pVal,alpha,beta,slope,hedgeY,hedgeX,dailyTri,tri,alpha.factorRank,beta.factorRank
2003-04-21,0.935693298,0.016202741,0.017316295,0.455166813,0.515703834,0.041169225,0.019329686,-0.013449562,1.56562024,1.49E-05,1,-0.006713487,NA,0,1,5
2003-04-22,-2.025693686,-0.070241211,0.034675139,-0.11687181,0.007225058,0.11081753,0.815399356,-0.020501696,0.22357312,1.91E-06,1,-0.000861057,-0.443051643,-0.443051643,1,10
2003-04-23,0.53096052,0.018294649,0.034455762,-0.10278443,0.019747173,0.104170969,0.698601008,-0.021401881,0.371726251,3.15E-06,1,-0.001419729,-0.009049127,-0.45210077,1,7
2003-04-24,0.298985826,0.009725825,0.032529386,-0.106682794,0.016281961,0.300725837,0.725373781,-0.012561434,-0.341924306,-2.93E-06,1,0.001316782,0.008771252,-0.443329519,1,2
2003-04-25,0.200415376,0.006448195,0.032174154,-0.082644081,0.037649706,0.253963299,0.591170476,-0.012888992,-0.461933403,-4.01E-06,1,0.001803925,-0.021233955,-0.464563474,1,1
2003-04-28,0.530676258,0.017308556,0.032616037,-0.112586541,0.011034185,0.274972791,0.772735567,-0.013053246,-0.240718741,-2.05E-06,1,0.000923574,0.024897212,-0.439666262,1,8
2003-04-29,0.43876122,0.014158895,0.03227016,-0.089114787,0.031897967,0.267219497,0.621537896,-0.012718583,-0.439937937,-3.74E-06,1,0.001682409,0.000147266,-0.439518996,1,5
2003-04-30,-0.686611071,-0.022558086,0.032854241,-0.095550195,0.026177605,0.148996607,0.655193888,-0.017067074,-0.403294941,-3.30E-06,1,0.001484448,-0.14401566,-0.583534656,1,5
2003-05-01,0.270617794,0.0073781,0.027263915,0.090773921,0.191799041,0.403318937,0.205553457,-0.008113064,-1.086573121,-8.89E-06,1,0.004002166,-0.003712233,-0.587246889,1,5
2003-05-02,0.902508657,0.024551104,0.027203178,0.094820408,0.195395918,0.402329212,0.200864666,-0.008105474,-1.101753193,-8.88E-06,1,0.003997954,0.043388853,-0.543858036,1,8
2003-05-05,0.153572875,0.004169465,0.027149746,0.098372824,0.198553621,0.385071738,0.196834897,-0.008344825,-1.098029888,-8.89E-06,1,0.003999623,-0.006478079,-0.550336116,1,3
2003-05-06,0.231456995,0.003021843,0.013055743,-0.108082785,0.015037524,0.343159783,0.735749682,-0.004300669,0.151773213,1.22E-06,1,-0.000548202,0.031516505,-0.518819611,1,8
2003-05-07,0.343275845,0.004503034,0.013117828,-0.118646635,0.005647436,0.363196309,0.836535876,-0.004028419,0.092734214,7.48E-07,1,-0.000336673,0.000770311,-0.5180493,1,3
2003-05-08,0.367637267,0.004825269,0.013125082,-0.119884168,0.004547407,0.365537874,0.853156089,-0.004000796,0.081560047,6.65E-07,1,-0.000299113,0.000983394,-0.517065905,1,2
2003-05-09,0.119168751,0.001543198,0.012949684,-0.090152861,0.030975235,0.312198388,0.626710075,-0.004786067,0.228734467,1.84E-06,1,-0.000827052,-0.009770539,-0.526836444,1,8
2003-05-12,0.132963556,0.00172375,0.012964082,-0.092578223,0.028819357,0.316565284,0.639162649,-0.004699766,0.238907358,1.90E-06,1,-0.000853141,-0.012004957,-0.538841401,1,8
