,zScore,residual,sd,r2Adj,r2,beta.pVal,beta,slope,hedgeY,hedgeX,dailyTri,tri,beta.factorRank
2003-04-17,-1.279023883,-0.050684287,0.039627319,0.999929091,0.071083186,3.43E-20,-0.694163517,-6.95E-06,1,0.003125876,NA,NA,10
2003-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
2003-04-21,-1.082703518,-0.041786308,0.038594414,0.999933056,0.170780065,2.65E-20,-0.695652987,-6.91E-06,1,0.003110298,0.003271466,0.003271466,9
2003-04-22,-2.047606613,-0.095390692,0.046586435,0.999903275,0.559515559,1.39E-19,-0.698206381,-6.57E-06,1,0.002958175,-0.280959201,-0.277687735,10
2003-04-23,-1.584956401,-0.072883853,0.045984769,0.999906539,0.762822454,1.19E-19,-0.700649564,-6.40E-06,1,0.0028783,0.021504729,-0.256183005,10
2003-04-24,-1.336215673,-0.067921663,0.050831362,0.999886486,0.793580868,2.85E-19,-0.7022303,-6.43E-06,1,0.002894419,-0.02432357,-0.280506576,9
2003-04-25,-1.222170693,-0.065567617,0.053648494,0.999874311,0.708144013,4.51E-19,-0.704016097,-6.52E-06,1,0.002935604,-0.03890349,-0.319410066,7
2003-04-28,-0.809746023,-0.042476515,0.05245659,0.999880548,0.700397303,3.58E-19,-0.705577357,-6.28E-06,1,0.00282458,0.041872389,-0.277537677,9
2003-04-29,-0.617847755,-0.028393319,0.045955203,0.999908864,0.674896556,1.06E-19,-0.707303122,-6.18E-06,1,0.002782767,0.004899781,-0.272637896,9
2003-04-30,-1.409530974,-0.052114624,0.036973025,0.999941451,0.754612916,1.45E-20,-0.709679413,-6.12E-06,1,0.002751932,-0.14401566,-0.416653556,8
2003-05-01,-1.165654049,-0.042958216,0.036853315,0.999942129,0.704506829,1.37E-20,-0.71109231,-6.08E-06,1,0.002734126,-0.005106465,-0.421760021,7
2003-05-02,-0.750876541,-0.022659084,0.030176843,0.999961397,0.626083804,2.22E-21,-0.712509198,-5.88E-06,1,0.00264475,0.027665167,-0.394094853,10
2003-05-05,-0.917181196,-0.015567526,0.016973229,0.99998785,0.379216373,1.22E-23,-0.713943873,-5.87E-06,1,0.002641374,-0.004989555,-0.399084408,9
2003-05-06,-0.444483909,-0.007404385,0.016658387,0.999988315,0.425202298,1.03E-23,-0.714257843,-5.78E-06,1,0.00259906,0.020107211,-0.378977198,10
2003-05-07,-0.517453568,-0.007950532,0.015364726,0.999990076,0.522862732,4.92E-24,-0.714712786,-5.81E-06,1,0.002615488,-0.015595452,-0.39457265,8
2003-05-08,-0.810182741,-0.011945889,0.014744685,0.999990875,0.460210846,3.37E-24,-0.715186,-5.90E-06,1,0.002654395,-0.025881271,-0.420453921,6
2003-05-09,-0.041151132,-0.000587909,0.014286583,0.999991447,0.286181485,2.52E-24,-0.715364169,-5.75E-06,1,0.002588117,0.025080861,-0.39537306,9
2003-05-12,0.827241757,0.009914071,0.01198449,0.999993991,0.120571281,5.15E-25,-0.715596366,-5.62E-06,1,0.002530195,0.028977069,-0.366395991,10
2003-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.005622612,-0.372018603,NA
2003-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.008406816,-0.38042542,NA
