,x..i..
1999-01-22,0.614913696
1999-01-24,NA
1999-01-25,0.569427453
1999-01-26,0.580272601
1999-01-27,0.614683191
1999-01-28,0.562856673
1999-01-29,0.506020136
1999-02-01,0.515741432
1999-02-02,0.502874532
1999-02-03,0.544298895
1999-02-04,0.367909611
1999-02-05,0.348552221
1999-02-08,0.337615254
1999-02-09,0.33535542
1999-02-10,0.297029019
1999-02-11,0.131032861
1999-02-12,0.108033138
1999-02-16,0.007382941
1999-02-17,-0.000987859
1999-02-18,0.017549524
1999-02-19,0.047507173
1999-02-22,0.088492446
1999-02-23,0.068696299
1999-02-24,0.080138779
1999-02-25,0.03995753
1999-02-26,0.03403229
1999-03-01,0.030035889
1999-03-02,-0.002851596
1999-03-03,-0.037391575
1999-03-04,0.070025427
1999-03-05,0.166077124
1999-03-08,0.188014466
1999-03-09,0.178458476
1999-03-10,0.297840911
1999-03-11,0.307157162
1999-03-12,0.479935901
1999-03-15,0.429943295
1999-03-16,0.470895888
1999-03-17,0.426046698
1999-03-18,0.441085559
1999-03-19,0.451664962
1999-03-22,0.473486902
1999-03-23,0.515185998
1999-03-24,0.609181535
1999-03-25,0.56896963
1999-03-26,0.602327547
1999-03-29,0.672980878
1999-03-30,0.701814207
1999-03-31,0.768118737
1999-04-01,0.67978883
1999-04-05,0.716700559
1999-04-06,0.752172472
1999-04-07,0.622219123
1999-04-08,0.459100095
1999-04-09,0.439253648
1999-04-12,0.439445878
1999-04-13,0.444422278
1999-04-14,0.462795715
1999-04-15,0.427425131
1999-04-16,0.383612633
1999-04-19,0.372081197
1999-04-20,0.312867835
1999-04-21,0.175341122
1999-04-22,0.213487976
1999-04-23,0.240310654
1999-04-26,0.351928965
1999-04-27,0.35214581
1999-04-28,0.242386584
1999-04-29,0.229743218
1999-04-30,0.286593359
1999-05-03,0.249647956
1999-05-04,0.166941645
1999-05-05,0.256691506
1999-05-06,0.219154128
1999-05-07,0.240947169
1999-05-10,0.235767151
1999-05-11,0.237165051
1999-05-12,0.116931881
1999-05-13,0.245003231
1999-05-14,0.277161642
1999-05-17,0.272007283
1999-05-18,0.314457016
1999-05-19,0.400600307
1999-05-20,0.32197264
1999-05-21,0.304440322
1999-05-24,0.327488654
1999-05-25,0.216799125
1999-05-26,0.360798235
1999-05-27,0.421353753
1999-05-28,0.407390216
1999-06-01,0.372901417
1999-06-02,0.424972533
1999-06-03,0.441783408
1999-06-04,0.477732288
1999-06-07,0.496301241
1999-06-08,0.510608308
1999-06-09,0.514525643
1999-06-10,0.527303222
1999-06-11,0.529128963
1999-06-14,0.571772417
1999-06-15,0.608040338
1999-06-16,0.497840598
1999-06-17,0.457875991
1999-06-18,0.49783128
1999-06-21,0.477302727
1999-06-22,0.434182656
1999-06-23,0.44922891
1999-06-24,0.375427601
1999-06-25,0.224945749
1999-06-28,0.126270494
1999-06-29,0.122324719
1999-06-30,0.205166751
1999-07-01,0.220430094
1999-07-02,0.163222308
1999-07-06,0.158674147
1999-07-07,0.087988004
1999-07-08,0.08230046
1999-07-09,0.129186916
1999-07-12,0.091787331
1999-07-13,0.138657816
1999-07-14,0.119348995
1999-07-15,0.297619198
1999-07-16,0.320788307
1999-07-19,0.324896686
1999-07-20,0.523913435
1999-07-21,0.410503936
1999-07-22,0.457069602
1999-07-23,0.32435235
1999-07-26,0.297867376
1999-07-27,0.453966048
1999-07-28,0.292413732
1999-07-29,0.192837361
1999-07-30,-0.13768954
1999-08-02,-0.078545462
1999-08-03,-0.231615066
1999-08-04,-0.300975484
1999-08-05,-0.258875674
1999-08-06,-0.18261767
1999-08-09,-0.133622951
1999-08-10,-0.126090945
1999-08-11,-0.078018496
1999-08-12,-0.101307137
1999-08-13,-0.092753444
1999-08-16,-0.090771229
1999-08-17,-0.082798935
1999-08-18,-0.04553234
1999-08-19,-0.057110841
1999-08-20,-0.038952165
1999-08-23,-0.002205161
1999-08-24,-0.004738185
1999-08-25,0.030222914
1999-08-26,0.106415207
1999-08-27,0.188337524
1999-08-30,0.206785736
1999-08-31,0.232112526
1999-09-01,0.260908305
1999-09-02,0.267382721
1999-09-03,0.274400706
1999-09-07,0.197704147
1999-09-08,0.190466869
1999-09-09,0.153902887
