Date,pnl,position
2003/07/31,988.5416667,0
2003/08/31,982.2916667,0
2003/09/30,1086.458333,0
2003/10/31,928.125,0
2003/11/30,911.4583333,0
2003/12/31,907.2916667,0
2004/01/31,889.5833333,0
2004/02/29,898.9583333,0
2004/03/31,972.9166667,0
2004/04/30,912.5,0
2004/05/31,904.1666667,0
2004/06/30,1326.041667,0
2004/07/31,1147.916667,0
2004/08/31,1354.166667,0
2004/09/30,1609.375,0
2004/10/31,1570.833333,0
2004/11/30,1772.916667,0
2004/12/31,1955.208333,0
2005/01/31,2102.083333,0
2005/02/28,2205.208333,0
2005/03/31,2425,0
2005/04/30,2535.416667,0
2005/05/31,2586.458333,0
2005/06/30,2854.425,0
2005/07/31,2803.125,0
2005/08/31,3016.666667,0
2005/09/30,3287.5,0
2005/10/31,3385.416667,0
2005/11/30,3397.916667,0
2005/12/31,3617.708333,0
2006/01/31,3803.125,0
2006/02/28,3831.25,0
2006/03/31,4083.333333,0
2006/04/30,4117.708333,0
2006/05/31,4267.708333,0
2006/06/30,4473.958333,0
2006/07/31,4452.083333,0
2006/08/31,4442.708333,0
2006/09/30,4479.166667,0
2006/10/31,4441.666667,0
2006/11/30,4441.666667,0
2006/12/31,4452.083333,0
2007/01/31,4442.708333,0
2007/02/28,4454.166667,0
2007/03/31,4565.108333,0
2007/04/30,4465.108333,0
2007/05/31,4469.791667,0
2007/06/30,4583.333333,0
2007/07/31,4528.125,0
2007/08/31,4656.25,0
2007/09/30,4419.791667,0
