Date,pnl,position
2003/03/31,-7200,0
2003/04/30,-30000,0
2003/05/31,-20700,0
2003/06/30,-103800,0
2003/07/31,-29100,0
2003/08/31,-40800,0
2003/09/30,-3300,0
2003/10/31,6300,0
2003/11/30,-60300,0
2003/12/31,114000,0
2004/01/31,291600,0
2004/02/29,72600,0
2004/03/31,91500,0
2004/04/30,-79500,0
2004/05/31,168000,0
2004/06/30,124200,0
2004/07/31,-78900,0
2004/08/31,-24300,0
2004/09/30,44100,0
2004/10/31,100800,0
2004/11/30,87000,0
2004/12/31,-52800,0
2005/01/31,37500,0
2005/02/28,-185400,0
2005/03/31,257400,0
2005/04/30,334500,0
2005/05/31,437700,0
2005/06/30,376500,0
2005/07/31,374100,0
2005/08/31,-149400,0
2005/09/30,26400,0
2005/10/31,168000,0
2005/11/30,583200,0
2005/12/31,259500,0
2006/01/31,237900,0
2006/02/28,350400,0
2006/03/31,309900,0
2006/04/30,259800,0
2006/05/31,-17700,0
2006/06/30,102300,0
2006/07/31,74100,0
2006/08/31,-31200,0
2006/09/30,191400,0
2006/10/31,304200,0
2006/11/30,123600,0
2006/12/31,11700,0
2007/01/31,253500,0
2007/02/28,195600,0
2007/03/31,409500,0
2007/04/30,-115500,0
2007/05/31,126000,0
2007/06/30,150900,0
2007/07/31,-1019100,0
2007/08/31,2544900,0
2007/09/30,2202600,0
