Date,pnl,position
1987/08/31,1920895.865,0
1987/09/30,3053696.341,0
1987/10/31,-530368.0862,0
1987/11/30,669621.7263,0
1987/12/31,793862.7603,0
1988/01/31,138150.3462,0
1988/02/29,-21528.909,0
1988/03/31,804766.6896,0
1988/04/30,145640.911,0
1988/05/31,1568665.376,0
1988/06/30,2114123.675,0
1988/07/31,-1250737.337,0
1988/08/31,-941483.0804,0
1988/09/30,-33517.2849,0
1988/10/31,3137492.778,0
1988/11/30,526914.8886,0
1988/12/31,-1148133.086,0
1989/01/31,-3073.0056,0
1989/02/28,-179023.4003,0
1989/03/31,-426898.8848,0
1989/04/30,-1762953.277,0
1989/05/31,3876530.218,0
1989/06/30,2784723.632,0
1989/07/31,2239025.427,0
1989/08/31,-3652695.973,0
1989/09/30,-355158.9575,0
1989/10/31,-609766.5285,0
1989/11/30,-543356.5416,0
1989/12/31,222379.7436,0
1990/01/31,4391851.032,0
1990/02/28,571214.7775,0
1990/03/31,-293.3733,0
1990/04/30,2170392.773,0
1990/05/31,-143091.221,0
1990/06/30,-553202.3294,0
1990/07/31,2239708.974,0
1990/08/31,608663.5381,0
1990/09/30,-519772.5252,0
1990/10/31,650668.2942,0
1990/11/30,1626418.557,0
1990/12/31,295943.1085,0
1991/01/31,-2020371.548,0
1991/02/28,712635.3833,0
1991/03/31,-725432.8554,0
1991/04/30,-1842458.295,0
1991/05/31,-1355789.167,0
1991/06/30,575159.592,0
1991/07/31,1039887.515,0
1991/08/31,3794863.593,0
1991/09/30,4566181.555,0
1991/10/31,-1701087.426,0
1991/11/30,291057.258,0
1991/12/31,7218717.498,0
1992/01/31,-2556367.084,0
1992/02/29,-1461236.409,0
1992/03/31,94190.776,0
1992/04/30,-1021592.932,0
1992/05/31,737886.243,0
1992/06/30,2614740.632,0
1992/07/31,3799818.022,0
1992/08/31,1449956.97,0
1992/09/30,86587.204,0
1992/10/31,441836.439,0
1992/11/30,294503.852,0
1992/12/31,-273888.753,0
1993/01/31,2038162.53,0
1993/02/28,4405005.35,0
1993/03/31,-1208186.836,0
1993/04/30,-9977.425,0
1993/05/31,-1272084.125,0
1993/06/30,1697222.996,0
1993/07/31,-716300.773,0
1993/08/31,2243038.864,0
1993/09/30,548117.421,0
1993/10/31,-146700.695,0
1993/11/30,224521.645,0
1993/12/31,-1232059.448,0
1994/01/31,-69748.161,0
