run,TSAvgBarsEvenTrade,TSAvgBarsLosTrade,TSAvgBarWinTrade,TSGrossLoss,TSGrossProfit,TSLargestLosTrade,TSLargestWinTrade,TSMaxConsecLosers,TSMaxConsecWinners,TSMaxContractsHeld,TSClosePositionProfit,TSNumEvenTrades,TSNumLosTrades,TSNumWinTrades,TSPercentProfit,TSTotalTrades,TSTotalBarsEvenTrades,TSTotalBarsLosTrades,TSTotalBarsWinTrades,TSOpenPositionProfit,TSMaxIDDrawDown
1,0.0000,3.8889,25.8750,-24196437.5000,34831468.7500,-2026265.6250,11619312.5000,6.0000,3.0000,5428.0000,10635031.2500,0.0000,18.0000,8.0000,30.7692,26.0000,0.0000,70.0000,207.0000,11432234.3750,-11455546.8750
2,0.0000,3.9412,25.8750,-23176328.1250,34831468.7500,-2026265.6250,11619312.5000,5.0000,3.0000,5428.0000,11655140.6250,0.0000,17.0000,8.0000,32.0000,25.0000,0.0000,67.0000,207.0000,11432234.3750,-10448906.2500
3,0.0000,4.7143,25.8750,-19585984.3750,31569968.7500,-2026265.6250,11619312.5000,4.0000,3.0000,5428.0000,11983984.3750,0.0000,14.0000,8.0000,36.3636,22.0000,0.0000,66.0000,207.0000,11432234.3750,-7419843.7500
4,0.0000,4.7692,25.7500,-16635140.6250,30036109.3750,-2026265.6250,10360828.1250,4.0000,3.0000,5391.0000,13400968.7500,0.0000,13.0000,8.0000,38.0952,21.0000,0.0000,62.0000,206.0000,11432234.3750,-7419843.7500
5,0.0000,5.2500,31.0000,-16753390.6250,33985453.1250,-2046000.0000,13975281.2500,4.0000,3.0000,5391.0000,17232062.5000,0.0000,12.0000,7.0000,36.8421,19.0000,0.0000,63.0000,217.0000,11432234.3750,-9264031.2500
6,0.0000,5.6364,30.1429,-15917484.3750,31189765.6250,-2046000.0000,13975281.2500,4.0000,3.0000,5391.0000,15272281.2500,0.0000,11.0000,7.0000,38.8889,18.0000,0.0000,62.0000,211.0000,11432234.3750,-7485781.2500
7,0.0000,6.9091,39.4000,-16704265.6250,34111406.2500,-2046000.0000,13975281.2500,3.0000,1.0000,5391.0000,17407140.6250,0.0000,11.0000,5.0000,31.2500,16.0000,0.0000,76.0000,197.0000,11432234.3750,-6393890.6250
8,0.0000,7.0909,36.6000,-16818718.7500,30501843.7500,-2107031.2500,13975281.2500,4.0000,2.0000,5391.0000,13683125.0000,0.0000,11.0000,5.0000,31.2500,16.0000,0.0000,78.0000,183.0000,11432234.3750,-6527750.0000
9,0.0000,6.4000,40.0000,-16451156.2500,31282046.8750,-2107031.2500,12736093.7500,3.0000,2.0000,5391.0000,14830890.6250,0.0000,10.0000,5.0000,33.3333,15.0000,0.0000,64.0000,200.0000,11432234.3750,-6441890.6250
10,0.0000,5.9091,39.6000,-17481468.7500,30486968.7500,-2107031.2500,11941015.6250,3.0000,2.0000,5391.0000,13005500.0000,0.0000,11.0000,5.0000,31.2500,16.0000,0.0000,65.0000,198.0000,11432234.3750,-6441890.6250
11,0.0000,5.8182,40.2000,-18286890.6250,28017203.1250,-2107031.2500,11736312.5000,3.0000,2.0000,5391.0000,9730312.5000,0.0000,11.0000,5.0000,31.2500,16.0000,0.0000,64.0000,201.0000,11432234.3750,-6883640.6250
7,0.0000,6.9091,39.4000,-16704265.6250,34111406.2500,-2046000.0000,13975281.2500,3.0000,1.0000,5391.0000,17407140.6250,0.0000,11.0000,5.0000,31.2500,16.0000,0.0000,76.0000,197.0000,11432234.3750,-6393890.6250
