2|CM00407_20060103|S|Successful add of a RateSchedule
3|PRTSL7MZ_20060103|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
3|PRTSL7MZ_20060103|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #3 of the data file and line #3 of the Rejects file Server Commit Status is: Not found
4|CRDSUI00407_20060105|S|Successful add of a RateSchedule
5|ACABS 05-1A C_20060105|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
5|ACABS 05-1A C_20060105|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #5 of the data file and line #4 of the Rejects file Server Commit Status is: Not found
6|SCF 7A D1_20060106|S|Successful add of a RateSchedule
7|DLJ8CGIO_20060110|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
7|DLJ8CGIO_20060110|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #7 of the data file and line #5 of the Rejects file Server Commit Status is: Not found
8|ARMSG31A_20060110|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
8|ARMSG31A_20060110|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #8 of the data file and line #6 of the Rejects file Server Commit Status is: Not found
9|CFC00407_20060111|S|Successful add of a RateSchedule
10|START 05-A D_20060112|S|Successful add of a RateSchedule
11|DVI031D1_20060112|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
11|DVI031D1_20060112|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #11 of the data file and line #7 of the Rejects file Server Commit Status is: Not found
12|DVI031C1_20060112|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
12|DVI031C1_20060112|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #12 of the data file and line #8 of the Rejects file Server Commit Status is: Not found
13|MKP 4A C_20060112|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
13|MKP 4A C_20060112|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #13 of the data file and line #9 of the Rejects file Server Commit Status is: Not found
14|MEX0109_20060113|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
14|MEX0109_20060113|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #14 of the data file and line #10 of the Rejects file Server Commit Status is: Not found
15|COMM3F9K_20060117|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
15|COMM3F9K_20060117|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #15 of the data file and line #11 of the Rejects file Server Commit Status is: Not changed
16|MBNAS 05-C3 C_20060117|S|Successful add of a RateSchedule
17|FH2996TS_20060115|S|Successful add of a RateSchedule
18|AFT991AB_20060117|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
18|AFT991AB_20060117|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #18 of the data file and line #12 of the Rejects file Server Commit Status is: Not found
19|AMXCA11A_20060117|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
