valuationDate,sectorCategory,DENOM_CURR_CDE,spread
4/3/2006,Agency,USD,35
4/3/2006,Agency,EUR,22
4/3/2006,Agency,GBP,18
4/3/2006,ABS,USD,47
4/3/2006,CMBS,USD,69
4/3/2006,MBS,USD,97
4/3/2006,Credit_AAA-BBB,USD,83
4/3/2006,Credit_AAA-BBB,EUR,42
4/3/2006,Credit_AAA-BBB,GBP,74
4/3/2006,Credit_AAA-A,USD,69
4/3/2006,Credit_AAA-A,EUR,35
4/3/2006,Credit_AAA-A,GBP,69
4/3/2006,Credit_AAA-AA,USD,56
4/3/2006,Credit_AAA-AA,EUR,25
4/3/2006,Credit_AAA-AA,GBP,54
4/3/2006,Credit_US CORP 1-10,USD,80
4/3/2006,Credit_glagg_crd_1_5YRS,USD,58
4/3/2006,Credit_glagg_crd_1_5YRS,EUR,31
4/3/2006,Credit_glagg_crd_1_5YRS,GBP,44
4/3/2006,Credit_glagg_crd_1_3YRS,USD,48
4/3/2006,Credit_glagg_crd_1_3YRS,EUR,25
4/3/2006,Credit_glagg_crd_1_3YRS,GBP,34
4/3/2006,Credit_glagg _crd>5.0YRS,USD,101
4/3/2006,Credit_glagg _crd>5.0YRS,EUR,62
4/3/2006,Credit_glagg _crd>5.0YRS,GBP,93
4/3/2006,Credit_glagg_crd_exJPY_aa_3,USD,58
4/3/2006,Credit_glagg_crd_exJPY_aa_3,EUR,30
4/3/2006,Credit_glagg_crd_exJPY_aa_3,GBP,53
4/3/2006,Credit_glagg_crd_exJPY_exBBB,USD,70
4/3/2006,Credit_glagg_crd_exJPY_exBBB,EUR,38
4/3/2006,Credit_glagg_crd_exJPY_exBBB,GBP,69
4/3/2006,Credit_Global Agg (Original),USD,62
4/3/2006,Credit_Global Agg (Original),EUR,19
4/3/2006,Credit_Global Agg (Original),GBP,31
4/4/2006,Agency,USD,35
4/4/2006,Agency,EUR,22
4/4/2006,Agency,GBP,18
4/4/2006,ABS,USD,46
4/4/2006,CMBS,USD,68
4/4/2006,MBS,USD,97
4/4/2006,Credit_AAA-BBB,USD,83
4/4/2006,Credit_AAA-BBB,EUR,42
4/4/2006,Credit_AAA-BBB,GBP,74
