"metricName","value1","tol1","value2","tol2","value3","tol3"
"KRatio",4.89221308085576,1e-10,3.45869142164448,1e-10,-4.87755399808335,1e-10
"NetProfit",92416716.93399,1e-05,3913390.625,1e-05,-57210815.7600564,1e-05
"MaxDrawDown",-6424662.584,1e-05,-534000,1e-05,-64634714.8881111,1e-05
"AnnualizedNetProfit",4601936.72258212,1e-05,212736.238992589,5,-235598188.671776,120000
"CalmarRatio",0.71629235970194,0.01,0.398382470023576,0.01,-3.64507198770227,0.01
"ConditionalTenPercentileCalmarRatio",0.820940912134008,0.01,0.674355715980976,0.01,-3.64507198770227,0.01
"ConditionalTwentyPercentileCalmarRatio",0.893348191532337,0.01,0.865606160310619,0.01,-7.12149780295041,0.01
"AverageDrawDown",-2274787.71266,1e-05,-79745.592948718,1e-05,-7116354.05198473,1e-05
"AverageDrawDownTime",6.5625,0.01,37.2758620689655,0.01,46.1111111111111,0.01
"AverageDrawDownRecoveryTime",3.3125,0.01,18.6637931034483,0.01,22.1111111111111,0.01
"TenPercentileDrawDown",-5160978.0006,1e-05,-241484.375,1e-05,-64634714.8881111,1e-05
"ConditionalTenPercentileDrawDown",-5605685.6889,1e-05,-315465.909090909,1e-05,-64634714.8881111,1e-05
"TwentyPercentileDrawDown",-4222571.34015001,1e-05,-128750,1e-05,-1530632.68081436,1e-05
"ConditionalTwentyPercentileDrawDown",-5151336.02575334,1e-05,-245765.625,1e-05,-33082673.7844627,1e-05
"SortinoRatio",1.77151750608597,0.01,1.13907160424633,0.01,-9.39960688307324,0.01
"OmegaRatio",1.95313784027918,1e-10,1.16717305548695,1e-10,0.799389130988384,1e-10
"UpsidePotentialRatio",1.34501342537816,1e-10,0.793770162242132,1e-10,0.692280978142732,1e-10
"DownSideDeviation",1099996.06059221,1e-08,21014.2311935618,1e-08,406550.502917515,1e-08
"DailyStandardDeviation",1605608.50901627,1e-08,17713.9562888585,1e-08,2159777.7826504,1e-08
"WeeklyStandardDeviation",1605608.50901627,1e-08,39180.3137027233,1e-08,5349429.63716015,1e-08
"MonthlyStandardDeviation",1605608.50901627,1e-07,83177.4972232836,1e-07,13325243.8483535,1e-07
"SharpeRatioDaily",0.180551338055029,0.01,0.75652910008376,0.01,-6.87167494256287,0.01
"SharpeRatioWeekly",0.397465382859173,0.01,0.752959983990661,0.01,-6.10749044060333,0.01
"SharpeRatioMonthly",0.82739017346273,0.01,0.738320633278075,0.01,-5.10394703459953,0.01
