,equityCloseLag,equityTriLag,equityCloseLead,equityTriLead,betaLag,betaLead
2008-12-23,44.73,115.1865287,11.52,86.64612193,1.292581585,1.532491276
2008-12-24,44.56,115.0160887,11.77,86.89600862,1.29058576,1.534829532
2008-12-26,45.16,115.6160887,11.78,86.90600862,1.29167553,1.533462217
2008-12-29,46.15,116.6059771,11.68,86.80597952,1.290727502,1.533598598
2008-12-30,47.27,117.7258709,12.13,87.25595263,1.286268454,1.535281768
2008-12-31,47.77,118.2256513,12.52,87.64589627,1.283098944,1.539323299
2009-01-02,50.15,120.6053273,12.66,87.78581138,1.291562049,1.511907578
2009-01-05,51.33,121.7852234,12.45,87.57578515,1.290147541,1.512693779
2009-01-06,51.89,122.3451224,12.65,87.77576065,1.290275904,1.513916374
2009-01-07,49.69,120.1450149,11.99,87.11573444,1.294832508,1.518576486
2009-01-08,50.33,120.7849255,11.94,87.06571286,1.295560833,1.517550285
2009-01-09,48.64,119.0946664,11.56,86.68565139,1.300242029,1.515873039
2009-01-12,46.72,117.1745829,10.95,86.07563155,1.30695724,1.526091739
2009-01-13,47.89,118.3445017,11.1,86.22561253,1.309099994,1.527398563
2009-01-14,45.6,116.0544186,10.46,85.58559325,1.316989302,1.534706844
2009-01-15,46.17,116.6243384,9.98,85.10557486,1.3178859,1.530947857
2009-01-16,46.54,116.9939751,9.68,84.80549633,1.316514948,1.518148312
2009-01-20,44.06,114.5138689,8.08,83.20547425,1.29307744,1.647522638
2009-01-21,47.02,117.4737647,9.27,84.39545514,1.306296834,1.766760269
2009-01-22,45.73,116.1836171,8.7,83.82542604,1.310399143,1.779501888
2009-01-23,47.06,117.5131348,8.99,84.11533427,1.315101665,1.78629699
2009-01-26,47.93,118.3829486,8.83,83.95529871,1.317119292,1.778384173
2009-01-27,48.01,118.4627621,9.14,84.26526434,1.310947481,1.787577883
2009-01-28,49.32,119.7725852,10.31,85.43523068,1.287160124,1.87450958
2009-01-29,47.58,118.0324005,9.5,84.62519206,1.282016463,1.89204679
2009-01-30,46.92,117.3718717,9.24,84.36508649,1.275266727,1.883160512
2009-02-02,46.17,116.6216321,9.24,84.36503931,1.275786198,1.882891513
2009-02-03,46.97,117.4214119,9.07,84.19499522,1.27430588,1.856984572
2009-02-04,47.41,117.8611671,8.97,84.09494796,1.272509898,1.856834625
2009-02-05,48.57,119.0209141,9.11,84.23490009,1.27463716,1.850998474
2009-02-06,49.47,119.9201426,9.79,84.91475539,1.251190587,1.880407126
2009-02-09,49.65,120.0998859,9.9,85.02470458,1.251203137,1.881065109
2009-02-10,47.34,117.7896303,8.89,84.01465362,1.235052793,1.905440689
2009-02-11,46.8,117.2493886,9.318,84.44260823,1.228873895,1.917237918
2009-02-12,46.88,117.3291526,9.2,84.32456123,1.228836939,1.916154008
2009-02-13,46.99,117.4382186,8.85,83.97437795,1.223018694,1.922576748
