,equityClose,equityTri,hedgeClose,hedgeTri
2008-11-03,49.55274914,120.0265371,96.32434457,106.894653
2008-11-04,52.74617064,123.2196369,99.59764636,110.1673296
2008-11-05,50.38841084,120.8615458,95.4117877,105.9808454
2008-11-06,47.354163,117.8270258,90.12490935,100.6934517
2008-11-07,49.59254256,120.0646261,93.10063826,103.6676975
2008-11-10,49.76166457,120.2331978,91.88058941,102.4466155
2008-11-12,44.36965693,114.8408985,85.1256848,95.69117232
2008-11-13,49.5825942,120.0535515,90.43240134,100.9973435
2008-11-14,47.52328501,117.9932458,85.91921251,96.48233715
2008-11-17,46.53839801,117.0080305,84.77851643,95.34104748
2008-11-18,47.84163233,118.310953,86.37549094,96.93745404
2008-11-19,45.36449229,115.8334925,80.84063518,91.40201963
2008-11-20,39.75362087,110.2222887,74.83958189,85.40037401
2008-11-21,44.19058657,114.658368,78.8766541,89.43577763
2008-11-24,47.38400806,117.8512715,84.34207619,94.90027503
2008-11-25,48.14008293,118.6067065,84.96697926,95.52403927
2008-11-26,50.83608675,121.3012088,88.25020015,98.80460993
2008-11-28,50.02032176,120.4829218,89.36113894,99.9111705
2008-12-01,44.6979526,115.1595789,81.44570006,91.99399205
2008-12-02,46.21010234,116.6709146,84.5801345,95.12694332
2008-12-03,46.2399474,116.699983,86.61354925,97.15893646
2008-12-04,43.03657755,113.4959308,84.60989179,95.15400091
2008-12-05,43.93192937,114.3901612,87.21861413,97.76051843
2008-12-08,45.88180667,116.3398298,90.2637767,100.8052666
2008-12-09,46.33943094,116.7973109,88.77591225,99.31712067
2008-12-10,48.73698415,119.1947555,89.38097713,99.92197745
2008-12-11,48.50817202,118.9658414,87.22853322,97.76934647
2008-12-12,48.03065105,118.4880402,88.27003834,98.8103477
2008-12-15,47.75209715,118.2093908,87.04007039,97.58020424
2008-12-16,49.23440183,119.6916,91.13665718,101.676617
2008-12-17,48.91605451,119.3731213,90.25385761,100.7935743
2008-12-18,46.07082539,116.5277837,88.56761123,99.10712766
2008-12-19,45.76242643,116.2191244,88.19,98.72901594
2008-12-22,44.63,115.0866137,87.06,97.59885351
2008-12-23,44.73,115.1865287,86.16,96.6986877
2008-12-24,44.56,115.0160887,86.66,97.19784016
2008-12-26,45.16,115.6160887,87.16,97.69784016
2008-12-29,46.15,116.6059771,86.91,97.44762491
2008-12-30,47.27,117.7258709,88.97,99.50742482
2008-12-31,47.77,118.2256513,90.24,100.7770114
2009-01-02,50.15,120.6053273,92.96,103.4963995
2009-01-05,51.33,121.7852234,92.85,103.3862069
2009-01-06,51.89,122.3451224,93.47,104.0060243
2009-01-07,49.69,120.1450149,90.67,101.2058306
2009-01-08,50.33,120.7849255,91.042,101.5776674
2009-01-09,48.64,119.0946664,89.09,99.62519868
2009-01-12,46.72,117.1745829,86.95,97.48504579
2009-01-13,47.89,118.3445017,87.11,97.64489475
2009-01-14,45.6,116.0544186,84.37,94.90474344
2009-01-15,46.17,116.6243384,84.4,94.93459512
2009-01-16,46.54,116.9939751,85.06,95.59393097
2009-01-20,44.06,114.5138689,80.57,91.10373693
2009-01-21,47.02,117.4737647,84.05,94.58354639
2009-01-22,45.73,116.1836171,82.75,93.28328254
2009-01-23,47.06,117.5131348,83.11,93.64240972
2009-01-26,47.93,118.3829486,83.68,94.21208099
2009-01-27,48.01,118.4627621,84.53,95.06175526
2009-01-28,49.32,119.7725852,87.39,97.92144391
2009-01-29,47.58,118.0324005,84.55,95.08111655
2009-01-30,46.92,117.3718717,82.83,93.36017699
2009-02-02,46.17,116.6216321,82.58,93.10975404
2009-02-03,46.97,117.4214119,83.74,94.26936002
2009-02-04,47.41,117.8611671,83.33,93.85892366
2009-02-05,48.57,119.0209141,84.57,95.09847898
2009-02-06,49.47,119.9201426,86.979,97.50613572
2009-02-09,49.65,120.0998859,87.1,97.62668432
2009-02-10,47.34,117.7896303,83.11,93.63623594
2009-02-11,46.8,117.2493886,83.6,94.12581158
2009-02-12,46.88,117.3291526,83.66,94.18538996
2009-02-13,46.99,117.4382186,82.76,93.28372332
2009-02-17,43.74,114.1879827,79.22,89.74330769
2009-02-18,43.49,113.9377538,79.03,89.55289326
