,hedge,x..i..
2008-12-23,-3.8828125,NA
2008-12-24,-3.785896347,-1.140703164
2008-12-26,-3.833616299,0.562141037
2008-12-29,-3.95119863,1.373361588
2008-12-30,-3.896949711,-0.658039336
2008-12-31,-3.815495208,-1.019810355
2009-01-02,-3.961295419,1.845830568
2009-01-05,-4.122891566,2.011872043
2009-01-06,-4.101976285,-0.264578302
2009-01-07,-4.144286906,0.507304361
2009-01-08,-4.215242881,0.847214379
2009-01-09,-4.207612457,-0.088207694
2009-01-12,-4.266666667,0.646643578
2009-01-13,-4.314414414,0.529999952
2009-01-14,-4.359464627,0.471225307
2009-01-15,-4.626252505,2.662542992
2009-01-16,-4.80785124,1.757875751
2009-01-20,-5.452970297,5.212561941
2009-01-21,-5.07227616,-3.529034647
2009-01-22,-5.256321839,1.601197414
2009-01-23,-5.234705228,-0.194333261
2009-01-26,-5.42808607,1.707552783
2009-01-27,-5.25273523,-1.602706618
2009-01-28,-4.783705141,-4.835700312
2009-01-29,-5.008421053,2.134801211
2009-01-30,-5.077922078,0.642189413
2009-02-02,-4.996753247,-0.750000024
2009-02-03,-5.178610805,1.649448159
2009-02-04,-5.285395764,0.957861022
2009-02-05,-5.331503842,0.420044605
2009-02-06,-5.053115424,-2.725422644
2009-02-09,-5.015151515,-0.375842648
2009-02-10,-5.325084364,2.755303002
2009-02-11,-5.022537025,-2.819136102
2009-02-12,-5.095652174,0.672659428
2009-02-13,-5.30960452,1.893478192
