,beta,hedge,x..i..
2008-12-09,0.990653954,-0.517103562,NA
2008-12-10,1.012111374,-0.551876446,2.084671004
2008-12-11,1.033287236,-0.574615589,0.959072235
2008-12-12,1.058123874,-0.575760241,-1.075976735
2008-12-15,1.055088854,-0.578844953,0.429618295
2008-12-16,1.085774699,-0.586563842,-0.888978652
2008-12-17,1.100532454,-0.596469856,0.199482219
2008-12-18,1.145185505,-0.595699045,-1.839423015
2008-12-19,1.173165641,-0.608764104,-0.083418509
2008-12-22,1.264716157,-0.648337722,-0.444508381
2008-12-23,1.291535076,-0.670500974,0.683526451
2008-12-24,1.337013842,-0.687483693,-0.505122211
2008-12-26,1.297619739,-0.672332577,0.256258154
2008-12-29,1.060107162,-0.562926539,1.158116264
2008-12-30,1.099263814,-0.584041818,-0.039622235
2008-12-31,1.144355269,-0.605782926,-0.241711254
2009-01-02,1.270408682,-0.685359245,0.732317121
2009-01-05,1.211987238,-0.670019439,1.255417617
2009-01-06,1.150620596,-0.638768618,0.144609293
2009-01-07,1.531628544,-0.839380416,-0.41143164
2009-01-08,1.641509128,-0.907461989,0.327798072
2009-01-09,1.592244586,-0.869309425,0.081532048
2009-01-12,1.539280504,-0.82708666,-0.059628422
2009-01-13,1.483753798,-0.81571541,1.037709857
2009-01-14,1.536791516,-0.830599658,-0.05489945
2009-01-15,1.482249979,-0.810846938,0.545125005
2009-01-16,1.470522999,-0.804586649,-0.164983755
2009-01-20,1.456817275,-0.79666587,1.132643976
2009-01-21,1.462648492,-0.818247853,0.187650369
2009-01-22,1.486810529,-0.821653722,-0.226209496
2009-01-23,1.459029407,-0.826157188,1.034439516
2009-01-26,1.424042905,-0.815659374,0.399175785
2009-01-27,1.413287254,-0.802696333,-0.613231284
2009-01-28,1.383590187,-0.780852135,-0.985638494
2009-01-29,1.373675355,-0.77302748,0.477690982
2009-01-30,1.395242901,-0.790351285,0.669804771
2009-02-02,1.39530421,-0.780106507,-0.5523175
2009-02-03,1.334247654,-0.748383238,-0.104836371
2009-02-04,1.309429121,-0.744990215,0.746918892
2009-02-05,1.29785781,-0.745381977,0.236290415
2009-02-06,1.206985236,-0.68648248,-0.895395442
2009-02-09,1.206368122,-0.687671381,0.096988798
2009-02-10,1.169771701,-0.666309618,0.433861548
2009-02-11,1.136666558,-0.636315728,-0.866450658
2009-02-12,1.10606602,-0.619798888,0.04185334
2009-02-13,1.08365337,-0.615283614,0.667917981
2009-02-17,1.166184269,-0.643889168,-1.071876178
2009-02-18,1.266360122,-0.696874626,-0.127623111
