,x..i..
2008-03-05 15:00:00,97.24550289
2008-03-06 15:00:00,97.27304339
2008-03-07 15:00:00,97.38821275
2008-03-10 15:00:00,97.40323484
2008-03-11 15:00:00,97.22882888
2008-03-12 15:00:00,97.29859127
2008-03-13 15:00:00,97.39326879
2008-03-14 15:00:00,97.58262382
2008-03-17 15:00:00,97.73211464
2008-03-18 15:00:00,97.50787841
2008-03-19 15:00:00,97.51784447
2008-03-20 15:00:00,97.41818392
2008-03-24 15:00:00,97.31354035
2008-03-25 15:00:00,97.34842154
2008-03-26 15:00:00,97.36337062
2008-03-27 15:00:00,97.3783197
2008-03-28 15:00:00,97.38828576
2008-03-31 15:00:00,97.39825181
2008-04-01 15:00:00,97.29360824
2008-04-02 15:00:00,97.19394769
2008-04-03 15:00:00,97.19394769
2008-04-04 15:00:00,97.29859127
2008-04-07 15:00:00,97.25872705
2008-04-08 15:00:00,97.19893072
2008-04-09 15:00:00,97.2138798
2008-04-10 15:00:00,97.16903256
2008-04-11 15:00:00,97.20889678
2008-04-14 15:00:00,97.16404953
2008-04-15 15:00:00,97.10923623
2008-04-16 15:00:00,96.95974541
2008-04-17 15:00:00,96.79032248
2008-04-18 15:00:00,96.76042432
2008-04-21 15:00:00,96.79530551
2008-04-22 15:00:00,96.79530551
2008-04-23 15:00:00,96.80527156
2008-04-24 15:00:00,96.81523762
2008-04-25 15:00:00,96.80527156
2008-04-28 15:00:00,96.86506789
2008-04-29 15:00:00,96.91489816
2008-04-30 15:00:00,96.9946266
2008-05-01 15:00:00,96.99960963
2008-05-02 15:00:00,97.03449082
2008-05-05 15:00:00,97.01954174
2008-05-06 15:00:00,97.03449082
2008-05-07 15:00:00,97.03449082
2008-05-08 15:00:00,97.07933807
2008-05-09 15:00:00,97.0494399
2008-05-12 15:00:00,97.01455871
2008-05-13 15:00:00,96.92486422
2008-05-14 15:00:00,96.88998303
2008-05-15 15:00:00,96.97469449
2008-05-16 15:00:00,97.00459266
2008-05-19 15:00:00,97.05442293
2008-05-20 15:00:00,97.07933807
2008-05-21 15:00:00,97.06438898
2008-05-22 15:00:00,97.01705022
2008-05-23 15:00:00,97.04694839
2008-05-27 15:00:00,97.00210114
2008-05-28 15:00:00,96.95974541
2008-05-29 15:00:00,96.95476238
2008-05-30 15:00:00,96.96721995
2008-06-02 15:00:00,96.98715206
2008-06-03 15:00:00,96.99213509
2008-06-04 15:00:00,96.97220298
2008-06-05 15:00:00,96.94230481
2008-06-06 15:00:00,96.93732179
2008-06-09 15:00:00,96.885
2008-06-10 15:00:00,96.805
2008-06-11 15:00:00,96.88
2008-06-12 15:00:00,96.735
2008-06-13 15:00:00,96.685
2008-06-16 15:00:00,96.655
2008-06-17 15:00:00,96.79
2008-06-18 15:00:00,96.86
2008-06-19 15:00:00,96.83
2008-06-20 15:00:00,96.885
2008-06-23 15:00:00,96.845
2008-06-24 15:00:00,96.895
2008-06-25 15:00:00,96.945
2008-06-26 15:00:00,97.015
2008-06-27 15:00:00,97.085
2008-06-30 15:00:00,97.07
2008-07-01 15:00:00,97.055
