,x..i..
2008-06-03 15:00:00,96.91
2008-06-04 15:00:00,96.89
2008-06-05 15:00:00,96.86
2008-06-06 15:00:00,96.855
2008-06-09 15:00:00,96.8025
2008-06-10 15:00:00,96.7225
2008-06-11 15:00:00,96.7975
2008-06-12 15:00:00,96.6525
2008-06-13 15:00:00,96.6025
2008-06-16 15:00:00,96.5725
2008-06-17 15:00:00,96.7075
2008-06-18 15:00:00,96.7775
2008-06-19 15:00:00,96.7475
2008-06-20 15:00:00,96.8025
2008-06-23 15:00:00,96.7625
2008-06-24 15:00:00,96.8125
2008-06-25 15:00:00,96.8625
2008-06-26 15:00:00,96.9325
2008-06-27 15:00:00,97.0025
2008-06-30 15:00:00,96.9875
2008-07-01 15:00:00,96.9725
2008-07-02 15:00:00,96.9875
2008-07-03 15:00:00,96.9975
2008-07-07 15:00:00,97.0075
2008-07-08 15:00:00,97.0225
2008-07-09 15:00:00,97.0275
2008-07-10 15:00:00,97.0075
2008-07-11 15:00:00,96.9875
2008-07-14 15:00:00,97.0225
2008-07-15 15:00:00,97.0675
2008-07-16 15:00:00,97.0625
2008-07-17 15:00:00,97.0325
2008-07-18 15:00:00,96.9925
2008-07-21 15:00:00,96.9925
2008-07-22 15:00:00,96.9625
2008-07-23 15:00:00,96.9475
2008-07-24 15:00:00,97.0275
2008-07-25 15:00:00,97.0025
2008-07-28 15:00:00,97.0325
2008-07-29 15:00:00,97.0225
2008-07-30 15:00:00,97.1075
2008-07-31 15:00:00,97.1075
2008-08-01 15:00:00,97.0775
2008-08-04 15:00:00,97.0675
2008-08-05 15:00:00,97.0825
2008-08-06 15:00:00,97.0825
2008-08-07 15:00:00,97.0975
2008-08-08 15:00:00,97.0925
2008-08-11 15:00:00,97.0925
2008-08-12 15:00:00,97.0875
2008-08-13 15:00:00,97.0775
2008-08-14 15:00:00,97.0725
2008-08-15 15:00:00,97.0625
2008-08-18 15:00:00,97.0525
2008-08-19 15:00:00,97.065
2008-08-20 15:00:00,97.09
2008-08-21 15:00:00,97.09
2008-08-22 15:00:00,97.0875
2008-08-25 15:00:00,97.0925
2008-08-26 15:00:00,97.0925
2008-08-27 15:00:00,97.095
2008-08-28 15:00:00,97.095
2008-08-29 15:00:00,97.095
2008-09-02 15:00:00,97.1025
2008-09-03 15:00:00,97.1025
2008-09-04 15:00:00,97.1
2008-09-05 15:00:00,97.1
2008-09-08 15:00:00,97.12
2008-09-09 15:00:00,97.145
2008-09-10 15:00:00,97.125
2008-09-11 15:00:00,97.11
2008-09-12 15:00:00,97.065
2008-09-15 15:00:00,97.36
2008-09-16 15:00:00,97.085
2008-09-17 15:00:00,96.855
2008-09-18 15:00:00,96.6
2008-09-19 15:00:00,96.775
2008-09-22 15:00:00,96.8
2008-09-23 15:00:00,96.61
2008-09-24 15:00:00,96.3
2008-09-25 15:00:00,96.525
2008-09-26 15:00:00,96.7
2008-09-29 15:00:00,96.77
2008-09-30 15:00:00,96.545
2008-10-01 15:00:00,96.68
2008-10-02 15:00:00,96.665
2008-10-03 15:00:00,96.9
2008-10-06 15:00:00,97.235
2008-10-07 15:00:00,97.26
2008-10-08 15:00:00,97.135
2008-10-09 15:00:00,97.055
2008-10-10 15:00:00,97.145
2008-10-13 15:00:00,97.24
2008-10-14 15:00:00,97.385
2008-10-15 15:00:00,97.27
2008-10-16 15:00:00,97.265
2008-10-17 15:00:00,97.46
2008-10-20 15:00:00,97.48
2008-10-21 15:00:00,97.66
2008-10-22 15:00:00,97.565
2008-10-23 15:00:00,97.44
2008-10-24 15:00:00,97.405
2008-10-27 15:00:00,97.465
2008-10-28 15:00:00,97.585
2008-10-29 15:00:00,97.665
2008-10-30 15:00:00,97.69
2008-10-31 15:00:00,97.755
2008-11-03 15:00:00,97.83
2008-11-04 15:00:00,97.945
2008-11-05 15:00:00,97.965
2008-11-06 15:00:00,97.98
2008-11-07 15:00:00,97.965
2008-11-10 15:00:00,98.085
2008-11-11 15:00:00,98.145
2008-11-12 15:00:00,98.045
2008-11-13 15:00:00,97.805
2008-11-14 15:00:00,97.705
2008-11-17 15:00:00,97.82
2008-11-18 15:00:00,97.9475
2008-11-19 15:00:00,97.9875
2008-11-20 15:00:00,98.0675
2008-11-21 15:00:00,97.9975
2008-11-24 15:00:00,97.9325
2008-11-25 15:00:00,97.97
2008-11-26 15:00:00,97.945
2008-11-28 15:00:00,97.875
2008-12-01 15:00:00,97.8525
2008-12-02 15:00:00,97.915
2008-12-03 15:00:00,97.945
2008-12-04 15:00:00,97.9
2008-12-05 15:00:00,97.8575
