,ed200803,ed200806,ed200809,ed200812,ed200903,ed200906,ed200909,ed200912,ed201003,ed201006,ed201009,ed201012,ed201103,ed201106,ed201109,ed201112,ed201203,ed201206,ed201209,ed201212,ed201303,ed201306,ed201309,ed201312,ed201403,ed201406,ed201409,ed201412,ed201503,ed201506,ed201509,ed201512,ed201603,ed201606,ed201609,ed201612,ed201703,ed201706,ed201709,ed201712,ed201803,ed201806
2008-03-05 15:00:00,97.1025,97.49,97.645,97.64,97.555,97.38,97.155,96.905,96.675,96.435,96.215,96.015,95.85,95.685,95.525,95.37,95.245,95.125,95.005,94.885,94.79,94.7,94.615,94.52,94.45,94.38,94.31,94.235,94.185,94.125,94.07,94.01,93.975,93.93,93.885,93.835,93.82,93.79,93.755,93.705,NA,NA
2008-03-06 15:00:00,97.13,97.545,97.665,97.635,97.545,97.385,97.185,96.94,96.695,96.445,96.21,95.995,95.82,95.645,95.48,95.32,95.19,95.065,94.945,94.825,94.73,94.64,94.555,94.465,94.395,94.325,94.255,94.18,94.13,94.075,94.02,93.96,93.925,93.88,93.835,93.79,93.775,93.745,93.71,93.66,NA,NA
2008-03-07 15:00:00,97.245,97.695,97.825,97.765,97.66,97.485,97.27,97.02,96.775,96.53,96.3,96.09,95.915,95.745,95.58,95.42,95.295,95.17,95.05,94.93,94.835,94.745,94.66,94.57,94.5,94.43,94.36,94.285,94.235,94.18,94.125,94.065,94.025,93.98,93.935,93.89,93.87,93.84,93.805,93.755,NA,NA
2008-03-10 15:00:00,97.26,97.735,97.87,97.815,97.71,97.535,97.315,97.065,96.83,96.595,96.375,96.17,95.995,95.825,95.665,95.51,95.385,95.26,95.14,95.02,94.93,94.845,94.76,94.67,94.605,94.535,94.465,94.395,94.345,94.29,94.24,94.18,94.145,94.1,94.06,94.015,94,93.97,93.94,93.89,NA,NA
2008-03-11 15:00:00,97.185,97.56,97.675,97.635,97.535,97.36,97.15,96.905,96.675,96.45,96.245,96.05,95.885,95.72,95.565,95.415,95.295,95.175,95.06,94.95,94.865,94.785,94.705,94.62,94.56,94.495,94.435,94.37,94.33,94.28,94.235,94.18,94.15,94.11,94.075,94.04,94.03,94.005,93.98,93.935,NA,NA
2008-03-12 15:00:00,97.2225,97.63,97.775,97.755,97.67,97.51,97.305,97.06,96.83,96.605,96.4,96.21,96.05,95.89,95.74,95.595,95.48,95.365,95.25,95.14,95.06,94.98,94.905,94.82,94.76,94.695,94.635,94.57,94.53,94.48,94.435,94.38,94.35,94.31,94.275,94.24,94.23,94.205,94.18,94.135,NA,NA
2008-03-13 15:00:00,97.27,97.725,97.83,97.785,97.69,97.525,97.315,97.07,96.84,96.61,96.4,96.205,96.04,95.875,95.725,95.58,95.465,95.345,95.225,95.115,95.03,94.95,94.87,94.785,94.725,94.66,94.6,94.535,94.495,94.445,94.4,94.345,94.315,94.275,94.24,94.205,94.195,94.17,94.145,94.1,NA,NA
2008-03-14 15:00:00,97.3375,97.915,98.035,97.995,97.935,97.765,97.545,97.285,97.04,96.79,96.555,96.34,96.165,95.995,95.84,95.695,95.58,95.46,95.34,95.22,95.13,95.05,94.97,94.88,94.82,94.755,94.695,94.63,94.585,94.54,94.495,94.44,94.41,94.37,94.335,94.3,94.29,94.265,94.24,94.195,NA,NA
2008-03-17 15:00:00,97.4225,98.065,98.185,98.135,98.095,97.935,97.725,97.475,97.25,97.015,96.795,96.585,96.41,96.24,96.085,95.94,95.825,95.705,95.585,95.465,95.375,95.29,95.205,95.11,95.045,94.975,94.91,94.84,94.795,94.75,94.705,94.65,94.615,94.57,94.535,94.495,94.485,94.455,94.43,94.385,94.38,NA
2008-03-18 15:00:00,NA,97.84,97.955,97.925,97.9,97.735,97.505,97.245,97.02,96.8,96.595,96.4,96.235,96.08,95.935,95.8,95.695,95.585,95.475,95.365,95.285,95.205,95.125,95.035,94.975,94.91,94.85,94.785,94.745,94.705,94.66,94.605,94.57,94.525,94.49,94.455,94.445,94.415,94.39,94.345,94.34,NA
