,x..i..
2008-03-05 15:00:00,97.1025
2008-03-06 15:00:00,97.13
2008-03-07 15:00:00,97.245
2008-03-10 15:00:00,97.735
2008-03-11 15:00:00,97.56
2008-03-12 15:00:00,97.63
2008-03-13 15:00:00,97.725
2008-03-14 15:00:00,97.915
2008-03-17 15:00:00,98.065
2008-03-18 15:00:00,97.84
2008-03-19 15:00:00,97.85
2008-03-20 15:00:00,97.75
2008-03-24 15:00:00,97.645
2008-03-25 15:00:00,97.68
2008-03-26 15:00:00,97.695
2008-03-27 15:00:00,97.71
2008-03-28 15:00:00,97.72
2008-03-31 15:00:00,97.73
2008-04-01 15:00:00,97.625
2008-04-02 15:00:00,97.525
2008-04-03 15:00:00,97.525
2008-04-04 15:00:00,97.63
2008-04-07 15:00:00,97.59
2008-04-08 15:00:00,97.53
2008-04-09 15:00:00,97.545
2008-04-10 15:00:00,97.5
2008-04-11 15:00:00,97.54
2008-04-14 15:00:00,97.495
2008-04-15 15:00:00,97.44
2008-04-16 15:00:00,97.29
2008-04-17 15:00:00,97.12
2008-04-18 15:00:00,97.09
2008-04-21 15:00:00,97.125
2008-04-22 15:00:00,97.125
2008-04-23 15:00:00,97.135
2008-04-24 15:00:00,97.145
2008-04-25 15:00:00,97.135
2008-04-28 15:00:00,97.195
2008-04-29 15:00:00,97.245
2008-04-30 15:00:00,97.325
2008-05-01 15:00:00,97.33
2008-05-02 15:00:00,97.365
2008-05-05 15:00:00,97.35
2008-05-06 15:00:00,97.365
2008-05-07 15:00:00,97.365
2008-05-08 15:00:00,97.41
2008-05-09 15:00:00,97.38
2008-05-12 15:00:00,97.345
2008-05-13 15:00:00,97.255
2008-05-14 15:00:00,97.22
2008-05-15 15:00:00,97.305
2008-05-16 15:00:00,97.335
2008-05-19 15:00:00,97.385
2008-05-20 15:00:00,97.41
2008-05-21 15:00:00,97.395
2008-05-22 15:00:00,97.3475
2008-05-23 15:00:00,97.3775
2008-05-27 15:00:00,97.3325
2008-05-28 15:00:00,97.29
2008-05-29 15:00:00,97.285
2008-05-30 15:00:00,97.2975
2008-06-02 15:00:00,97.3175
2008-06-03 15:00:00,97.3225
2008-06-04 15:00:00,97.3025
2008-06-05 15:00:00,97.2725
2008-06-06 15:00:00,97.2675
2008-06-09 15:00:00,96.885
2008-06-10 15:00:00,96.805
2008-06-11 15:00:00,96.88
2008-06-12 15:00:00,96.735
2008-06-13 15:00:00,96.685
2008-06-16 15:00:00,96.655
2008-06-17 15:00:00,96.79
2008-06-18 15:00:00,96.86
2008-06-19 15:00:00,96.83
2008-06-20 15:00:00,96.885
2008-06-23 15:00:00,96.845
2008-06-24 15:00:00,96.895
2008-06-25 15:00:00,96.945
2008-06-26 15:00:00,97.015
2008-06-27 15:00:00,97.085
2008-06-30 15:00:00,97.07
2008-07-01 15:00:00,97.055
