,x..i..
2008-03-05 15:00:00,97.44
2008-03-06 15:00:00,97.46
2008-03-07 15:00:00,97.62
2008-03-10 15:00:00,97.665
2008-03-11 15:00:00,97.485
2008-03-12 15:00:00,97.605
2008-03-13 15:00:00,97.635
2008-03-14 15:00:00,97.845
2008-03-17 15:00:00,97.985
2008-03-18 15:00:00,97.775
2008-03-19 15:00:00,97.835
2008-03-20 15:00:00,97.685
2008-03-24 15:00:00,97.485
2008-03-25 15:00:00,97.545
2008-03-26 15:00:00,97.575
2008-03-27 15:00:00,97.585
2008-03-28 15:00:00,97.615
2008-03-31 15:00:00,97.69
2008-04-01 15:00:00,97.52
2008-04-02 15:00:00,97.41
2008-04-03 15:00:00,97.38
2008-04-04 15:00:00,97.535
2008-04-07 15:00:00,97.425
2008-04-08 15:00:00,97.425
2008-04-09 15:00:00,97.525
2008-04-10 15:00:00,97.43
2008-04-11 15:00:00,97.52
2008-04-14 15:00:00,97.45
2008-04-15 15:00:00,97.33
2008-04-16 15:00:00,97.14
2008-04-17 15:00:00,96.985
2008-04-18 15:00:00,96.935
2008-04-21 15:00:00,96.935
2008-04-22 15:00:00,96.88
2008-04-23 15:00:00,96.9
2008-04-24 15:00:00,96.735
2008-04-25 15:00:00,96.71
2008-04-28 15:00:00,96.8
2008-04-29 15:00:00,96.86
2008-04-30 15:00:00,96.95
2008-05-01 15:00:00,96.915
2008-05-02 15:00:00,96.905
2008-05-05 15:00:00,96.915
2008-05-06 15:00:00,96.94
2008-05-07 15:00:00,96.99
2008-05-08 15:00:00,97.08
2008-05-09 15:00:00,97.06
2008-05-12 15:00:00,97.005
2008-05-13 15:00:00,96.755
2008-05-14 15:00:00,96.705
2008-05-15 15:00:00,96.845
2008-05-16 15:00:00,96.865
2008-05-19 15:00:00,96.935
2008-05-20 15:00:00,97.02
2008-05-21 15:00:00,96.955
2008-05-22 15:00:00,96.82
2008-05-23 15:00:00,96.9
2008-05-27 15:00:00,96.82
2008-05-28 15:00:00,96.745
2008-05-29 15:00:00,96.715
2008-05-30 15:00:00,96.74
2008-06-02 15:00:00,96.845
2008-06-03 15:00:00,96.885
2008-06-04 15:00:00,96.87
2008-06-05 15:00:00,96.81
2008-06-06 15:00:00,96.835
2008-06-09 15:00:00,96.455
2008-06-10 15:00:00,96.25
2008-06-11 15:00:00,96.375
2008-06-12 15:00:00,96.175
2008-06-13 15:00:00,96.095
2008-06-16 15:00:00,96.11
2008-06-17 15:00:00,96.255
2008-06-18 15:00:00,96.345
2008-06-19 15:00:00,96.29
2008-06-20 15:00:00,96.385
2008-06-23 15:00:00,96.27
2008-06-24 15:00:00,96.38
2008-06-25 15:00:00,96.44
2008-06-26 15:00:00,96.62
2008-06-27 15:00:00,96.68
2008-06-30 15:00:00,96.68
2008-07-01 15:00:00,96.67
