,x..i..
2006-08-31 15:00:00,95.115
2006-09-01 15:00:00,95.13
2006-09-05 15:00:00,95.105
2006-09-06 15:00:00,95.085
2006-09-07 15:00:00,95.08
2006-09-08 15:00:00,95.09
2006-09-11 15:00:00,95.05
2006-09-12 15:00:00,95.06
2006-09-13 15:00:00,95.085
2006-09-14 15:00:00,95.045
2006-09-15 15:00:00,94.985
2006-09-18 15:00:00,94.97
2006-09-19 15:00:00,95.07
2006-09-20 15:00:00,95.085
2006-09-21 15:00:00,95.23
2006-09-22 15:00:00,95.265
2006-09-25 15:00:00,95.3
2006-09-26 15:00:00,95.25
2006-09-27 15:00:00,95.255
2006-09-28 15:00:00,95.245
2006-09-29 15:00:00,95.225
2006-10-02 15:00:00,95.27
2006-10-03 15:00:00,95.27
2006-10-04 15:00:00,95.365
2006-10-05 15:00:00,95.295
2006-10-06 15:00:00,95.165
2006-10-10 15:00:00,95.065
2006-10-11 15:00:00,95.015
2006-10-12 15:00:00,95.03
2006-10-13 15:00:00,95.005
2006-10-16 15:00:00,95.02
2006-10-17 15:00:00,95.045
2006-10-18 15:00:00,95.05
2006-10-19 15:00:00,95.03
2006-10-20 15:00:00,95.02
2006-10-23 15:00:00,94.97
2006-10-24 15:00:00,94.97
2006-10-25 15:00:00,95.02
2006-10-26 15:00:00,95.11
2006-10-27 15:00:00,95.19
2006-10-30 15:00:00,95.18
2006-10-31 15:00:00,95.26
2006-11-01 15:00:00,95.33
2006-11-02 15:00:00,95.285
2006-11-03 15:00:00,95.085
2006-11-06 15:00:00,95.09
2006-11-07 15:00:00,95.165
2006-11-08 15:00:00,95.2
2006-11-09 15:00:00,95.205
2006-11-10 15:00:00,95.24
2006-11-13 15:00:00,95.215
2006-11-14 15:00:00,95.255
2006-11-15 15:00:00,95.17
2006-11-16 15:00:00,95.115
2006-11-17 15:00:00,95.215
2006-11-20 15:00:00,95.215
2006-11-21 15:00:00,95.21
2006-11-22 15:00:00,95.225
2006-11-24 15:00:00,95.245
2006-11-27 15:00:00,95.255
2006-11-28 15:00:00,95.3
2006-11-29 15:00:00,95.29
2006-11-30 15:00:00,95.36
2006-12-01 15:00:00,95.49
2006-12-04 15:00:00,95.49
2006-12-05 15:00:00,95.495
2006-12-06 15:00:00,95.425
2006-12-07 15:00:00,95.395
2006-12-08 15:00:00,95.275
2006-12-11 15:00:00,95.295
2006-12-12 15:00:00,95.36
2006-12-13 15:00:00,95.245
2006-12-14 15:00:00,95.215
2006-12-15 15:00:00,95.22
2006-12-18 15:00:00,95.215
2006-12-19 15:00:00,95.215
2006-12-20 15:00:00,95.205
2006-12-21 15:00:00,95.265
2006-12-22 15:00:00,95.195
2006-12-26 15:00:00,95.2
