,ed200512,ed200603,ed200606,ed200609,ed200612,ed200703,ed200706,ed200709,ed200712,ed200803,ed200806,ed200809,ed200812
2007-05-29 15:00:00,NA,NA,NA,NA,NA,NA,94.64,94.675,94.745,94.83,94.885,94.915,94.925
2007-05-30 15:00:00,NA,NA,NA,NA,NA,NA,94.64,94.68,94.745,94.83,94.885,94.915,94.92
2007-05-31 15:00:00,NA,NA,NA,NA,NA,NA,NA,94.665,94.71,94.785,94.84,94.865,94.87
2007-06-01 15:00:00,NA,NA,NA,NA,NA,NA,94.6375,94.65,94.665,94.71,94.755,94.775,94.775
2007-06-04 15:00:00,NA,NA,NA,NA,NA,NA,94.6375,94.655,94.67,94.72,94.765,94.785,94.785
2007-06-05 15:00:00,NA,NA,NA,NA,NA,NA,NA,94.65,94.66,94.695,94.73,94.745,94.74
2007-06-06 15:00:00,NA,NA,NA,NA,NA,NA,NA,94.66,94.68,94.735,94.78,94.795,94.785
2007-06-07 15:00:00,NA,NA,NA,NA,NA,NA,NA,94.645,94.65,94.685,94.705,94.695,94.67
2007-06-08 15:00:00,NA,NA,NA,NA,NA,NA,NA,94.65,94.645,94.68,94.7,94.69,94.665
2007-06-11 15:00:00,NA,NA,NA,NA,NA,NA,NA,94.645,94.645,94.68,94.705,94.695,94.67
2007-06-12 15:00:00,NA,NA,NA,NA,NA,NA,NA,94.635,94.61,94.625,94.63,94.605,94.56
2007-06-13 15:00:00,NA,NA,NA,NA,NA,NA,NA,94.63,94.6,94.615,94.62,94.6,94.56
2007-06-14 15:00:00,NA,NA,NA,NA,NA,NA,NA,94.63,94.6,94.605,94.605,94.58,94.545
2007-06-15 15:00:00,NA,NA,NA,NA,NA,NA,NA,94.635,94.62,94.64,94.655,94.64,94.615
2007-09-06 15:00:00,NA,NA,NA,NA,NA,NA,NA,94.405,95.06,95.44,95.54,95.545,95.505
2007-09-07 15:00:00,NA,NA,NA,NA,NA,NA,NA,94.44,95.26,95.685,95.765,95.755,95.705
2007-09-10 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,95.215,95.685,95.785,95.795,95.76
2007-09-11 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,95.07,95.545,95.67,95.7,95.685
2007-09-12 15:00:00,NA,NA,NA,NA,NA,NA,NA,94.3125,95.03,95.49,95.655,95.7,95.685
2007-09-13 15:00:00,NA,NA,NA,NA,NA,NA,NA,94.3675,95.055,95.455,95.575,95.6,95.58
2007-12-06 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,95.06,95.71,96.19,96.435,96.525
2007-12-07 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,95.015,95.595,96.055,96.29,96.375
2007-12-10 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,95.0325,NA,96.02,96.25,96.33
2007-12-11 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,94.9225,95.56,96.08,96.38,96.505
2007-12-12 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,95.065,95.665,96.105,96.345,96.44
2007-12-13 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,95.05,95.61,96.03,96.26,96.35
2008-03-06 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.13,97.545,97.665,97.635
2008-03-07 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.245,97.695,97.825,97.765
2008-03-10 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.26,97.735,97.87,97.815
2008-03-11 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.56,97.675,97.635
2008-03-12 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.2225,97.63,97.775,97.755
2008-03-13 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.27,97.725,97.83,97.785
2008-03-14 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.3375,97.915,98.035,97.995
2008-06-05 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.2725,97.16,96.96
2008-06-06 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.2675,97.17,96.985
2008-06-09 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.215,96.885,96.605
2008-06-10 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.1925,NA,96.435
2008-06-11 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.2125,96.88,96.54
2008-06-12 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.2025,96.735,96.385
2008-09-04 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.1825,97.075
2008-09-05 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.1825,97.065
2008-09-08 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.2025,97.12
2008-09-10 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.1875,97.125
2008-09-11 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.19,97.11
2008-09-12 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.185,97.065
2008-09-15 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.1825,97.36
