Dates,ed200403_price_mid:test,ed200406_price_mid:test,ed200409_price_mid:test,ed200412_price_mid:test,ed200503_price_mid:test,ed200506_price_mid:test,ed200509_price_mid:test,ed200512_price_mid:test,ed200603_price_mid:test,ed200606_price_mid:test,ed200609_price_mid:test,ed200612_price_mid:test,ed200703_price_mid:test,ed200706_price_mid:test,ed200709_price_mid:test,ed200712_price_mid:test,ed200803_price_mid:test,ed200806_price_mid:test,ed200809_price_mid:test,ed200812_price_mid:test,ed200903_price_mid:test,ed200906_price_mid:test,ed200909_price_mid:test,ed200912_price_mid:test,ed201003_price_mid:test,ed201006_price_mid:test,ed201009_price_mid:test,ed201012_price_mid:test,ed201103_price_mid:test,ed201106_price_mid:test,ed201109_price_mid:test,ed201112_price_mid:test,ed201203_price_mid:test,ed201206_price_mid:test,ed201209_price_mid:test,ed201212_price_mid:test,ed201303_price_mid:test,ed201306_price_mid:test,ed201309_price_mid:test,ed201312_price_mid:test,ed201403_price_mid:test,ed201406_price_mid:test,ed201409_price_mid:test,ed201412_price_mid:test,ed201503_price_mid:test,ed201506_price_mid:test,ed201509_price_mid:test,ed201512_price_mid:test
2004-01-02 15:00:00,98.76,98.505,98.125,97.68,97.26,96.855,96.515,96.21,95.98,95.75,95.545,95.33,95.15,94.975,94.81,94.645,94.52,94.405,94.3,94.205,94.125,94.06,94.005,93.93,93.865,93.8,93.735,93.67,93.595,93.515,93.45,93.375,93.3,93.225,93.165,93.095,92.995,92.92,92.85,92.745,NA,NA,NA,NA,NA,NA,NA,NA
2004-01-05 15:00:00,98.765,98.525,98.145,97.695,97.26,96.855,96.51,96.21,95.97,95.735,95.525,95.305,95.13,94.955,94.79,94.63,94.5,94.385,94.275,94.175,94.085,94.02,93.965,93.895,93.83,93.765,93.7,93.64,93.57,93.495,93.435,93.365,93.29,93.215,93.155,93.085,92.995,92.92,92.85,92.745,NA,NA,NA,NA,NA,NA,NA,NA
2004-01-06 15:00:00,98.785,98.58,98.265,97.86,97.435,97.02,96.67,96.37,96.125,95.885,95.67,95.45,95.275,95.1,94.935,94.775,94.645,94.525,94.415,94.31,94.22,94.155,94.1,94.025,93.96,93.895,93.83,93.77,93.695,93.62,93.56,93.49,93.415,93.34,93.28,93.21,93.13,93.055,92.985,92.88,NA,NA,NA,NA,NA,NA,NA,NA
2004-01-07 15:00:00,98.79,98.585,98.265,97.865,97.445,97.04,96.7,96.41,96.16,95.925,95.71,95.495,95.32,95.15,94.99,94.83,94.705,94.585,94.475,94.37,94.28,94.215,94.16,94.085,94.02,93.955,93.89,93.83,93.755,93.68,93.62,93.55,93.48,93.405,93.345,93.275,93.195,93.12,93.05,92.945,NA,NA,NA,NA,NA,NA,NA,NA
2004-01-08 15:00:00,98.79,98.585,98.265,97.865,97.45,97.04,96.7,96.405,96.155,95.92,95.71,95.495,95.32,95.15,94.99,94.83,94.705,94.585,94.475,94.37,94.28,94.215,94.16,94.085,94.02,93.955,93.89,93.83,93.76,93.685,93.625,93.555,93.485,93.41,93.35,93.28,93.205,93.13,93.06,92.955,NA,NA,NA,NA,NA,NA,NA,NA
2004-01-09 15:00:00,98.83,98.715,98.475,98.115,97.705,97.295,96.94,96.635,96.38,96.14,95.92,95.695,95.515,95.34,95.175,95.015,94.89,94.77,94.655,94.545,94.445,94.38,94.325,94.25,94.18,94.115,94.05,93.99,93.925,93.85,93.79,93.72,93.65,93.575,93.515,93.445,93.37,93.295,93.225,93.12,NA,NA,NA,NA,NA,NA,NA,NA
2004-01-12 15:00:00,98.835,98.725,98.475,98.115,97.71,97.305,96.955,96.655,96.41,96.175,95.96,95.74,95.565,95.39,95.225,95.065,94.94,94.82,94.705,94.595,94.49,94.425,94.365,94.29,94.22,94.155,94.085,94.02,93.955,93.88,93.82,93.75,93.68,93.605,93.545,93.475,93.4,93.325,93.255,93.15,NA,NA,NA,NA,NA,NA,NA,NA
2004-01-13 15:00:00,98.84,98.745,98.52,98.175,97.785,97.385,97.04,96.74,96.495,96.265,96.05,95.835,95.66,95.485,95.32,95.16,95.035,94.91,94.795,94.68,94.585,94.515,94.455,94.375,94.305,94.24,94.17,94.105,94.04,93.965,93.905,93.835,93.765,93.69,93.63,93.56,93.485,93.41,93.34,93.235,NA,NA,NA,NA,NA,NA,NA,NA
2004-01-14 15:00:00,98.84,98.74,98.5,98.155,97.775,97.38,97.035,96.74,96.505,96.285,96.075,95.87,95.7,95.53,95.375,95.215,95.095,94.975,94.865,94.75,94.655,94.585,94.52,94.435,94.36,94.295,94.225,94.16,94.095,94.02,93.96,93.89,93.82,93.745,93.685,93.615,93.54,93.465,93.395,93.29,NA,NA,NA,NA,NA,NA,NA,NA
2004-01-15 15:00:00,98.84,98.72,98.47,98.11,97.715,97.315,96.975,96.69,96.465,96.255,96.055,95.86,95.7,95.54,95.395,95.245,95.13,95.015,94.91,94.795,94.705,94.635,94.57,94.485,94.41,94.345,94.275,94.21,94.145,94.07,94.01,93.94,93.87,93.795,93.735,93.665,93.59,93.515,93.445,93.34,NA,NA,NA,NA,NA,NA,NA,NA
