,fncl_4.5_1n_price:internal,fncl_5.0_1n_price:internal,fncl_5.5_1n_price:internal,fncl_6.0_1n_price:internal,fncl_6.5_1n_price:internal,fncl_7.0_1n_price:internal,fncl_7.5_1n_price:internal,fncl_8.0_1n_price:internal,fncl_8.5_1n_price:internal
1993-01-04 15:00:00,NA,NA,NA,NA,94.4375,97.6563,100.4688,102.9688,104.9688
1993-01-05 15:00:00,NA,NA,NA,NA,94.5313,97.75,100.5938,103.0938,105.0938
1993-01-06 15:00:00,NA,NA,NA,NA,94.4688,97.6875,100.5313,103.0625,105.0625
1993-01-07 15:00:00,NA,NA,NA,NA,93.75,96.9688,99.8438,102.4688,104.5313
1993-01-08 15:00:00,NA,NA,NA,NA,94.0938,97.3125,100.1875,102.7813,104.7813
1993-01-11 15:00:00,NA,NA,NA,NA,94.2813,97.5,100.375,102.9688,104.9375
1993-01-12 15:00:00,NA,NA,NA,NA,94.1875,96.9688,99.875,102.4375,104.4375
1993-01-13 15:00:00,NA,NA,NA,NA,94.2813,97.0625,99.9688,102.5313,104.5
1993-01-14 15:00:00,NA,NA,NA,NA,94.4688,97.25,100.1563,102.7188,104.625
1993-01-15 15:00:00,NA,NA,NA,NA,94.75,97.5313,100.4375,103.0313,104.875
1993-01-19 15:00:00,NA,NA,NA,NA,94.5313,97.7188,100.5938,103.1875,104.9688
1993-01-20 15:00:00,NA,NA,NA,NA,94.3438,97.5313,100.4063,103,104.8125
1993-01-21 15:00:00,NA,NA,NA,NA,94.5,97.6875,100.5313,103.0938,104.875
1993-01-22 15:00:00,NA,NA,NA,NA,94.875,98.0625,100.875,103.375,105.0938
1993-01-25 15:00:00,NA,NA,NA,NA,95.3438,98.5313,101.25,103.6563,105.3125
1993-01-26 15:00:00,NA,NA,NA,NA,95.1563,98.3438,101.0625,103.4375,105.0313
1993-01-27 15:00:00,NA,NA,NA,NA,95.25,98.4375,101.0938,103.4375,105
1993-01-28 15:00:00,NA,NA,NA,NA,95.5,98.6875,101.2813,103.625,105.1875
1993-01-29 15:00:00,NA,NA,NA,NA,95.6875,98.875,101.4375,103.75,105.25
1993-02-01 15:00:00,NA,NA,NA,NA,95.7813,98.9688,101.5625,103.875,105.3438
1993-02-02 15:00:00,NA,NA,NA,NA,95.5938,98.7813,101.4063,103.75,105.2813
1993-02-03 15:00:00,NA,NA,NA,NA,95.75,98.9375,101.5313,103.9063,105.4063
1993-02-04 15:00:00,NA,NA,NA,NA,96.0938,99.2813,101.875,104.2188,105.6563
1993-02-05 15:00:00,NA,NA,NA,NA,96.5313,99.7188,102.25,104.5,105.9375
1993-02-08 15:00:00,NA,NA,NA,NA,96.0938,99.2813,101.8125,104.0625,105.5625
1993-02-09 15:00:00,NA,NA,NA,NA,95.9375,98.625,101.2188,103.5,104.9688
1993-02-10 15:00:00,NA,NA,NA,NA,95.5,98.1875,100.8125,103.1875,104.7188
1993-02-11 15:00:00,NA,NA,NA,NA,96.0938,98.7813,101.375,103.6875,105.125
1993-02-12 15:00:00,NA,NA,NA,NA,96.3125,99,101.5625,103.8438,105.25
1993-02-16 15:00:00,NA,NA,NA,NA,96.1875,99.1875,101.75,103.9375,105.4063
1993-02-17 15:00:00,NA,NA,NA,NA,96.5,99.5,102.0625,104.1875,105.5625
1993-02-18 15:00:00,NA,NA,NA,NA,97.0625,100.0625,102.5313,104.4375,105.6875
1993-02-19 15:00:00,NA,NA,NA,NA,97.1563,100.1563,102.625,104.5,105.625
1993-02-22 15:00:00,NA,NA,NA,NA,97.1875,100.1875,102.6563,104.5,105.5313
1993-02-23 15:00:00,NA,NA,NA,NA,98.4063,101.1563,103.375,104.7813,105.625
1993-02-24 15:00:00,NA,NA,NA,NA,97.7813,100.6563,102.9375,104.4688,105.4688
1993-02-25 15:00:00,NA,NA,NA,NA,97.5313,100.4063,102.6875,104.3125,105.3438
1993-02-26 15:00:00,NA,NA,NA,NA,97.5625,100.4375,102.6875,104.3125,105.3438
1993-03-01 15:00:00,NA,NA,NA,NA,98,100.875,103.0625,104.6875,105.5938
1993-03-02 15:00:00,NA,NA,NA,NA,97.9375,100.8125,103.0313,104.6875,105.5938
1993-03-03 15:00:00,NA,NA,NA,NA,98.5313,101.3438,103.5313,105.125,105.9063
1993-03-04 15:00:00,NA,NA,NA,NA,98.8438,101.6563,103.8438,105.4063,106.125
1993-03-05 15:00:00,NA,NA,NA,NA,98.3438,101.1875,103.375,105,105.8438
1993-03-08 15:00:00,NA,NA,NA,NA,98.4375,101.2813,103.4688,105.0938,105.9063
1993-03-09 15:00:00,NA,NA,NA,NA,97.8438,100.6875,102.9375,104.625,105.4688
1993-03-10 15:00:00,NA,NA,NA,NA,97.5625,100.3438,102.6875,104.5313,105.5
1993-03-11 15:00:00,NA,NA,NA,NA,97.7188,100.4688,102.8125,104.625,105.5313
1993-03-12 15:00:00,NA,NA,NA,NA,96.75,99.6563,102.1563,104.1563,105.2188
1993-03-16 15:00:00,NA,NA,NA,NA,96.9688,99.8438,102.25,104.25,105.4375
1993-03-17 15:00:00,NA,NA,NA,NA,97.4063,100.2188,102.5625,104.4688,105.625
1993-03-18 15:00:00,NA,NA,NA,NA,98,100.8125,103.0313,104.8125,105.875
1993-03-19 15:00:00,NA,NA,NA,NA,97.6875,100.5625,102.8438,104.625,105.75
1993-03-22 15:00:00,NA,NA,NA,NA,97.5938,100.4688,102.7188,104.5313,105.7188
1993-03-23 15:00:00,NA,NA,NA,NA,97.9063,100.7813,102.9688,104.6563,105.75
1993-03-24 15:00:00,NA,NA,NA,NA,97.5625,100.4688,102.6875,104.4375,105.5625
1993-03-25 15:00:00,NA,NA,NA,NA,97.4063,100.3125,102.5313,104.25,105.375
1993-03-26 15:00:00,NA,NA,NA,NA,96.9375,99.8438,102.0938,103.875,105.0625
