,fncl_4.5_1c_tri_daily_vSwapPartials:internal,fncl_5.0_1c_tri_daily_vSwapPartials:internal,fncl_5.5_1c_tri_daily_vSwapPartials:internal,fncl_6.0_1c_tri_daily_vSwapPartials:internal,fncl_6.5_1c_tri_daily_vSwapPartials:internal,fncl_7.0_1c_tri_daily_vSwapPartials:internal,fncl_7.5_1c_tri_daily_vSwapPartials:internal,fncl_8.0_1c_tri_daily_vSwapPartials:internal,fncl_8.5_1c_tri_daily_vSwapPartials:internal
1993-03-03 15:00:00,NA,NA,NA,NA,0.214521677,0.154237407,0.179332471,0.273297896,0.219759823
1993-03-04 15:00:00,NA,NA,NA,NA,-0.02297303,-0.030128173,0.013714344,0.131961896,0.129128827
1993-03-05 15:00:00,NA,NA,NA,NA,0.010362607,0.101682077,0.067798969,-0.155236417,-0.118459501
1993-03-08 15:00:00,NA,NA,NA,NA,-0.061439046,-0.020039138,0.022649769,0.074947777,0.058960869
1993-03-09 15:00:00,NA,NA,NA,NA,0.159395368,0.149415646,0.184297831,0.101811867,0.089873076
1993-03-10 15:00:00,NA,NA,NA,NA,-0.222681628,-0.300960332,-0.223184557,-0.086152096,0.032514309
1993-03-11 15:00:00,NA,NA,NA,NA,0.021829673,-0.019774066,-0.020021915,0.012460609,-0.020576723
1993-03-12 15:00:00,NA,NA,NA,NA,-0.075938027,-0.02593788,-0.00268392,-0.160445378,-0.160812304
1993-03-16 15:00:00,NA,NA,NA,NA,-0.107620882,-0.1304436,-0.202409818,-0.079225801,0.119707086
1993-03-17 15:00:00,NA,NA,NA,NA,0.207389903,0.158805527,0.116737667,0.111703726,0.128452627
1993-03-18 15:00:00,NA,NA,NA,NA,0.031537309,0.075635282,0.011707057,0.110400707,0.126747292
1993-03-19 15:00:00,NA,NA,NA,NA,-0.127532961,-0.069114201,-0.020100936,-0.103494387,-0.080416717
1993-03-22 15:00:00,NA,NA,NA,NA,-0.134004926,-0.145545806,-0.184368631,-0.12866506,-0.055828451
1993-03-23 15:00:00,NA,NA,NA,NA,0.066357502,0.085276207,0.051106826,0.033776705,-0.020336308
