Date,fncl_4.5_1n_dv01:jpmorgan,fncl_5.0_1n_dv01:jpmorgan,fncl_5.5_1n_dv01:jpmorgan,fncl_6.0_1n_dv01:jpmorgan,fncl_6.5_1n_dv01:jpmorgan,fncl_7.0_1n_dv01:jpmorgan,fncl_7.5_1n_dv01:jpmorgan,fncl_8.0_1n_dv01:jpmorgan,fncl_8.5_1n_dv01:jpmorgan
2006-01-03 15:00:00,5.51,4.71,3.8,3.02,1.93,1.38,1.44,0.94,1.3
2006-01-04 15:00:00,5.49,4.68,3.74,2.92,1.84,1.33,1.43,0.94,1.32
2006-01-05 15:00:00,5.47,4.66,3.71,2.87,1.79,1.31,1.42,0.94,1.32
2006-01-06 15:00:00,5.46,4.62,3.68,2.85,1.78,1.27,1.41,0.99,1.32
2006-01-09 15:00:00,5.42,4.56,3.59,2.73,1.68,1.24,1.34,0.96,1.29
2006-01-10 15:00:00,5.52,4.68,3.73,2.88,1.8,1.32,1.38,0.96,1.28
2006-01-11 15:00:00,5.56,4.72,3.79,2.95,1.84,1.34,1.39,0.96,1.27
2006-01-12 15:00:00,5.46,4.6,3.64,2.8,1.74,1.29,1.38,0.99,1.31
2006-01-13 15:00:00,5.33,4.45,3.48,2.64,1.63,1.25,1.37,1.01,1.34
2006-01-17 15:00:00,5.33,4.44,3.46,2.64,1.63,1.26,1.38,1.01,1.34
2006-01-18 15:00:00,5.35,4.46,3.49,2.66,1.64,1.28,1.38,1.01,1.34
2006-01-19 15:00:00,5.41,4.54,3.57,2.74,1.72,1.33,1.39,1,1.32
2006-01-20 15:00:00,5.34,4.46,3.48,2.64,1.65,1.3,1.36,1.02,1.34
2006-01-23 15:00:00,5.35,4.46,3.48,2.63,1.65,1.3,1.38,1.02,1.34
2006-01-24 15:00:00,5.41,4.54,3.56,2.69,1.71,1.34,1.39,1.02,1.33
2006-01-25 15:00:00,5.53,4.71,3.77,2.91,1.89,1.46,1.45,1.02,1.3
2006-01-26 15:00:00,5.62,4.81,3.88,3.03,1.99,1.5,1.47,1.01,1.28
2006-01-27 15:00:00,5.58,4.76,3.81,2.96,1.95,1.47,1.46,1.01,1.29
2006-01-30 15:00:00,5.6,4.79,3.86,3,2,1.51,1.47,1.02,1.28
2006-01-31 15:00:00,5.58,4.77,3.85,3.01,2.02,1.51,1.48,1.03,1.28
2006-02-01 15:00:00,5.65,4.9,4.02,3.03,2.09,1.53,1.46,0.99,1.24
