Date,fncl_4.5_1n_libor_oas:jpmorgan,fncl_5.0_1n_libor_oas:jpmorgan,fncl_5.5_1n_libor_oas:jpmorgan,fncl_6.0_1n_libor_oas:jpmorgan,fncl_6.5_1n_libor_oas:jpmorgan,fncl_7.0_1n_libor_oas:jpmorgan,fncl_7.5_1n_libor_oas:jpmorgan,fncl_8.0_1n_libor_oas:jpmorgan,fncl_8.5_1n_libor_oas:jpmorgan
2006-01-03 15:00:00,-0.1,-4.3,-2.7,2.2,5.9,-6.2,19.5,-40.5,-21.3
2006-01-04 15:00:00,-0.6,-5.1,-3.9,1.4,4.4,-6.7,20.7,-40.2,-20.3
2006-01-05 15:00:00,-1.8,-5.7,-4.4,0.4,2.6,-7,20.4,-41,-20.9
2006-01-06 15:00:00,-1.2,-5.7,-5.7,-1,2.1,-11.6,18.9,-32.1,-22.7
2006-01-09 15:00:00,0.1,-4.4,-4.6,-1,1.6,-6.2,17.6,-27.7,-19.4
2006-01-10 15:00:00,1.7,-3.5,-4.2,-1.5,0.5,-5.8,17.3,-26.8,-19.5
2006-01-11 15:00:00,1.3,-4.5,-4.3,-1.5,-0.2,-6.2,16.8,-25.7,-18.8
2006-01-12 15:00:00,-0.2,-6.1,-6.5,-3.1,-0.4,-6.5,17.9,-23.9,-16
2006-01-13 15:00:00,-1.6,-7.1,-7.7,-3,0.1,-5.2,20.4,-22.2,-13.2
2006-01-17 15:00:00,0.1,-5.9,-6.6,-1.2,1.2,-3.1,22.6,-21.3,-12.2
2006-01-18 15:00:00,0.2,-5.5,-5.7,0.1,1.8,-0.3,23.1,-20.8,-11.8
2006-01-19 15:00:00,-0.4,-5.7,-5.8,-1.1,2.2,1.2,20.8,-22.8,-14.5
2006-01-20 15:00:00,-2,-7.8,-8,-2.9,0.6,-1.3,17.2,-23.1,-14.2
2006-01-23 15:00:00,-2.2,-7.9,-8.4,-4.1,-0.7,-1.6,18.8,-22.6,-13.7
2006-01-24 15:00:00,-1.8,-7.5,-8.3,-5.7,-1,-1.4,17.6,-23.4,-15
2006-01-25 15:00:00,-3.1,-8.5,-8.8,-7.1,-3,-2.3,16.3,-24.1,-19.6
2006-01-26 15:00:00,-0.4,-6.8,-7.4,-5.9,-1.6,-2.7,15.8,-25.1,-21.3
2006-01-27 15:00:00,-0.1,-6.6,-7.8,-6.6,-0.9,-3.5,16,-25.4,-21.4
2006-01-30 15:00:00,-1.2,-7.8,-8.6,-8.1,-2.2,-3.9,14,-27,-23.2
2006-01-31 15:00:00,-1.6,-7.7,-8.3,-7.4,-0.6,-3.9,16.2,-23.2,-23.5
2006-02-01 15:00:00,-0.9,-7.5,-6.8,-9.5,0.6,-3.1,14.3,-26.2,-27.4
2006-02-02 15:00:00,-0.7,-7.7,-6.9,-10.2,0.5,-2.8,14.1,-26.5,-27.6
2006-02-03 15:00:00,-0.3,-7.5,-6.3,-8.6,1.8,0.2,14.8,-26.3,-27.3
2006-02-06 15:00:00,-1.8,-8.6,-7.6,-10.1,2,0.1,13,-28.2,-29.3
2006-02-07 15:00:00,-2.7,-9.2,-8.5,-10.7,2.1,0.1,13.1,-27.8,-28.9
2006-02-08 15:00:00,-2.4,-8.5,-8.5,-10.5,1.4,0.6,11.6,-28.3,-29.1
2006-02-09 15:00:00,-3.2,-9.2,-8.2,-9.2,2.5,5.5,9.7,-27.3,-29.3
2006-02-10 15:00:00,-1.8,-7.8,-7,-7.9,0.8,8.7,8.5,-28.1,-30.7
2006-02-13 15:00:00,-1,-7.4,-6.9,-8.1,-0.5,7.2,6.1,-32.1,-33.8
2006-02-14 15:00:00,0.4,-5.6,-4.8,-5.9,1.5,9.9,8.8,-27.2,-30.3
2006-02-15 15:00:00,0.7,-5.4,-4.8,-5.9,1.4,10.3,8.9,-27.6,-30.8
2006-02-16 15:00:00,-0.3,-6.7,-5.7,-6.7,0.7,10.7,8.9,-28.3,-31.4
2006-02-17 15:00:00,-3.8,-10.7,-8.4,-8.6,0.1,8.5,9,-29.4,-30.5
2006-02-21 15:00:00,-3.6,-10.9,-8.3,-8.7,-0.3,7.3,7.2,-30.9,-32.3
2006-02-22 15:00:00,-3.6,-11.7,-8.5,-7.9,2,8.5,7.8,-31.4,-31.9
2006-02-23 15:00:00,-5.4,-14.6,-9.8,-9.4,1.1,6.2,0.3,-34,-35
2006-02-24 15:00:00,-5.7,-15.5,-10.5,-9.9,0.5,7.1,0.8,-34.1,-35.1
2006-02-27 15:00:00,-6.2,-16,-11,-11,-0.6,6.4,-0.1,-35.1,-36.2
2006-02-28 15:00:00,-5.6,-16.7,-11,-11.3,-1,7.3,2.1,-32.9,-33.4
2006-03-01 15:00:00,-3.5,-13.6,-7.7,-13,0.9,-4.7,2.1,-31.7,-33.6
2006-03-02 15:00:00,-3.5,-12.6,-7.8,-14,-1.1,-4.7,0.3,-32.2,-34.5
2006-03-03 15:00:00,-3.6,-10.7,-7.8,-13.7,-1.4,-7.3,-1.2,-33.2,-36
2006-03-06 15:00:00,-2.7,-10.1,-6.9,-13.4,-2.5,-8.9,-3.1,-33.8,-37.1
2006-03-07 15:00:00,-3.2,-10.2,-6.3,-12.6,-2.9,-8.3,-3,-33.6,-36.9
2006-03-08 15:00:00,-2,-8.2,-5.7,-12.7,-2.1,-7.8,-2.8,-32.2,-34.8
2006-03-09 15:00:00,-4.8,-9.7,-8.3,-14.6,-3,-9.8,-3.2,-33.1,-35.6
2006-03-10 15:00:00,-2.1,-7.8,-6.7,-13.7,-2.1,-9.2,-2.9,-32.5,-36.5
2006-03-13 15:00:00,-2.5,-8.1,-7.4,-15.3,-4,-10.9,-4.7,-33.5,-37.5
2006-03-14 15:00:00,-4.6,-9.5,-7.7,-14.3,-0.5,-6.8,1.4,-29,-32.3
2006-03-15 15:00:00,-4.1,-9.3,-7.4,-13.1,0.3,-4.7,1.1,-28.6,-32.3
2006-03-16 15:00:00,-4.8,-9.6,-7.5,-12.8,1.8,-1.1,6.5,-24,-26.8
2006-03-17 15:00:00,-4.7,-9.3,-6.7,-12.5,2.6,-1.5,5.4,-24.9,-27.9
2006-03-20 15:00:00,-4,-8.5,-5.8,-11.7,2.9,-0.8,6.5,-24.2,-27.2
2006-03-21 15:00:00,-2.8,-7.3,-5,-11.4,2.2,-2.5,7.3,-24.5,-31.5
2006-03-22 15:00:00,-4.4,-8.6,-6.4,-12.6,0.9,-4.3,6.5,-25.7,-32.7
2006-03-23 15:00:00,-4.4,-9,-7.1,-12.9,-0.2,-3.1,4.4,-27.5,-34.7
2006-03-24 15:00:00,-3.7,-8,-7.3,-13.6,1,-0.5,8.2,-24.4,-31
2006-03-27 15:00:00,-4.2,-8.6,-7.8,-14.3,-0.2,0.1,7.2,-25.1,-31.8
2006-03-28 15:00:00,-3.9,-8.4,-7.6,-14.6,-2,-1.5,2.6,-28.6,-36
2006-03-29 15:00:00,0.8,-5.4,-7,-14.1,-3.2,0.4,1.8,-28.6,-36.3
2006-03-30 15:00:00,2.7,-3.9,-6.2,-14.9,-6.2,-2.3,-1.4,-30.9,-38.8
2006-03-31 15:00:00,2.5,-4,-6.3,-14.4,-6,-1.3,-0.5,-30.2,-38
