Date,fncl_4.5_1n_dv01:jpmorgan,fncl_5.0_1n_dv01:jpmorgan,fncl_5.5_1n_dv01:jpmorgan,fncl_6.0_1n_dv01:jpmorgan,fncl_6.5_1n_dv01:jpmorgan,fncl_7.0_1n_dv01:jpmorgan,fncl_7.5_1n_dv01:jpmorgan,fncl_8.0_1n_dv01:jpmorgan,fncl_8.5_1n_dv01:jpmorgan
2007-01-02 15:00:00,5.51,4.63,3.82,2.41,1.44,1.02,1.66,1.27,1.26
2007-01-03 15:00:00,5.461,4.543,3.723,2.284,1.335,0.982,1.647,1.277,1.29
2007-01-04 15:00:00,5.363,4.405,3.557,2.109,1.229,0.942,1.634,1.294,1.32
2007-01-05 15:00:00,5.394,4.448,3.611,2.154,1.255,0.944,1.642,1.281,1.32
2007-01-08 15:00:00,5.396,4.442,3.596,2.161,1.271,0.936,1.639,1.259,1.281
2007-01-09 15:00:00,5.418,4.718,3.62,2.027,1.277,0.938,1.637,1.256,1.291
2007-01-10 15:00:00,5.498,4.831,3.744,2.18,1.393,0.983,1.665,1.274,1.282
2007-01-11 15:00:00,5.558,4.953,3.886,2.354,1.52,1.051,1.704,1.282,1.283
2007-01-12 15:00:00,5.609,5.026,3.961,2.428,1.567,1.087,1.722,1.29,1.274
2007-01-16 15:00:00,5.62,5.03,3.954,2.385,1.533,1.069,1.72,1.327,1.545
2007-01-17 15:00:00,5.689,5.142,4.078,2.526,1.629,1.102,1.738,1.325,1.555
2007-01-18 15:00:00,5.641,5.076,4.003,2.444,1.576,1.088,1.736,1.332,1.564
2007-01-19 15:00:00,5.651,5.099,4.046,2.517,1.642,1.135,1.755,1.35,1.574
2007-01-22 15:00:00,5.623,5.072,4.001,2.473,1.617,1.118,1.762,1.357,1.592
2007-01-23 15:00:00,5.787,5.536,4.565,3.146,2.404,1.665,2.679,2.215,2.646
2007-01-24 15:00:00,5.721,5.246,4.207,2.7,1.801,1.236,1.829,1.394,1.603
2007-01-25 15:00:00,5.797,5.374,4.357,2.896,1.962,1.347,1.888,1.424,1.631
2007-01-26 15:00:00,5.807,5.415,4.408,2.948,1.997,1.363,1.906,1.422,1.66
2007-01-29 15:00:00,5.828,5.476,4.482,3.032,2.065,1.405,1.926,1.431,1.661
2007-01-30 15:00:00,5.81,5.449,4.456,2.996,2.049,1.396,1.924,1.438,1.67
2007-01-31 15:00:00,5.767,5.336,4.305,2.825,1.876,1.29,1.874,1.438,1.686
2007-02-01 15:00:00,5.769,5.353,4.362,2.883,1.896,1.268,1.871,1.401,1.657
2007-02-02 15:00:00,5.753,5.319,4.301,2.786,1.81,1.22,1.86,1.399,1.666
2007-02-05 15:00:00,5.718,5.246,4.207,2.647,1.699,1.144,1.846,1.396,1.684
2007-02-06 15:00:00,5.661,5.15,4.091,2.524,1.62,1.104,1.841,1.41,1.702
2007-02-07 15:00:00,5.627,5.099,4.024,2.468,1.572,1.052,1.819,1.382,1.686
2007-02-08 15:00:00,5.628,5.093,4.018,2.454,1.539,1.014,1.818,1.389,1.695
2007-02-09 15:00:00,5.712,5.24,4.196,2.676,1.712,1.127,1.859,1.41,1.705
2007-02-12 15:00:00,5.751,5.319,4.287,2.786,1.807,1.192,1.88,1.421,1.707
2007-02-13 15:00:00,5.751,5.331,4.308,2.808,1.839,1.216,1.897,1.437,1.716
2007-02-14 15:00:00,5.623,5.105,4.033,2.49,1.604,1.073,1.849,1.439,1.75
2007-02-15 15:00:00,5.605,5.07,3.998,2.447,1.588,1.058,1.855,1.455,1.768
2007-02-16 15:00:00,5.596,5.061,3.99,2.458,1.6,1.083,1.871,1.464,1.778
2007-02-20 15:00:00,5.568,5.026,3.955,2.435,1.603,1.091,1.888,1.489,1.796
2007-02-21 15:00:00,5.582,5.061,3.99,2.455,1.607,1.082,1.888,1.488,1.797
2007-02-22 15:00:00,5.638,5.151,4.092,2.581,1.702,1.147,1.91,1.498,1.806
2007-02-23 15:00:00,5.582,5.056,3.987,2.479,1.648,1.092,1.913,1.512,1.824
2007-02-26 15:00:00,5.528,4.98,3.91,2.395,1.595,1.076,1.915,1.527,1.841
2007-02-27 15:00:00,5.411,4.804,3.709,2.21,1.5,1.067,1.946,1.577,1.891
2007-02-28 15:00:00,5.505,4.9,3.796,2.299,1.466,1.046,1.945,1.607,1.913
2007-03-01 15:00:00,5.491,4.917,3.859,2.36,1.543,1.052,1.936,1.583,1.897
2007-03-02 15:00:00,5.444,4.859,3.793,2.311,1.517,1.059,1.929,1.609,1.93
2007-03-05 15:00:00,5.457,4.876,3.817,2.337,1.544,1.049,1.94,1.624,1.939
2007-03-06 15:00:00,5.471,4.891,3.817,2.303,1.491,1.007,1.922,1.605,1.932
2007-03-07 15:00:00,5.428,4.818,3.735,2.214,1.429,0.863,1.877,1.618,1.948
2007-03-08 15:00:00,5.43,4.788,3.688,2.153,1.383,0.87,1.876,1.605,1.962
2007-03-09 15:00:00,5.523,4.957,3.878,2.37,1.543,0.895,1.908,1.599,1.949
2007-03-12 15:00:00,5.488,4.893,3.796,2.287,1.477,0.84,1.903,1.612,1.965
2007-03-13 15:00:00,5.426,4.795,3.679,2.144,1.39,0.793,1.926,1.644,1.997
2007-03-14 15:00:00,5.462,4.855,3.742,2.215,1.449,0.87,1.947,1.655,2.007
2007-03-15 15:00:00,5.483,4.897,3.784,2.25,1.462,0.882,1.941,1.653,2.001
2007-03-16 15:00:00,5.512,4.932,3.82,2.286,1.475,0.882,1.95,1.653,2.009
2007-03-19 15:00:00,5.524,4.961,3.85,2.326,1.512,0.895,1.961,1.661,2.012
2007-03-20 15:00:00,5.499,4.909,3.782,2.249,1.45,0.867,1.962,1.667,2.027
2007-03-21 15:00:00,5.466,4.853,3.707,2.139,1.368,0.839,1.973,1.697,2.052
2007-03-22 15:00:00,5.562,5.016,3.893,2.343,1.516,0.915,2.011,1.71,2.063
2007-03-23 15:00:00,5.59,5.075,3.97,2.447,1.612,0.975,2.034,1.721,2.067
2007-03-26 15:00:00,5.567,5.044,3.939,2.416,1.601,0.959,2.019,1.701,2.083
2007-03-27 15:00:00,5.61,5.12,4.026,2.51,1.667,1.017,2.043,1.721,2.1
2007-03-28 15:00:00,5.645,5.184,4.096,2.572,1.716,1.049,2.074,1.739,2.112
2007-03-29 15:00:00,5.657,5.208,4.128,2.623,1.758,1.068,2.08,1.74,2.114
2007-03-30 15:00:00,5.714,5.245,4.173,2.681,1.691,1.065,2.08,1.808,2.153
2007-04-02 15:00:00,5.627,5.201,4.18,2.673,1.759,1.023,2.074,1.732,2.105
2007-04-03 15:00:00,5.629,5.196,4.194,2.691,1.785,1.036,2.085,1.739,2.112
2007-04-04 15:00:00,5.622,5.176,4.191,2.688,1.779,1.048,2.093,1.748,2.128
2007-04-05 15:00:00,5.64,5.224,4.244,2.75,1.834,1.09,2.114,1.764,2.132
2007-04-06 15:00:00,5.701,5.35,4.412,2.958,2.002,1.209,2.15,1.767,2.126
2007-04-09 15:00:00,5.706,5.346,4.388,2.94,1.998,1.235,2.132,1.756,2.126
2007-04-10 15:00:00,5.697,5.326,4.352,2.888,1.958,1.191,2.135,1.763,2.137
2007-04-11 15:00:00,5.708,5.363,4.396,2.94,2.012,1.224,2.155,1.773,2.146
2007-04-12 15:00:00,5.726,5.394,4.428,2.967,2.026,1.237,2.16,1.775,2.149
2007-04-13 15:00:00,5.744,5.431,4.479,3.034,2.085,1.288,2.179,1.786,2.157
2007-04-16 15:00:00,5.713,5.371,4.411,2.96,2.028,1.244,2.171,1.79,2.165
2007-04-17 15:00:00,5.665,5.272,4.3,2.828,1.916,1.148,2.163,1.799,2.187
2007-04-18 15:00:00,5.617,5.187,4.212,2.736,1.843,1.095,2.163,1.812,2.203
2007-04-19 15:00:00,5.649,5.247,4.261,2.775,1.877,1.115,2.189,1.829,2.215
2007-04-20 15:00:00,5.643,5.257,4.279,2.803,1.891,1.135,2.209,1.845,2.229
2007-04-23 15:00:00,5.636,5.239,4.246,2.766,1.849,1.104,2.213,1.852,2.239
2007-04-24 15:00:00,5.622,5.21,4.196,2.694,1.782,1.058,2.206,1.858,2.253
2007-04-25 15:00:00,5.647,5.265,4.267,2.776,1.863,1.1,2.23,1.87,2.258
2007-04-26 15:00:00,5.687,5.347,4.371,2.905,1.97,1.174,2.262,1.885,2.262
2007-04-27 15:00:00,5.71,5.397,4.437,2.975,2.038,1.24,2.294,1.902,2.273
2007-04-30 15:00:00,5.708,5.285,4.289,2.812,1.735,1.074,2.242,1.961,2.327
2007-05-01 15:00:00,5.653,5.326,4.337,2.869,1.9,1.1,2.265,1.881,2.284
2007-05-02 15:00:00,5.655,5.326,4.342,2.878,1.923,1.112,2.281,1.888,2.293
2007-05-03 15:00:00,5.671,5.368,4.4,2.964,2.01,1.193,2.304,1.898,2.294
2007-05-04 15:00:00,5.642,5.307,4.324,2.872,1.92,1.102,2.294,1.895,2.304
2007-05-07 15:00:00,5.623,5.282,4.299,2.857,1.906,1.125,2.301,1.905,2.316
2007-05-08 15:00:00,5.63,5.294,4.31,2.86,1.911,1.139,2.313,1.916,2.326
2007-05-09 15:00:00,5.694,5.373,4.398,2.963,2.003,1.181,2.351,1.933,2.344
2007-05-10 15:00:00,5.695,5.372,4.392,2.95,1.993,1.199,2.365,1.941,2.359
2007-05-11 15:00:00,5.713,5.423,4.455,3.017,2.053,1.256,2.392,1.957,2.366
2007-05-14 15:00:00,5.739,5.478,4.522,3.094,2.119,1.308,2.417,1.969,2.372
2007-05-15 15:00:00,5.76,5.521,4.583,3.168,2.191,1.377,2.444,1.985,2.38
2007-05-16 15:00:00,5.758,5.522,4.584,3.172,2.203,1.387,2.454,1.996,2.392
2007-05-17 15:00:00,5.787,5.593,4.684,3.299,2.317,1.498,2.492,2.016,2.399
2007-05-18 15:00:00,5.804,5.647,4.766,3.407,2.425,1.61,2.533,2.046,2.412
2007-05-21 15:00:00,5.802,5.641,4.76,3.399,2.418,1.578,2.514,2.045,2.419
2007-05-22 15:00:00,5.83,5.713,4.866,3.52,2.533,1.694,2.561,2.071,2.429
2007-05-23 15:00:00,5.847,5.755,4.932,3.596,2.612,1.769,2.6,2.095,2.442
2007-05-24 15:00:00,5.838,5.748,4.932,3.615,2.631,1.796,2.612,2.108,2.451
2007-05-25 15:00:00,5.834,5.751,4.946,3.637,2.66,1.827,2.629,2.12,2.46
2007-05-29 15:00:00,5.834,5.767,4.976,3.686,2.709,1.882,2.658,2.144,2.47
2007-05-30 15:00:00,5.825,5.754,4.961,3.676,2.708,1.886,2.665,2.152,2.477
2007-05-31 15:00:00,5.904,5.792,5.015,3.792,2.639,1.967,2.839,2.436,2.736
