Date,fncl_4.5_1n_partial_duration_10y:internal,fncl_5.0_1n_partial_duration_10y:internal,fncl_5.5_1n_partial_duration_10y:internal,fncl_6.0_1n_partial_duration_10y:internal,fncl_6.5_1n_partial_duration_10y:internal,fncl_7.0_1n_partial_duration_10y:internal,fncl_7.5_1n_partial_duration_10y:internal,fncl_8.0_1n_partial_duration_10y:internal,fncl_8.5_1n_partial_duration_10y:internal
"2007-01-02 15:00:00",2.4207,1.79911,1.24315,0.52499,0.08357,-0.08828,0.1652,0.03113,-0.05098
"2007-01-03 15:00:00",2.38693,1.7511,1.19208,0.46936,0.03925,-0.09917,0.16323,0.03292,-0.03946
"2007-01-04 15:00:00",2.32048,1.66807,1.11153,0.39049,-0.00346,-0.11597,0.15392,0.03874,-0.02276
"2007-01-05 15:00:00",2.35739,1.70093,1.13829,0.40417,-0.00045,-0.12454,0.15714,0.0292,-0.0324
"2007-01-08 15:00:00",2.40075,1.739,1.1667,0.43498,0.01606,-0.12267,0.17631,0.0297,-0.03485
"2007-01-09 15:00:00",2.4203,1.86782,1.18037,0.37913,0.0172,-0.12703,0.17571,0.02657,-0.03471
"2007-01-10 15:00:00",2.46938,1.93783,1.24553,0.44871,0.07038,-0.1066,0.19096,0.03706,-0.03014
"2007-01-11 15:00:00",2.51131,2.01552,1.32161,0.52681,0.12341,-0.07784,0.21144,0.04365,-0.03174
"2007-01-12 15:00:00",2.53682,2.05936,1.35975,0.55647,0.13922,-0.06727,0.22056,0.046,-0.03342
"2007-01-16 15:00:00",2.55017,2.06481,1.35713,0.53298,0.11522,-0.08262,0.21597,0.06247,0.13971
"2007-01-17 15:00:00",2.6086,2.14657,1.43541,0.60094,0.15627,-0.06849,0.22646,0.06205,0.14321
"2007-01-18 15:00:00",2.56442,2.08972,1.38069,0.55066,0.12425,-0.07796,0.22592,0.06309,0.14872
"2007-01-19 15:00:00",2.58369,2.1196,1.41269,0.59322,0.15599,-0.05759,0.23616,0.06949,0.15454
"2007-01-22 15:00:00",2.56537,2.09218,1.38184,0.56372,0.13808,-0.06812,0.23748,0.07061,0.15939
"2007-01-23 15:00:00",2.59872,2.25619,1.57281,0.74938,0.34898,0.06149,0.90647,0.55958,0.83575
"2007-01-24 15:00:00",2.6283,2.21187,1.50894,0.68355,0.23568,-0.00156,0.2786,0.10212,0.1801
"2007-01-25 15:00:00",2.67606,2.29787,1.60539,0.78278,0.307,0.03871,0.31097,0.11505,0.19157
"2007-01-26 15:00:00",2.66834,2.31306,1.62511,0.80018,0.31681,0.04116,0.31908,0.11145,0.20932
"2007-01-29 15:00:00",2.68835,2.35977,1.68093,0.84809,0.35157,0.06121,0.33179,0.11759,0.21368
"2007-01-30 15:00:00",2.66774,2.33464,1.66067,0.8307,0.34462,0.057,0.33464,0.12049,0.21954
"2007-01-31 15:00:00",2.63238,2.25041,1.55684,0.72842,0.24389,-0.00332,0.30074,0.11446,0.22026
"2007-02-01 15:00:00",2.63647,2.26639,1.58453,0.75988,0.26237,-0.00235,0.31092,0.10072,0.21259
"2007-02-02 15:00:00",2.62435,2.23704,1.54506,0.70779,0.2207,-0.0287,0.30573,0.09839,0.21613
"2007-02-05 15:00:00",2.60042,2.18529,1.47968,0.6325,0.1677,-0.06464,0.29763,0.09611,0.22031
"2007-02-06 15:00:00",2.55618,2.11155,1.40001,0.56343,0.1226,-0.08624,0.29625,0.0989,0.22821
"2007-02-07 15:00:00",2.57162,2.11513,1.39866,0.56508,0.12464,-0.09889,0.30697,0.10799,0.24332
"2007-02-08 15:00:00",2.57148,2.11165,1.39554,0.55437,0.10109,-0.12493,0.30744,0.10787,0.24522
