Dates,fnci_4.5_1c_tri_vFuturesTY:test,fnci_5.0_1c_tri_vFuturesTY:test,fnci_5.5_1c_tri_vFuturesTY:test
2007-01-01 15:00:00,85,100,115
2007-01-02 15:00:00,NA,99.523246,115.919833
2007-01-03 15:00:00,86.355963,99.951973,116.097801
2007-01-04 15:00:00,87.276129,100.756346,115.194774
2007-01-05 15:00:00,87.714344,101.680879,116.047896
2007-01-08 15:00:00,86.835399,101.986634,115.758452
2007-01-09 15:00:00,86.099582,102.491526,116.620315
2007-01-10 15:00:00,86.123497,102.694464,116.764939
2007-01-11 15:00:00,87.119734,102.890068,116.0953
2007-01-12 15:00:00,87.206133,101.911439,116.81306
2007-01-15 15:00:00,NA,101.801499,117.080036
2007-01-16 15:00:00,86.912221,102.063309,117.223362
2007-01-17 15:00:00,NA,102.900056,117.178703
2007-01-18 15:00:00,86.539265,102.45413,116.85381
2007-01-19 15:00:00,86.448865,102.453841,117.137147
2007-01-22 15:00:00,86.669989,102.681619,116.693538
2007-01-23 15:00:00,87.226253,101.73537,NA
2007-01-24 15:00:00,87.010518,102.517227,NA
2007-01-25 15:00:00,87.470355,102.377586,116.940564
2007-01-26 15:00:00,87.450484,103.244353,116.35755
2007-01-29 15:00:00,88.394763,102.855238,NA
2007-01-30 15:00:00,88.466505,102.642265,NA
2007-01-31 15:00:00,87.971753,102.40784,116.025047
2007-02-01 15:00:00,87.367246,102.846088,115.63144
2007-02-02 15:00:00,86.952068,102.649156,116.063322
2007-02-05 15:00:00,86.739974,102.232915,115.68884
2007-02-06 15:00:00,87.692101,101.359027,116.49679
2007-02-07 15:00:00,88.261185,100.861903,116.026342
