Dates,fncl_5.0_1n_dv01:test,fncl_5.5_1n_dv01:test,fncl_6.0_1n_dv01:test
2007-01-01 15:00:00,3.5,4,5.5
2007-01-02 15:00:00,4.3173,4.6348,4.908
2007-01-03 15:00:00,5.0754,5.5735,5.6976
2007-01-04 15:00:00,4.3588,4.8218,5.3441
2007-01-05 15:00:00,4.0982,4.7104,4.86
2007-01-08 15:00:00,5.0593,5.1128,NA
2007-01-09 15:00:00,3.438,4.1282,4.4971
2007-01-10 15:00:00,3.1712,NA,3.7403
2007-01-11 15:00:00,3.0465,3.3397,3.8967
2007-01-12 15:00:00,1.9866,2.9239,NA
2007-01-15 15:00:00,1.8931,2.4406,2.7833
2007-01-16 15:00:00,86.912221,102.063309,117.223362
2007-01-17 15:00:00,2.0949,2.9639,3.5626
2007-01-18 15:00:00,NA,3.862,4.8401
2007-01-19 15:00:00,3.8896,4.621,5.1107
2007-01-22 15:00:00,3.4188,4.0522,4.3939
2007-01-23 15:00:00,2.8259,3.5659,4.3607
2007-01-24 15:00:00,3.7688,4.2431,5.1048
2007-01-25 15:00:00,2.7546,3.3705,3.9879
2007-01-26 15:00:00,2.8621,3.4744,4.4696
2007-01-29 15:00:00,3.0596,3.5822,4.0814
2007-01-30 15:00:00,2.425,3.3209,3.7405
2007-01-31 15:00:00,2.4237,2.7334,3.3609
2007-02-01 15:00:00,3.1364,3.3381,4.2127
2007-02-02 15:00:00,1.6247,2.5994,3.0974
2007-02-05 15:00:00,2.562,3.5396,4.1063
2007-02-06 15:00:00,3.193,3.4916,4.0672
2007-02-07 15:00:00,2.5174,3.1862,3.737
