Date, tu.1c_pvbp:internal ,fv.1c_pvbp:internal,ty.1c_pvbp:internal,us.1c_pvbp:internal
1990-01-02, NA , 3.8659 ,5.9882, 7.80 
1990-01-03, NA , 3.8529 ,5.9879, 7.75 
1990-01-04, NA , 3.8530 ,6.0187, 7.75 
1990-01-05, NA , 3.8433 ,6.0301, 7.72 
1990-01-08, NA , 3.8389 ,6.1098, 7.70 
1990-01-09, NA , 3.8362 ,6.0839, 7.68 
1990-01-10, NA , 3.8318 ,6.1215, 7.69 
1990-01-11, NA , 3.8803 ,6.1674, 7.68 
1990-01-12, NA , 3.8681 ,6.1487, 7.61 
1990-01-16, NA , 3.8577 ,6.1566, 7.57 
1990-01-17, NA , 3.8556 ,6.1602, 7.56 
1990-01-18, NA , 3.8458 ,6.1242, 7.42 
1990-01-19, NA , 3.8430 ,6.0919, 7.48 
1990-01-22, NA , 3.8417 ,6.0769, 7.47 
1990-01-23, NA , 3.8407 ,6.0962, 7.49 
1990-01-24, NA , 3.8818 ,6.1067, 7.38 
1990-01-25, NA , 3.8782 ,6.1049, 7.33 
1990-01-26, NA , 3.8579 ,6.0495, 7.24 
1990-01-29, NA , 3.8670 ,6.0805, 7.23 
1990-01-30, NA , 3.8569 ,6.0202, 7.22 
1990-01-31, NA , 3.7925 ,6.1396, 7.39 
1990-02-01, NA , 3.7912 ,6.036, 7.36 
1990-02-02, NA , 3.8066 ,6.1861, 7.31 
1990-02-05, NA , 3.7808 ,6.0302, 7.23 
1990-02-06, NA , 3.8808 ,6.1954, 7.19 
1990-02-07, NA , 3.8787 ,6.1972, 7.19 
1990-02-08, NA , 3.8803 ,6.0881, 7.23 
1990-02-09, NA , 3.8464 ,6.0373, 7.33 
1990-02-12, NA , 3.8781 ,5.9871, 7.23 
1990-02-13, NA , 3.8800 ,6.1246, 7.27 
1990-02-14, NA , 3.8598 ,6.1096, 7.27 
1990-02-15, NA , 3.8502 ,6.2909, 7.18 
1990-02-16, NA , 3.8541 ,6.2887, 7.20 
1990-02-20, NA , 3.8782 ,6.2288, 7.04 
1990-02-21, NA , 3.8793 ,6.2901, 7.07 
1990-02-22, NA , 3.9089 ,6.1405, 7.15 
1990-02-23, NA , 3.8939 ,6.2554, 7.14 
1990-02-26, NA , 3.8996 ,6.0827, 7.23 
1990-02-27, NA , 3.6860 ,6.049, 7.23 
1990-02-28, NA , 4.0134 ,6.2959, 7.15 
1990-03-01, NA , 3.9927 ,6.2648, 7.33 
1990-03-02, NA , 3.9904 ,6.2542, 7.32 
1990-03-05, NA , 3.9706 ,6.2526, 7.26 
1990-03-06, NA , 3.9845 ,6.2477, 7.34 
1990-03-07, NA , 3.9783 ,6.2536, 7.34 
1990-03-08, NA , 3.9471 ,6.253, 7.33 
1990-03-09, NA , 3.9332 ,6.237, 7.22 
1990-03-12, NA , 3.9399 ,6.1459, 7.25 
1990-03-13, NA , 3.9256 ,6.2221, 7.19 
1990-03-14, NA , 3.9285 ,6.1247, 7.22 
1990-03-15, NA , 3.9253 ,6.1162, 7.21 
1990-03-16, NA , 3.9397 ,6.1273, 7.26 
1990-03-19, NA , 3.9210 ,6.1022, 7.27 
1990-03-20, NA , 3.8772 ,6.0526, 7.36 
1990-03-21, NA , 3.9018 ,5.934, 7.33 
1990-03-22, NA , 3.9069 ,5.9511, 7.27 
1990-03-23, NA , 3.8633 ,5.9964, 7.30 
1990-03-26, NA , 3.8614 ,5.9808, 7.36 
1990-03-27, NA , 3.8514 ,5.9747, 7.31 
1990-03-28, NA , 3.8494 ,5.9429, 7.33 
1990-03-29, NA , 3.9006 ,5.9973, 7.23 
1990-03-30, NA , 3.8918 ,6.1191, 7.14 
1990-04-02, NA , 3.8936 ,6.1202, 7.15 
1990-04-03, NA , 3.8835 ,6.1203, 7.20 
1990-04-04, NA , 3.8826 ,5.8993, 7.31 
1990-04-05, NA , 3.8822 ,5.9315, 7.27 
1990-04-06, NA , 3.8717 ,5.9773, 7.26 
1990-04-09, NA , 3.8641 ,6.0062, 7.22 
1990-04-10, NA , 3.8628 ,6.0183, 7.21 
1990-04-11, NA , 3.8557 ,6.0371, 7.19 
1990-04-12, NA , 3.8523 ,6.1288, 7.17 
1990-04-16, NA , 3.8419 ,6.1531, 7.11 
1990-04-17, NA , 3.8343 ,6.1175, 7.01 
1990-04-18, NA , 3.8334 ,6.1084, 6.93 
1990-04-19, NA , 3.8321 ,6.1211, 6.92 
1990-04-20, NA , 3.8350 ,6.0998, 6.88 
1990-04-23, NA , 3.8286 ,6.0807, 6.85 
1990-04-24, NA , 3.8172 ,6.0813, 6.84 
1990-04-25, NA , 3.8282 ,6.0692, 6.84 
1990-04-26, NA , 3.7965 ,6.0366, 6.80 
1990-04-27, NA , 3.7924 ,6.0353, 6.82 
1990-04-30, NA , 3.8329 ,6.0473, 6.83 
1990-05-01, NA , 3.8140 ,6.1509, 6.82 
1990-05-02, NA , 3.8089 ,6.0323, 6.81 
1990-05-03, NA , 3.7809 ,6.0562, 6.83 
1990-05-04, NA , 3.8151 ,6.1221, 6.96 
1990-05-07, NA , 3.8087 ,6.1091, 6.91 
1990-05-08, NA , 3.8133 ,6.1263, 6.94 
1990-05-09, NA , 3.8061 ,6.0982, 6.86 
1990-05-10, NA , 3.8236 ,6.1281, 6.94 
1990-05-11, NA , 3.8277 ,6.1667, 7.03 
1990-05-14, NA , 3.8346 ,6.2316, 7.08 
1990-05-15, NA , 3.8248 ,6.2189, 7.04 
1990-05-16, NA , 3.8472 ,6.2033, 7.09 
1990-05-17, NA , 3.8298 ,6.1609, 7.08 
1990-05-18, NA , 3.7929 ,6.1448, 7.03 
1990-05-21, NA , 3.7917 ,6.1542, 7.03 
1990-05-22, NA , 3.9359 ,6.221, 7.09 
1990-05-23, NA , 3.9405 ,6.2169, 7.11 
1990-05-24, NA , 3.9265 ,6.2174, 7.10 
1990-05-25, NA , 4.0055 ,6.1752, 7.02 
1990-05-29, NA , 4.0131 ,6.1983, 7.05 
1990-05-30, NA , 4.0177 ,6.208, 7.08 
1990-05-31, NA , 4.0191 ,6.1965, 7.27 
1990-06-01, NA , 3.9860 ,6.1716, 7.38 
1990-06-04, NA , 3.9834 ,6.1761, 7.38 
1990-06-05, NA , 3.9720 ,6.165, 7.35 
1990-06-06, NA , 3.9698 ,6.1643, 7.32 
1990-06-07, NA , 3.9679 ,6.1769, 7.33 
1990-06-08, NA , 3.9594 ,6.1637, 7.31 
1990-06-11, NA , 3.9541 ,6.1723, 7.30 
1990-06-12, NA , 3.9496 ,6.1633, 7.32 
1990-06-13, NA , 3.9917 ,6.1616, 7.36 
1990-06-14, NA , 3.9985 ,6.1552, 7.40 
1990-06-15, NA , 3.9400 ,6.2028, 7.31 
1990-06-18, NA , 3.9307 ,6.1994, 7.30 
1990-06-19, NA , 3.9251 ,6.1764, 7.28 
1990-06-20, NA , 3.9435 ,6.1414, 7.24 
1990-06-21, NA , 3.9478 ,6.1479, 7.27 
1990-06-22, NA , 3.9341 ,6.1472, 7.26 
1990-06-25, NA , 3.9490 ,6.1828, 7.21 
1990-06-26, NA , 3.9501 ,6.1602, 7.21 
1990-06-27, NA , 3.9563 ,6.1461, 7.23 
1990-06-28, NA , 3.9452 ,6.1194, 7.28 
1990-06-29, NA , 3.9443 ,6.1161, 7.33 
1990-07-02, NA , 3.9106 ,6.1161, 7.32 
