,combBeta,hedge,tc,TRI,x..i..
2008-07-28,0.082313261,-0.31131155,0.026226231,0,NA
2008-07-29,0.070038463,-0.24214186,0.024842837,-1.365070722,-1.365070722
2008-07-30,0.076119465,-0.274621016,0.02549242,2.878542594,4.243613316
2008-07-31,0.075878268,-0.264957261,0.025299145,-0.224659914,-3.103202508
2008-08-01,0.0710388,-0.248025112,0.024960502,-0.242567809,-0.017907895
2008-08-04,0.072685831,-0.24386498,0.0248773,-3.672937519,-3.43036971
2008-08-05,0.072192802,-0.232221184,0.024644424,-3.409377136,0.263560382
2008-08-06,0.073816479,-0.2453669,0.024907338,-1.742944589,1.666432547
2008-08-07,0.073233928,-0.25307594,0.025061519,-2.324783778,-0.581839189
2008-08-08,0.069176036,-0.227194098,0.024543882,-3.722670973,-1.397887195
2008-08-11,0.058326998,-0.188306129,0.023766123,-3.836933503,-0.11426253
2008-08-12,0.055852902,-0.1900461,0.023800922,-3.59179491,0.245138593
2008-08-13,0.047423731,-0.172024684,0.023440494,-0.991443358,2.600351552
2008-08-14,0.044959991,-0.155261538,0.023105231,-2.440542642,-1.449099284
2008-08-15,0.048070691,-0.161753756,0.023235075,-3.809776689,-1.369234048
2008-08-18,0.051148408,-0.17670582,0.023534116,-4.575374952,-0.765598262
2008-08-19,0.044419945,-0.163754562,0.023275091,-1.984689603,2.590685349
2008-08-20,0.046930579,-0.174417384,0.023488348,0.02016145,2.004851053
2008-08-21,0.043675104,-0.169474067,0.023389481,1.935474842,1.915313392
2008-08-22,0.037749819,-0.137880666,0.022757613,0.063689562,-1.87178528
2008-08-25,0.039489185,-0.147552248,0.022951045,-0.80005721,-0.863746772
2008-08-26,0.037459449,-0.141685848,0.022833717,0.662166375,1.462223585
2008-08-27,0.037876113,-0.142769832,0.022855397,1.785890901,1.123724526
2008-08-28,0.032810083,-0.116788426,0.022335769,0.338417712,-1.447473188
2008-08-29,0.031820026,-0.11257783,0.022251557,-0.022609863,-0.361027575
2008-09-02,0.027186067,-0.089644899,0.021792898,-4.124862964,-4.102253101
2008-09-03,0.030436068,-0.098436644,0.021968733,-4.424921019,-0.300058054
2008-09-04,0.030235226,-0.100509352,0.022010187,-5.89061673,-1.465695711
2008-09-05,0.030101602,-0.096173439,0.021923469,-6.25011269,-0.35949596
2008-09-08,0.027138148,-0.082540789,0.021650816,-6.80697225,-0.55685956
2008-09-09,0.063262391,-0.191336638,0.023826733,-11.35405563,-4.547083382
2008-09-10,0.048179137,-0.153331819,0.023066636,-8.837873807,2.516181825
2008-09-11,0.074634986,-0.235533536,0.024710671,-7.979670072,0.858203735
2008-09-12,0.067433349,-0.22310774,0.024462155,-5.685584376,2.294085696
2008-09-15,0.10094166,-0.341668487,0.02683337,-10.47576602,-4.790181646
2008-09-16,0.120892947,-0.396772056,0.027935441,-8.2880275,2.187738521
2008-09-17,0.129862778,-0.461595887,0.029231918,-8.909264348,-0.621236848
2008-09-18,0.139493438,-0.473379979,0.0294676,-7.648264028,1.26100032
2008-09-19,0.182205905,-0.585698965,0.031713979,-4.305360123,3.342903905
2008-09-22,0.166950811,-0.57419839,0.031483968,-4.496003125,-0.190643002
2008-09-23,0.156971277,-0.523588345,0.030471767,-6.763017401,-2.267014276
2008-09-24,0.159158718,-0.53849791,0.030769958,-6.448206279,0.314811122
2008-09-25,0.161833882,-0.545849709,0.030916994,-5.096462949,1.35174333
2008-09-26,0.156095779,-0.498834252,0.029976685,-7.250945143,-2.154482194
2008-09-29,0.250328836,-0.81188898,0.03623778,-13.87555486,-6.624609719
2008-09-30,0.270705763,-0.869868593,0.037397372,-11.30225125,2.573303613
2008-10-01,0.26474829,-0.80517267,0.036103453,-13.01069248,-1.708441227
2008-10-02,0.278747287,-0.841334055,0.036826681,-15.72812719,-2.717434713
2008-10-03,0.278149012,-0.86750507,0.037350101,-15.71729061,0.010836581
2008-10-06,0.291889416,-0.90882193,0.038176439,-17.98492219,-2.267631578
2008-10-07,0.310138867,-1.020470189,0.040409404,-19.29746073,-1.312538548
2008-10-08,0.304126755,-1.062296265,0.041245925,-17.68137893,1.616081801
2008-10-09,0.372526899,-1.243254372,0.044865087,-23.59116877,-5.909789835
2008-10-10,0.333357753,-0.967409982,0.0393482,-27.1684639,-3.577295132
2008-10-14,0.423916431,-1.249986284,0.044999726,-22.12248135,5.045982545
2008-10-15,0.477464751,-1.351101418,0.047022028,-27.08038227,-4.957900914
2008-10-16,0.479960599,-1.378686168,0.047573723,-25.90564181,1.174740453
2008-10-17,0.479068938,-1.447664239,0.048953285,-24.31173723,1.593904589
2008-10-20,0.50104138,-1.610638129,0.052212763,-20.07407398,4.237663248
2008-10-21,0.5028111,-1.59130145,0.051826029,-21.61508233,-1.541008349
2008-10-22,0.523628459,-1.59621599,0.05192432,-24.81448321,-3.199400878
2008-10-23,0.520376508,-1.687936889,0.053758738,-22.24110247,2.573380737
2008-10-24,0.531547316,-1.72891684,0.054578337,-23.56415093,-1.323048463
2008-10-27,0.538272569,-1.684893374,0.053697867,-25.70988899,-2.145738062
2008-10-28,0.59083573,-1.842098376,0.056841968,-22.94888778,2.761001219
2008-10-29,0.58415189,-1.983760492,0.05967521,-20.20855477,2.740333008
2008-10-30,0.587884416,-2.018011265,0.060360225,-18.97769005,1.230864719
2008-10-31,0.587302111,-1.962639104,0.059252782,-19.36546616,-0.38777611
2008-11-03,0.585705428,-1.885827581,0.057716552,-21.12143705,-1.755970892
2008-11-04,0.594078087,-1.927465153,0.058549303,-19.56326516,1.558171885
2008-11-05,0.599013677,-2.043627685,0.060872554,-19.05350068,0.509764487
2008-11-06,0.605411831,-2.084297272,0.061685945,-20.01388515,-0.960384469
2008-11-07,0.609644017,-2.157889016,0.06315778,-18.30975865,1.704126497
2008-11-10,0.606714762,-2.220426414,0.064408528,-17.24787014,1.06188851
2008-11-12,0.627949601,-2.262230517,0.06524461,-19.79589988,-2.548029742
2008-11-13,0.651433181,-2.444591817,0.068891836,-16.61141531,3.18448457
2008-11-14,0.654016787,-2.478009437,0.069560189,-17.03320249,-0.421787184
2008-11-17,0.651340967,-2.580949929,0.071618999,-16.04054153,0.992660961
2008-11-18,0.650208143,-2.686931144,0.073738623,-14.30510876,1.735432772
2008-11-19,0.648772445,-2.839414011,0.07678828,-13.52605165,0.779057109
2008-11-20,0.672250207,-2.888537794,0.077770756,-15.97570018,-2.44964853
2008-11-21,0.682577067,-3.16258431,0.083251686,-12.36437864,3.611321545
2008-11-24,0.676156667,-2.916354214,0.078327084,-13.75173277,-1.387354136
2008-11-25,0.674759892,-2.793895109,0.075877902,-14.86361033,-1.111877556
2008-11-26,0.679053382,-2.836906884,0.076738138,-13.68213284,1.181477484
2008-11-28,0.676999125,-2.714794077,0.074295882,-15.36521162,-1.683078772
2008-12-01,0.682625844,-2.935309551,0.078706191,-15.04394294,0.321268673
2008-12-02,0.679843416,-2.794449027,0.075888981,-16.01928391,-0.975340963
2008-12-03,0.676021005,-2.643822448,0.072876449,-17.61415934,-1.594875436
2008-12-04,0.679867184,-2.501768369,0.070035367,-20.47910922,-2.864949875
2008-12-05,0.675151417,-2.350002591,0.067000052,-21.90118522,-1.422076001
2008-12-08,0.676979102,-2.306127259,0.066122545,-21.94264857,-0.041463356
2008-12-09,0.671949506,-2.408737703,0.068174754,-20.2353586,1.707289973
2008-12-10,0.668498827,-2.565325004,0.0713065,-17.29198092,2.943377678
2008-12-11,0.603370507,-2.496249759,0.069924995,-15.01851414,2.273466781
2008-12-12,0.553502153,-2.224400569,0.064488011,-16.06183803,-1.043323887
2008-12-15,0.541450141,-2.25635389,0.065127078,-15.24459498,0.817243048
2008-12-16,0.52180733,-2.016584044,0.060331681,-16.65244533,-1.407850345
2008-12-17,0.526033377,-2.038691922,0.060773838,-16.73242511,-0.079979785
2008-12-18,0.540055639,-2.029925635,0.060598513,-18.83448575,-2.102060637
2008-12-19,0.470361574,-1.786283687,0.055725674,-18.72299078,0.111494972
2008-12-22,0.443828135,-1.678648277,0.053572966,-19.40872242,-0.685731641
2008-12-23,0.439996686,-1.708424633,0.054168493,-18.83874816,0.569974253
2008-12-24,0.439772393,-1.664932695,0.053298654,-19.43610074,-0.597352577
2008-12-26,0.440357002,-1.688159779,0.053763196,-18.85275007,0.583350673
2008-12-29,0.440038697,-1.738680297,0.054773606,-17.69399656,1.158753503
2008-12-30,0.443435244,-1.728044847,0.054560897,-17.35646214,0.33753442
2008-12-31,0.443546528,-1.69234965,0.053846993,-17.53052184,-0.174059698
2009-01-02,0.444399987,-1.760399631,0.055207993,-15.38763113,2.142890713
2009-01-05,0.444250444,-1.83159641,0.056631928,-13.83800493,1.549626198
2009-01-06,0.444799009,-1.824554984,0.0564911,-13.64438034,0.193624592
2009-01-07,0.4466295,-1.85096079,0.057019216,-14.64023373,-0.995853389
2009-01-08,0.446504372,-1.882124375,0.057642488,-13.90773514,0.732498583
2009-01-09,0.446809265,-1.880000227,0.057600005,-14.88267129,-0.974936143
2009-01-12,0.462636462,-1.973915571,0.059478311,-15.65591735,-0.773246062
2009-01-13,0.48571322,-2.095568118,0.061911362,-14.78204834,0.873869008
2009-01-14,0.546444143,-2.382203912,0.067644078,-15.73092744,-0.948879102
2009-01-15,0.636823938,-2.946108338,0.078922167,-14.01750596,1.713421487
2009-01-16,0.593338886,-2.852685099,0.077053702,-12.7638054,1.253700559
2009-01-20,0.442035446,-2.410406156,0.068208123,-10.67955245,2.084252945
2009-01-21,0.441568361,-2.239756671,0.064795133,-10.58799392,0.091558537
2009-01-22,0.439698436,-2.311196494,0.06622393,-10.60141504,-0.013421121
