,combBeta,hedge,tc,TRI,x..i..
2008-07-28,0.3095336,-0.3095336,0.026190672,0,NA
2008-07-29,0.278226778,-0.278226778,0.025564536,-1.362275337,-1.362275337
2008-07-30,0.297244902,-0.297244902,0.025944898,2.869734491,4.232009827
2008-07-31,0.296096138,-0.296096138,0.025921923,-0.229028185,-3.098762676
2008-08-01,0.279867737,-0.279867737,0.025597355,-0.246858984,-0.017830799
2008-08-04,0.284800565,-0.284800565,0.025696011,-3.671603803,-3.424744819
2008-08-05,0.28159348,-0.28159348,0.02563187,-3.451605761,0.219998041
2008-08-06,0.291104366,-0.291104366,0.025822087,-1.774038067,1.677567694
2008-08-07,0.286588024,-0.286588024,0.02573176,-2.306685826,-0.532647759
2008-08-08,0.275557438,-0.275557438,0.025511149,-3.72839765,-1.421711824
2008-08-11,0.232685602,-0.232685602,0.024653712,-3.86010565,-0.131708
2008-08-12,0.223160572,-0.223160572,0.024463211,-3.565935582,0.294170068
2008-08-13,0.195981003,-0.195981003,0.02391962,-0.945823467,2.620112115
2008-08-14,0.189580536,-0.189580536,0.023791611,-2.409884678,-1.464061212
2008-08-15,0.202624905,-0.202624905,0.024052498,-3.784070252,-1.374185574
2008-08-18,0.212799856,-0.212799856,0.024255997,-4.516892297,-0.732822045
2008-08-19,0.192952062,-0.192952062,0.023859041,-1.905021683,2.611870614
2008-08-20,0.199762077,-0.199762077,0.023995242,0.088154306,1.993175989
2008-08-21,0.189445563,-0.189445563,0.023788911,2.012647417,1.924493111
2008-08-22,0.170450536,-0.170450536,0.023409011,0.126087736,-1.886559682
2008-08-25,0.175166959,-0.175166959,0.023503339,-0.714429581,-0.840517317
2008-08-26,0.165520881,-0.165520881,0.023310418,0.74349624,1.457925821
2008-08-27,0.16583697,-0.16583697,0.023316739,1.858155673,1.114659433
2008-08-28,0.148693557,-0.148693557,0.022973871,0.391993607,-1.466162065
2008-08-29,0.144474844,-0.144474844,0.022889497,0.030127818,-0.361865789
2008-09-02,0.129103157,-0.129103157,0.022582063,-4.081449206,-4.111577024
2008-09-03,0.144614273,-0.144614273,0.022892285,-4.394584139,-0.313134933
2008-09-04,0.136490886,-0.136490886,0.022729818,-5.811518294,-1.416934155
2008-09-05,0.13697164,-0.13697164,0.022739433,-6.197651808,-0.386133515
2008-09-08,0.126331306,-0.126331306,0.022526626,-6.791948907,-0.594297099
2008-09-09,0.221925777,-0.221925777,0.024438516,-11.27696069,-4.485011784
2008-09-10,0.191933154,-0.191933154,0.023838663,-8.752985768,2.523974922
2008-09-11,0.29769013,-0.29769013,0.025953803,-7.912856464,0.840129304
2008-09-12,0.274057158,-0.274057158,0.025481143,-5.600412115,2.31244435
2008-09-15,0.365058779,-0.365058779,0.027301176,-10.2880127,-4.687600581
2008-09-16,0.413106258,-0.413106258,0.028262125,-8.132930656,2.15508204
2008-09-17,0.439358304,-0.439358304,0.028787166,-8.72269344,-0.589762784
2008-09-18,0.461332126,-0.461332126,0.029226643,-7.430006614,1.292686826
2008-09-19,0.586277722,-0.586277722,0.031725554,-4.057019436,3.372987178
2008-09-22,0.529520897,-0.529520897,0.030590418,-4.246618196,-0.189598761
2008-09-23,0.486775627,-0.486775627,0.029735513,-6.516318749,-2.269700553
2008-09-24,0.496696209,-0.496696209,0.029933924,-6.209886787,0.306431963
2008-09-25,0.503953658,-0.503953658,0.030079073,-4.835116478,1.374770309
2008-09-26,0.485162938,-0.485162938,0.029703259,-6.966180053,-2.131063575
2008-09-29,0.808697023,-0.808697023,0.03617394,-13.62878693,-6.662606876
2008-09-30,0.860170329,-0.860170329,0.037203407,-11.05133443,2.577452499
2008-10-01,0.843418511,-0.843418511,0.03686837,-12.75234421,-1.701009775
2008-10-02,0.884482483,-0.884482483,0.03768965,-15.43091563,-2.678571422
2008-10-03,0.882142525,-0.882142525,0.03764285,-15.38340463,0.047510997
2008-10-06,0.917463451,-0.917463451,0.038349269,-17.63689345,-2.25348882
2008-10-07,0.959759756,-0.959759756,0.039195195,-18.9334189,-1.296525452
2008-10-08,0.950810997,-0.950810997,0.03901622,-17.35568308,1.577735817
2008-10-09,1.089600851,-1.089600851,0.041792017,-23.44027819,-6.084595105
2008-10-10,1.034832231,-1.034832231,0.040696645,-26.80481674,-3.364538552
2008-10-14,1.189219532,-1.189219532,0.043784391,-21.90693261,4.897884132
2008-10-15,1.316096112,-1.316096112,0.046321922,-26.97743243,-5.070499821
2008-10-16,1.318192948,-1.318192948,0.046363859,-25.79063949,1.186792942
2008-10-17,1.327182824,-1.327182824,0.046543656,-24.22364813,1.566991361
2008-10-20,1.369011992,-1.369011992,0.04738024,-19.8958169,4.327831225
2008-10-21,1.363984507,-1.363984507,0.04727969,-21.55357761,-1.657760705
2008-10-22,1.410800742,-1.410800742,0.048216015,-24.97254719,-3.418969578
2008-10-23,1.402020057,-1.402020057,0.048040401,-22.42661974,2.545927447
2008-10-24,1.42971403,-1.42971403,0.048594281,-24.01472395,-1.588104215
2008-10-27,1.442298111,-1.442298111,0.048845962,-26.2696243,-2.254900343
2008-10-28,1.532511664,-1.532511664,0.050650233,-23.01390489,3.255719406
2008-10-29,1.543217068,-1.543217068,0.050864341,-20.56039879,2.453506103
2008-10-30,1.549434137,-1.549434137,0.050988683,-19.11262121,1.447777578
2008-10-31,1.550474729,-1.550474729,0.051009495,-19.1682359,-0.055614688
2008-11-03,1.543240735,-1.543240735,0.050864815,-20.88770058,-1.719464686
2008-11-04,1.565101669,-1.565101669,0.051302033,-19.03252127,1.855179313
2008-11-05,1.602201212,-1.602201212,0.052044024,-19.06191369,-0.029392416
2008-11-06,1.619166674,-1.619166674,0.052383333,-20.47031437,-1.40840068
2008-11-07,1.634362649,-1.634362649,0.052687253,-18.64713816,1.823176209
2008-11-10,1.625105434,-1.625105434,0.052502109,-17.80197762,0.845160541
2008-11-12,1.675761594,-1.675761594,0.053515232,-21.11258761,-3.310609996
2008-11-13,1.730327092,-1.730327092,0.054606542,-17.40231323,3.710274381
2008-11-14,1.738623469,-1.738623469,0.054772469,-18.30284536,-0.90053213
2008-11-17,1.74012555,-1.74012555,0.054802511,-17.90034113,0.402504228
2008-11-18,1.74166498,-1.74166498,0.0548333,-16.30581198,1.594529155
2008-11-19,1.753714135,-1.753714135,0.055074283,-16.67240235,-0.366590376
2008-11-20,1.80045994,-1.80045994,0.056009199,-20.33092713,-3.658524781
2008-11-21,1.816864427,-1.816864427,0.056337289,-16.40892915,3.921997988
2008-11-24,1.834882957,-1.834882957,0.056697659,-15.84732535,0.561603794
2008-11-25,1.844704521,-1.844704521,0.05689409,-16.26674763,-0.419422282
2008-11-26,1.853171492,-1.853171492,0.05706343,-14.57123907,1.695508562
2008-11-28,1.85111577,-1.85111577,0.057022315,-15.95443974,-1.383200663
2008-12-01,1.893408864,-1.893408864,0.057868177,-17.42893473,-1.474494995
2008-12-02,1.895921782,-1.895921782,0.057918436,-17.52161917,-0.09268444
2008-12-03,1.893398748,-1.893398748,0.057867975,-18.59433164,-1.072712474
2008-12-04,1.910717879,-1.910717879,0.058214358,-21.55553247,-2.961200825
2008-12-05,1.909549145,-1.909549145,0.058190983,-22.43037394,-0.874841472
2008-12-08,1.918676724,-1.918676724,0.058373534,-22.09864582,0.331728118
2008-12-09,1.910021377,-1.910021377,0.058200428,-20.60133521,1.497310618
2008-12-10,1.902161298,-1.902161298,0.058043226,-17.77099007,2.830345139
2008-12-11,1.872407278,-1.872407278,0.057448146,-16.14441527,1.626574798
2008-12-12,1.874088066,-1.874088066,0.057481761,-17.04640832,-0.901993047
2008-12-15,1.881083582,-1.881083582,0.057621672,-16.40175326,0.644655056
2008-12-16,1.875837491,-1.875837491,0.05751675,-17.32893719,-0.92718393
2008-12-17,1.88610479,-1.88610479,0.057722096,-17.4255629,-0.096625707
2008-12-18,1.907897109,-1.907897109,0.058157942,-19.58325455,-2.157691651
2008-12-19,1.895828697,-1.895828697,0.057916574,-19.49701706,0.086237492
2008-12-22,1.824781797,-1.824781797,0.056495636,-20.15534968,-0.658332624
2008-12-23,1.739310155,-1.739310155,0.054786203,-19.54445476,0.610894924
2008-12-24,1.746410403,-1.746410403,0.054928208,-20.14952521,-0.605070458
2008-12-26,1.658245371,-1.658245371,0.053164907,-19.56698932,0.582535896
2008-12-29,1.685430427,-1.685430427,0.053708609,-18.41122812,1.155761192
2008-12-30,1.308991793,-1.308991793,0.046179836,-18.0497327,0.361495429
2008-12-31,1.312079363,-1.312079363,0.046241587,-18.06038532,-0.010652625
2009-01-02,1.314047986,-1.314047986,0.04628096,-15.86428905,2.196096272
2009-01-05,1.315125811,-1.315125811,0.046302516,-14.4084084,1.455880645
2009-01-06,1.318276727,-1.318276727,0.046365535,-14.11150235,0.296906058
2009-01-07,1.326843959,-1.326843959,0.046536879,-15.44151265,-1.330010308
2009-01-08,1.326489213,-1.326489213,0.046529784,-14.73523122,0.706281431
2009-01-09,1.470565588,-1.470565588,0.049411312,-15.92134288,-1.18611166
2009-01-12,1.9504635,-1.9504635,0.05900927,-16.9443522,-1.023009315
2009-01-13,1.98656967,-1.98656967,0.059731393,-16.06696582,0.877386373
2009-01-14,2.037373083,-2.037373083,0.060747462,-17.08560604,-1.01864021
2009-01-15,2.035249156,-2.035249156,0.060704983,-15.53770969,1.547896347
2009-01-16,2.036296472,-2.036296472,0.060725929,-14.55733841,0.980371275
2009-01-20,1.914549458,-1.914549458,0.058290989,-13.7793253,0.778013116
2009-01-21,2.045053809,-2.045053809,0.060901076,-13.09770676,0.681618532
2009-01-22,2.03229365,-2.03229365,0.060645873,-13.22211418,-0.124407418
